value,total_removed,ground_removed,ground_removed_total,cone_removed
0.000000,0.572973,0.966849,0.579858,0.032869
0.002033,0.561731,0.963072,0.566025,0.036607
0.004065,0.561567,0.963004,0.565817,0.036675
0.006098,0.561517,0.962875,0.565688,0.036803
0.008130,0.561428,0.962802,0.565549,0.036877
0.010163,0.561124,0.962852,0.565270,0.036827
0.012195,0.561021,0.962748,0.565098,0.036931
0.014228,0.560948,0.962724,0.565015,0.036954
0.016260,0.560922,0.962721,0.564988,0.036957
0.018293,0.560932,0.962684,0.564974,0.036995
0.020325,0.560932,0.962684,0.564974,0.036995
0.022358,0.560932,0.962684,0.564974,0.036995
0.024390,0.560932,0.962684,0.564974,0.036995
0.026423,0.560932,0.962684,0.564974,0.036995
0.028455,0.562638,0.962685,0.566677,0.037000
0.030488,0.562638,0.962685,0.566677,0.037000
0.032520,0.565637,0.962853,0.569816,0.036832
0.034553,0.565664,0.962855,0.569845,0.036829
0.036585,0.565664,0.962855,0.569845,0.036829
0.038618,0.571330,0.963320,0.575769,0.036365
0.040650,0.577182,0.963414,0.581705,0.036271
0.042683,0.579350,0.963892,0.584305,0.035800
0.044715,0.579350,0.963892,0.584305,0.035800
0.046748,0.583834,0.964042,0.588885,0.035650
0.048781,0.590544,0.964116,0.595742,0.035576
0.050813,0.592797,0.964362,0.598150,0.035330
0.052846,0.598853,0.964343,0.604310,0.035349
0.054878,0.604981,0.964683,0.610656,0.035009
0.056911,0.609635,0.965469,0.615909,0.034225
0.058943,0.612364,0.965670,0.618761,0.034024
0.060976,0.612364,0.965670,0.618761,0.034024
0.063008,0.612364,0.965670,0.618761,0.034024
0.065041,0.613793,0.965670,0.620199,0.034024
0.067073,0.618160,0.965926,0.624794,0.033769
0.069106,0.624819,0.966639,0.632042,0.033056
0.071138,0.626328,0.966711,0.633593,0.032983
0.073171,0.626328,0.966711,0.633593,0.032983
0.075203,0.626328,0.966711,0.633593,0.032983
0.077236,0.631124,0.966691,0.638397,0.033003
0.079268,0.633980,0.966805,0.641420,0.032890
0.081301,0.633980,0.966805,0.641420,0.032890
0.083333,0.635017,0.966755,0.642419,0.032890
0.085366,0.633585,0.966687,0.640942,0.032958
0.087398,0.635074,0.966745,0.642467,0.032900
0.089431,0.647760,0.967200,0.655418,0.032444
0.091463,0.668979,0.966709,0.676545,0.032935
0.093496,0.688910,0.966125,0.696266,0.033520
0.095528,0.713883,0.966069,0.721443,0.033632
0.097561,0.721949,0.966034,0.729524,0.033667
0.099593,0.737184,0.966254,0.745045,0.033446
0.101626,0.749195,0.966028,0.757019,0.033673
0.103659,0.768492,0.966256,0.776670,0.033446
0.105691,0.807267,0.966086,0.815990,0.033623
0.107724,0.822413,0.966116,0.831413,0.033604
0.109756,0.852821,0.965873,0.861891,0.033875
0.111789,0.861986,0.965905,0.871141,0.033843
0.113821,0.869270,0.965892,0.878501,0.033857
0.115854,0.875182,0.965703,0.884355,0.034049
0.117886,0.880959,0.965809,0.890233,0.033943
0.119919,0.885911,0.965906,0.895309,0.033846
0.121951,0.897955,0.966150,0.907780,0.033580
0.123984,0.909491,0.966217,0.919503,0.033513
0.126016,0.923473,0.966296,0.933684,0.033344
0.128049,0.929902,0.965832,0.939710,0.033400
0.130081,0.938559,0.965646,0.948315,0.033588
0.132114,0.944802,0.965611,0.954582,0.033621
0.134146,0.948455,0.965435,0.958088,0.033802
0.136179,0.950147,0.965389,0.959746,0.033848
0.138211,0.951365,0.965386,0.960966,0.033851
0.140244,0.951994,0.965379,0.961587,0.033859
0.142276,0.952099,0.965397,0.961712,0.033841
0.144309,0.952365,0.965358,0.961941,0.033874
0.146341,0.952780,0.965166,0.962236,0.034066
0.148374,0.952959,0.965127,0.962377,0.034105
0.150406,0.959006,0.965244,0.968533,0.033988
0.152439,0.958329,0.965107,0.967716,0.034125
0.154471,0.958552,0.964997,0.967825,0.034235
0.156504,0.958629,0.964966,0.967871,0.034266
0.158537,0.958938,0.964857,0.968066,0.034375
0.160569,0.958938,0.964857,0.968066,0.034375
