value,total_removed,ground_removed,ground_removed_total,cone_removed
2.000000,0.000000,-nan,0.000000,0.000000
4.125000,0.814981,0.986253,0.839675,0.250904
6.250000,0.840489,0.986189,0.866447,0.264999
8.375000,0.842911,0.983304,0.866112,0.307796
10.500000,0.867179,0.981011,0.889274,0.347368
12.625000,0.866862,0.980799,0.889067,0.384511
14.750000,0.904362,0.980974,0.928024,0.401383
16.875000,0.904694,0.979486,0.927057,0.434223
19.000000,0.867636,0.979017,0.888713,0.408183
21.125000,0.856497,0.979925,0.878034,0.389502
23.250000,0.859042,0.978852,0.879738,0.396746
25.375000,0.867951,0.979398,0.889200,0.394477
27.500000,0.857658,0.978724,0.878050,0.423699
29.625000,0.854263,0.976742,0.873123,0.429361
31.750000,0.877319,0.977310,0.896706,0.446539
33.875000,0.858212,0.977775,0.878112,0.439009
36.000000,0.856866,0.976695,0.875768,0.450215
38.125000,0.868121,0.975763,0.886164,0.471433
40.250000,0.885972,0.976986,0.905208,0.468097
42.375000,0.854578,0.975730,0.872549,0.455723
44.500000,0.860752,0.974818,0.877954,0.487644
44.500000,0.860752,0.974818,0.877954,0.487644
46.625000,0.873915,0.975667,0.892020,0.473900
48.750000,0.855249,0.974663,0.872386,0.495385
50.875000,0.879919,0.975287,0.897694,0.501920
53.000000,0.872486,0.976071,0.890867,0.473439
55.125000,0.874329,0.975115,0.891599,0.492806
57.250000,0.868592,0.973784,0.884543,0.509452
59.375000,0.865687,0.972350,0.880402,0.542036
61.500000,0.863617,0.972132,0.878167,0.539102
63.625000,0.854984,0.972485,0.869608,0.540147
65.750000,0.857650,0.971246,0.871315,0.561358
67.875000,0.853597,0.970938,0.866880,0.576854
70.000000,0.843366,0.971544,0.857014,0.539189
72.125000,0.845152,0.971366,0.858791,0.547915
74.250000,0.841928,0.971570,0.855625,0.550058
76.375000,0.840700,0.969575,0.852623,0.587478
78.500000,0.837288,0.970200,0.849656,0.562118
80.625000,0.830352,0.970769,0.843081,0.548099
82.750000,0.831096,0.970547,0.843740,0.560380
84.875000,0.825629,0.969603,0.837354,0.567766
87.000000,0.820191,0.969911,0.831990,0.554540
87.000000,0.820191,0.969911,0.831990,0.554540
89.125000,0.814737,0.970281,0.826877,0.542504
91.250000,0.812045,0.969756,0.823659,0.565174
93.375000,0.811206,0.971013,0.823901,0.541769
95.500000,0.807993,0.970476,0.820255,0.544667
97.625000,0.807047,0.970215,0.819017,0.556278
99.750000,0.803255,0.969421,0.814455,0.567033
101.875000,0.797577,0.969609,0.808884,0.558017
104.000000,0.793709,0.968541,0.804063,0.568489
106.125000,0.794487,0.969151,0.805376,0.559692
108.250000,0.793555,0.968977,0.804237,0.553945
110.375000,0.793083,0.968461,0.803326,0.572630
112.500000,0.788263,0.967916,0.798007,0.585607
114.625000,0.787008,0.967765,0.796647,0.568974
116.750000,0.786436,0.967651,0.795958,0.587826
118.875000,0.781934,0.968645,0.792180,0.555860
121.000000,0.782305,0.968589,0.792548,0.562099
123.125000,0.782601,0.967496,0.791969,0.578717
125.250000,0.782483,0.967805,0.792042,0.578930
127.375000,0.781565,0.967920,0.791185,0.572161
129.500000,0.781898,0.967769,0.791449,0.584369
129.500000,0.781898,0.967769,0.791449,0.584369
131.625000,0.780000,0.967785,0.789562,0.585350
133.750000,0.779703,0.968113,0.789485,0.571990
135.875000,0.779078,0.967378,0.788268,0.584099
138.000000,0.777220,0.967280,0.786288,0.576107
140.125000,0.776591,0.967172,0.785588,0.590659
142.250000,0.775466,0.967693,0.784893,0.566076
144.375000,0.776776,0.967115,0.785711,0.574329
146.500000,0.775925,0.966421,0.784258,0.588896
148.625000,0.775512,0.967157,0.784479,0.571394
150.750000,0.775544,0.966848,0.784277,0.590609
152.875000,0.776452,0.966379,0.784824,0.606492
155.000000,0.776902,0.965994,0.784945,0.613453
157.125000,0.776357,0.965875,0.784288,0.606281
159.250000,0.775271,0.966538,0.783732,0.594519
161.375000,0.776166,0.965717,0.783975,0.615030
163.500000,0.775220,0.965072,0.782486,0.619771
165.625000,0.776158,0.965332,0.783654,0.611844
167.750000,0.776068,0.965219,0.783455,0.617068
169.875000,0.775136,0.965780,0.782992,0.609473
172.000000,0.774036,0.966155,0.782203,0.599240
172.000000,0.774036,0.966155,0.782203,0.599240
174.125000,0.775451,0.965409,0.783020,0.619519
176.250000,0.775779,0.965856,0.783718,0.612545
178.375000,0.775323,0.965616,0.783025,0.609141
180.500000,0.775006,0.965641,0.782719,0.612478
182.625000,0.775486,0.965658,0.783224,0.609754
184.750000,0.773822,0.965531,0.781453,0.602196
186.875000,0.775810,0.965520,0.783458,0.622202
189.000000,0.775588,0.964763,0.782615,0.631374
191.125000,0.774888,0.965243,0.782279,0.626841
193.250000,0.774339,0.965743,0.782149,0.623998
195.375000,0.775288,0.965240,0.782702,0.624905
197.500000,0.774685,0.965218,0.782079,0.627580
199.625000,0.774746,0.964997,0.781971,0.628823
201.750000,0.774907,0.964857,0.781985,0.619330
203.875000,0.775455,0.964435,0.782222,0.639000
206.000000,0.774899,0.964805,0.781986,0.635768
208.125000,0.775528,0.964354,0.782219,0.641937
210.250000,0.774883,0.965668,0.782642,0.613291
212.375000,0.775260,0.964832,0.782351,0.635148
214.500000,0.774538,0.965649,0.782271,0.616557
214.500000,0.774538,0.965649,0.782271,0.616557
216.625000,0.774386,0.965555,0.782038,0.611256
218.750000,0.775021,0.964295,0.781664,0.640762
220.875000,0.776775,0.963309,0.782611,0.662768
223.000000,0.774787,0.964861,0.781882,0.636355
225.125000,0.775923,0.964924,0.783088,0.620902
227.250000,0.775931,0.963951,0.782274,0.646330
229.375000,0.775547,0.964490,0.782344,0.645420
231.500000,0.776302,0.964062,0.782759,0.647033
233.625000,0.776435,0.963728,0.782587,0.648393
235.750000,0.775942,0.964017,0.782354,0.649130
237.875000,0.774335,0.964787,0.781365,0.628713
240.000000,0.776686,0.963240,0.782446,0.648737
242.125000,0.775771,0.963656,0.781869,0.648196
244.250000,0.776517,0.963677,0.782647,0.648547
246.375000,0.775214,0.964249,0.781815,0.640537
248.500000,0.775762,0.963735,0.781936,0.650264
250.625000,0.776143,0.963111,0.781803,0.655698
252.750000,0.775984,0.963565,0.782031,0.652348
254.875000,0.775617,0.963306,0.781420,0.647836
257.000000,0.775058,0.963998,0.781429,0.643708
257.000000,0.775058,0.963998,0.781429,0.643708
259.125000,0.775173,0.963842,0.781419,0.640685
261.250000,0.774416,0.963856,0.780676,0.650263
263.375000,0.776631,0.962900,0.782124,0.667985
265.500000,0.774868,0.964065,0.781274,0.644754
267.625000,0.774937,0.963661,0.781026,0.643799
269.750000,0.775694,0.963167,0.781395,0.658032
271.875000,0.773898,0.963711,0.780025,0.649369
274.000000,0.774849,0.963525,0.780860,0.656748
276.125000,0.774479,0.965066,0.781734,0.628566
278.250000,0.775819,0.963606,0.781877,0.648615
280.375000,0.773572,0.963248,0.779341,0.661424
282.500000,0.774687,0.964022,0.781089,0.647650
284.625000,0.773611,0.964178,0.780115,0.638223
286.750000,0.773776,0.964170,0.780316,0.646650
288.875000,0.775122,0.963537,0.781131,0.659051
291.000000,0.775037,0.962839,0.780454,0.667106
293.125000,0.772975,0.963729,0.779109,0.652012
