value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.023100,0.023826,0.995296,0.006075
0.003079,0.060158,0.062432,0.996138,0.008459
0.005158,0.110899,0.115343,0.997070,0.009629
0.007237,0.173221,0.180309,0.997353,0.012042
0.009317,0.238429,0.248186,0.997452,0.015978
0.011396,0.298846,0.311157,0.997535,0.017514
0.013475,0.352262,0.366786,0.997271,0.020837
0.015554,0.397435,0.413897,0.997160,0.022510
0.017633,0.435143,0.453253,0.997056,0.024105
0.019712,0.467481,0.487044,0.997028,0.025344
0.021792,0.494699,0.515482,0.996908,0.027154
0.023871,0.519537,0.541352,0.996845,0.028926
0.025950,0.541749,0.564506,0.996750,0.031773
0.028029,0.561681,0.585192,0.996527,0.036296
0.030108,0.580975,0.605091,0.996141,0.040534
0.032187,0.599989,0.624693,0.995825,0.048249
0.034267,0.617189,0.642349,0.995321,0.058612
0.036346,0.634279,0.659854,0.994884,0.070218
0.038425,0.651798,0.677804,0.994426,0.080998
0.040504,0.668298,0.694677,0.994010,0.089302
0.042583,0.684703,0.711368,0.993473,0.097546
0.042583,0.684703,0.711368,0.993473,0.097546
0.044662,0.700074,0.727107,0.993142,0.104868
0.046742,0.715721,0.743041,0.992670,0.113349
0.048821,0.729887,0.757456,0.992299,0.122727
0.050900,0.744848,0.772788,0.992004,0.131940
0.052979,0.758314,0.786368,0.991506,0.139882
0.055058,0.771243,0.799581,0.991279,0.146339
0.057137,0.783725,0.812290,0.991017,0.153543
0.059217,0.796210,0.824925,0.990656,0.162954
0.061296,0.807861,0.836566,0.990096,0.174876
0.063375,0.819338,0.848212,0.989821,0.182449
0.065454,0.829888,0.858868,0.989513,0.190935
0.067533,0.840088,0.869160,0.989212,0.200925
0.069612,0.849939,0.878860,0.988653,0.216022
0.071692,0.860137,0.888974,0.988166,0.227439
0.073771,0.869157,0.897762,0.987553,0.241615
0.075850,0.877537,0.905858,0.986964,0.257166
0.077929,0.885347,0.913509,0.986536,0.267951
0.080008,0.892306,0.920318,0.986139,0.278224
0.082087,0.898534,0.926499,0.985856,0.285624
0.084167,0.904127,0.932056,0.985621,0.291079
0.084167,0.904127,0.932056,0.985621,0.291079
0.086246,0.909742,0.937546,0.985314,0.298428
0.088325,0.915248,0.942916,0.984989,0.305373
0.090404,0.920020,0.947488,0.984633,0.313312
0.092483,0.924589,0.951843,0.984269,0.321281
0.094563,0.928672,0.955743,0.983962,0.326579
0.096642,0.933520,0.960484,0.983706,0.331862
0.098721,0.937464,0.964280,0.983429,0.337449
0.100800,0.941198,0.967753,0.983064,0.345188
0.102879,0.944536,0.970876,0.982750,0.352921
0.104958,0.948473,0.974619,0.982437,0.363437
0.107037,0.951230,0.977157,0.982140,0.374191
0.109117,0.954314,0.979985,0.981790,0.389344
0.111196,0.956359,0.981665,0.981377,0.404421
