value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.818972,0.987245,0.845503,0.272233
0.003079,0.818940,0.987260,0.845484,0.271766
0.005158,0.818005,0.987254,0.844530,0.271766
0.007237,0.817999,0.987254,0.844522,0.271766
0.009317,0.817999,0.987254,0.844522,0.271766
0.011396,0.817939,0.987262,0.844467,0.271505
0.013475,0.817882,0.987306,0.844448,0.270709
0.015554,0.817643,0.987400,0.844283,0.269048
0.017633,0.817585,0.987407,0.844230,0.268916
0.019712,0.817545,0.987428,0.844209,0.268390
0.021792,0.813200,0.987633,0.839934,0.261773
0.023871,0.799597,0.988019,0.826354,0.252985
0.025950,0.764835,0.989357,0.791464,0.222104
0.028029,0.755588,0.989743,0.782281,0.210971
0.030108,0.746282,0.989786,0.772579,0.201996
0.032187,0.734226,0.989671,0.759971,0.199094
0.034267,0.718005,0.989699,0.743148,0.201091
0.036346,0.700577,0.989963,0.725510,0.178083
0.038425,0.689978,0.990130,0.714775,0.168413
0.040504,0.683872,0.990205,0.708572,0.165473
0.042583,0.679386,0.990276,0.704018,0.161485
0.042583,0.679386,0.990276,0.704018,0.161485
0.044662,0.680436,0.990283,0.705101,0.161485
0.046742,0.679656,0.990287,0.704291,0.161485
0.048821,0.679490,0.990283,0.704118,0.161485
0.050900,0.679490,0.990283,0.704118,0.161485
0.052979,0.678681,0.990279,0.703278,0.161485
0.055058,0.681874,0.990311,0.706549,0.159787
0.057137,0.678611,0.990349,0.703237,0.159261
0.059217,0.674850,0.990336,0.699401,0.159261
0.061296,0.674850,0.990336,0.699401,0.159261
0.063375,0.676090,0.990167,0.700582,0.169448
0.065454,0.674100,0.990351,0.698643,0.158412
0.067533,0.674100,0.990351,0.698643,0.158412
0.069612,0.674088,0.990365,0.698643,0.158324
0.071692,0.674088,0.990365,0.698643,0.158324
0.073771,0.674088,0.990365,0.698643,0.158324
0.075850,0.674088,0.990365,0.698643,0.158324
0.077929,0.674088,0.990365,0.698643,0.158324
0.080008,0.674088,0.990365,0.698643,0.158324
0.082087,0.674088,0.990365,0.698643,0.158324
0.084167,0.674088,0.990365,0.698643,0.158324
0.084167,0.674088,0.990365,0.698643,0.158324
0.086246,0.674088,0.990365,0.698643,0.158324
0.088325,0.674088,0.990365,0.698643,0.158324
0.090404,0.674088,0.990365,0.698643,0.158324
0.092483,0.674088,0.990365,0.698643,0.158324
0.094563,0.674088,0.990365,0.698643,0.158324
0.096642,0.674088,0.990365,0.698643,0.158324
