value,total_removed,ground_removed,ground_removed_total,cone_removed
2.000000,0.920419,0.975366,0.939543,0.553274
4.125000,0.920419,0.975366,0.939543,0.553274
6.250000,0.902348,0.974953,0.920680,0.555431
8.375000,0.924491,0.974002,0.942174,0.577798
10.500000,0.932074,0.973500,0.949359,0.586331
12.625000,0.913568,0.972238,0.929285,0.596965
14.750000,0.917166,0.974967,0.935643,0.560755
16.875000,0.922955,0.975242,0.941781,0.555877
19.000000,0.916142,0.975175,0.934726,0.552355
21.125000,0.921905,0.974946,0.940375,0.563093
23.250000,0.915819,0.975686,0.934917,0.546191
25.375000,0.917925,0.975038,0.936334,0.554908
27.500000,0.926613,0.975465,0.945629,0.553801
29.625000,0.919394,0.975296,0.938105,0.559441
31.750000,0.916722,0.975448,0.935534,0.550337
33.875000,0.924920,0.975300,0.943817,0.556497
36.000000,0.916100,0.975572,0.934969,0.550599
38.125000,0.917886,0.975447,0.936703,0.551501
40.250000,0.921977,0.975529,0.940930,0.549434
42.375000,0.919552,0.975410,0.938355,0.555465
44.500000,0.919504,0.975534,0.938350,0.549732
44.500000,0.919504,0.975534,0.938350,0.549732
46.625000,0.920113,0.975858,0.939389,0.545560
48.750000,0.919937,0.975597,0.938927,0.551628
50.875000,0.921571,0.975178,0.940152,0.558988
53.000000,0.916752,0.975895,0.935898,0.550687
55.125000,0.918611,0.975725,0.937633,0.548353
57.250000,0.916918,0.975537,0.935723,0.548080
59.375000,0.919116,0.975333,0.937818,0.559319
61.500000,0.917994,0.976558,0.937754,0.543412
63.625000,0.916307,0.976943,0.936021,0.538726
65.750000,0.922778,0.976862,0.942628,0.539136
67.875000,0.923669,0.977143,0.943777,0.537417
70.000000,0.926268,0.977011,0.946281,0.538374
72.125000,0.929221,0.976735,0.949020,0.542521
74.250000,0.929978,0.977025,0.950095,0.538380
76.375000,0.930387,0.977061,0.950528,0.538131
78.500000,0.932960,0.976620,0.952875,0.541808
80.625000,0.933371,0.976593,0.953270,0.543395
82.750000,0.933767,0.976520,0.953587,0.544896
84.875000,0.931016,0.976436,0.950766,0.547712
87.000000,0.931523,0.976532,0.951350,0.543285
87.000000,0.931523,0.976532,0.951350,0.543285
89.125000,0.929405,0.976593,0.949257,0.542459
91.250000,0.928904,0.976504,0.948687,0.545707
93.375000,0.926709,0.976498,0.946380,0.545629
95.500000,0.924951,0.976509,0.944424,0.544981
97.625000,0.924017,0.976588,0.943550,0.543184
99.750000,0.923837,0.976574,0.943368,0.542746
101.875000,0.924533,0.976542,0.944069,0.544456
104.000000,0.924337,0.976528,0.943858,0.544756
106.125000,0.924285,0.976522,0.943801,0.544866
108.250000,0.925559,0.976636,0.945172,0.543224
110.375000,0.924875,0.976592,0.944424,0.543898
112.500000,0.925204,0.976559,0.944738,0.544916
114.625000,0.924833,0.976579,0.944378,0.544125
116.750000,0.924493,0.976577,0.944046,0.543864
118.875000,0.924758,0.976585,0.944331,0.543734
121.000000,0.925077,0.976666,0.944716,0.542878
123.125000,0.924832,0.976667,0.944465,0.542527
125.250000,0.924492,0.976681,0.944147,0.542131
127.375000,0.925762,0.976740,0.945491,0.541866
129.500000,0.925591,0.976733,0.945320,0.541866
129.500000,0.925591,0.976733,0.945320,0.541866
131.625000,0.924775,0.976701,0.944447,0.541866
133.750000,0.924631,0.976698,0.944302,0.541866
135.875000,0.925595,0.976715,0.945320,0.541866
138.000000,0.925100,0.976707,0.944811,0.541866
140.125000,0.924627,0.976687,0.944293,0.541866
142.250000,0.924774,0.976694,0.944473,0.541866
144.375000,0.924844,0.976694,0.944551,0.541866
146.500000,0.924468,0.976679,0.944150,0.541866
148.625000,0.924085,0.976647,0.943737,0.541866
150.750000,0.924400,0.976653,0.944076,0.541866
152.875000,0.924280,0.976643,0.943939,0.541866
155.000000,0.923756,0.976636,0.943404,0.541866
157.125000,0.923451,0.976628,0.943085,0.541866
159.250000,0.923552,0.976626,0.943193,0.541866
161.375000,0.924575,0.976756,0.944353,0.535115
163.500000,0.925077,0.976762,0.944874,0.535115
165.625000,0.924994,0.976755,0.944790,0.535115
167.750000,0.925414,0.976772,0.945256,0.535115
169.875000,0.925354,0.976765,0.945188,0.535115
172.000000,0.924948,0.976755,0.944767,0.535115
172.000000,0.924948,0.976755,0.944767,0.535115
174.125000,0.924806,0.976737,0.944604,0.535115
176.250000,0.924478,0.976729,0.944270,0.535115
178.375000,0.924998,0.976740,0.944819,0.535115
180.500000,0.924928,0.976732,0.944735,0.535115
182.625000,0.924855,0.976728,0.944672,0.535115
184.750000,0.925165,0.976745,0.945018,0.535115
186.875000,0.924916,0.976740,0.944764,0.534740
189.000000,0.925295,0.976652,0.945066,0.535456
191.125000,0.925408,0.976652,0.945181,0.535456
193.250000,0.925283,0.976645,0.945047,0.535456
195.375000,0.925379,0.976645,0.945158,0.535456
197.500000,0.925284,0.976628,0.945061,0.535456
199.625000,0.925413,0.976660,0.945243,0.535207
201.750000,0.925143,0.976647,0.944951,0.535207
203.875000,0.925366,0.976647,0.945188,0.535207
206.000000,0.925620,0.976651,0.945465,0.535207
208.125000,0.925408,0.976636,0.945229,0.535207
210.250000,0.925537,0.976634,0.945359,0.535207
212.375000,0.925635,0.976686,0.945515,0.531623
214.500000,0.925810,0.976681,0.945695,0.531623
214.500000,0.925810,0.976681,0.945695,0.531623
216.625000,0.926030,0.976684,0.945929,0.531623
218.750000,0.926050,0.976678,0.945941,0.531623
220.875000,0.925898,0.976664,0.945766,0.531623
223.000000,0.926090,0.976677,0.945971,0.531623
225.125000,0.925991,0.976667,0.945873,0.531623
227.250000,0.925875,0.976666,0.945761,0.531623
229.375000,0.925906,0.976662,0.945793,0.531623
231.500000,0.925963,0.976661,0.945854,0.531623
233.625000,0.925953,0.976650,0.945840,0.531623
235.750000,0.926228,0.976655,0.946123,0.531623
237.875000,0.926377,0.976656,0.946281,0.531623
240.000000,0.926470,0.976653,0.946385,0.531623
242.125000,0.926519,0.976646,0.946427,0.531623
244.250000,0.926699,0.976646,0.946621,0.531623
246.375000,0.926647,0.976634,0.946569,0.531623
248.500000,0.926777,0.976630,0.946708,0.531623
250.625000,0.926827,0.976634,0.946771,0.531623
252.750000,0.926879,0.976634,0.946827,0.531623
254.875000,0.926979,0.976631,0.946932,0.531623
257.000000,0.926866,0.976620,0.946814,0.531623
257.000000,0.926866,0.976620,0.946814,0.531623
259.125000,0.927013,0.976623,0.946966,0.531623
261.250000,0.926942,0.976614,0.946889,0.531623
263.375000,0.926993,0.976607,0.946941,0.531623
265.500000,0.927068,0.976604,0.947018,0.531623
267.625000,0.927029,0.976597,0.946977,0.531623
269.750000,0.927098,0.976597,0.947044,0.531623
271.875000,0.927165,0.976593,0.947121,0.531623
274.000000,0.927568,0.976596,0.947535,0.531623
276.125000,0.927558,0.976594,0.947525,0.531623
278.250000,0.927447,0.976586,0.947398,0.531623
280.375000,0.927407,0.976585,0.947355,0.531623
282.500000,0.927474,0.976588,0.947433,0.531623
284.625000,0.927543,0.976589,0.947502,0.531623
286.750000,0.927408,0.976574,0.947361,0.531623
288.875000,0.927444,0.976579,0.947402,0.531623
291.000000,0.927625,0.976572,0.947586,0.531623
293.125000,0.927768,0.976577,0.947734,0.531623
295.250000,0.927683,0.976562,0.947637,0.531623
297.375000,0.927783,0.976552,0.947750,0.531623
299.500000,0.927804,0.976541,0.947770,0.531623
299.500000,0.927804,0.976541,0.947770,0.531623
301.625000,0.927917,0.976598,0.947939,0.530642
303.750000,0.927998,0.976594,0.948023,0.530642
305.875000,0.928080,0.976608,0.948113,0.530642
308.000000,0.928013,0.976598,0.948042,0.530642
310.125000,0.927913,0.976594,0.947940,0.530642
312.250000,0.927871,0.976593,0.947896,0.530642
314.375000,0.927956,0.976589,0.947987,0.530642
316.500000,0.927854,0.976587,0.947882,0.530642
318.625000,0.927840,0.976574,0.947860,0.530642
320.750000,0.927788,0.976570,0.947807,0.530642
322.875000,0.927769,0.976568,0.947789,0.530642
325.000000,0.927776,0.976557,0.947791,0.530642
327.125000,0.927724,0.976551,0.947735,0.530642
329.250000,0.927765,0.976550,0.947784,0.530642
331.375000,0.927817,0.976552,0.947838,0.530642
333.500000,0.927930,0.976569,0.947960,0.530642
335.625000,0.927964,0.976556,0.947987,0.530642
337.750000,0.927956,0.976560,0.947981,0.530642
339.875000,0.927973,0.976553,0.948004,0.530642
342.000000,0.928088,0.976552,0.948122,0.530642
342.000000,0.928088,0.976552,0.948122,0.530642
344.125000,0.928057,0.976545,0.948089,0.530642
346.250000,0.928201,0.976522,0.948246,0.530642
348.375000,0.928236,0.976527,0.948282,0.530642
350.500000,0.928241,0.976520,0.948288,0.530642
