value,total_removed,ground_removed,cone_removed,unassigned_removed
32.000000,0.416315,0.889571,0.014198,0.096231
32.223999,0.416315,0.889571,0.014198,0.096231
32.447998,0.416315,0.889571,0.014198,0.096231
32.671997,0.416315,0.889571,0.014198,0.096231
32.895996,0.416315,0.889571,0.014198,0.096231
33.119995,0.440787,0.897478,0.011602,0.090920
33.343994,0.440787,0.897478,0.011602,0.090920
33.567993,0.440787,0.897478,0.011602,0.090920
33.791992,0.440787,0.897478,0.011602,0.090920
34.015991,0.440737,0.896263,0.011582,0.092155
34.239990,0.440737,0.896263,0.011582,0.092155
34.463989,0.440737,0.896263,0.011582,0.092155
34.687988,0.440737,0.896263,0.011582,0.092155
34.911987,0.440737,0.896263,0.011582,0.092155
35.135986,0.436952,0.899743,0.011723,0.088534
35.359985,0.436952,0.899743,0.011723,0.088534
35.583984,0.436952,0.899743,0.011723,0.088534
35.807983,0.436952,0.899743,0.011723,0.088534
36.031982,0.433850,0.900155,0.011328,0.088517
36.255981,0.433850,0.900155,0.011328,0.088517
36.479980,0.433850,0.900155,0.011328,0.088517
36.703979,0.433850,0.900155,0.011328,0.088517
36.927979,0.433850,0.900155,0.011328,0.088517
37.151978,0.432994,0.902245,0.010820,0.086935
37.375977,0.432994,0.902245,0.010820,0.086935
37.599976,0.432994,0.902245,0.010820,0.086935
37.823975,0.432994,0.902245,0.010820,0.086935
38.047974,0.430797,0.902199,0.010565,0.087237
38.271973,0.430797,0.902199,0.010565,0.087237
38.495972,0.430797,0.902199,0.010565,0.087237
38.719971,0.430797,0.902199,0.010565,0.087237
38.943970,0.430797,0.902199,0.010565,0.087237
39.167969,0.429505,0.902257,0.010469,0.087273
39.391968,0.429505,0.902257,0.010469,0.087273
39.615967,0.429505,0.902257,0.010469,0.087273
39.839966,0.429505,0.902257,0.010469,0.087273
40.063965,0.427701,0.904748,0.010577,0.084675
40.287964,0.427701,0.904748,0.010577,0.084675
40.511963,0.427701,0.904748,0.010577,0.084675
40.735962,0.427701,0.904748,0.010577,0.084675
40.959961,0.427701,0.904748,0.010577,0.084675
41.183960,0.425496,0.907555,0.010594,0.081852
41.407959,0.425496,0.907555,0.010594,0.081852
41.631958,0.425496,0.907555,0.010594,0.081852
41.855957,0.425496,0.907555,0.010594,0.081852
42.079956,0.426647,0.907745,0.010430,0.081826
42.303955,0.426647,0.907745,0.010430,0.081826
42.527954,0.426647,0.907745,0.010430,0.081826
42.751953,0.426647,0.907745,0.010430,0.081826
42.975952,0.426647,0.907745,0.010430,0.081826
43.199951,0.427189,0.910097,0.010438,0.079466
43.423950,0.427189,0.910097,0.010438,0.079466
43.647949,0.427189,0.910097,0.010438,0.079466
43.871948,0.427189,0.910097,0.010438,0.079466
44.095947,0.428024,0.908988,0.010839,0.080173
44.319946,0.428024,0.908988,0.010839,0.080173
44.543945,0.428024,0.908988,0.010839,0.080173
44.767944,0.428024,0.908988,0.010839,0.080173
44.991943,0.428024,0.908988,0.010839,0.080173
45.215942,0.430818,0.906444,0.011570,0.081986
45.439941,0.430818,0.906444,0.011570,0.081986
45.663940,0.430818,0.906444,0.011570,0.081986
45.887939,0.430818,0.906444,0.011570,0.081986
46.111938,0.435015,0.903803,0.011808,0.084389
46.335938,0.435015,0.903803,0.011808,0.084389
46.559937,0.435015,0.903803,0.011808,0.084389
46.783936,0.435015,0.903803,0.011808,0.084389
47.007935,0.432969,0.904596,0.012354,0.083050
47.231934,0.432969,0.904596,0.012354,0.083050
47.455933,0.432969,0.904596,0.012354,0.083050
47.679932,0.432969,0.904596,0.012354,0.083050
47.903931,0.432969,0.904596,0.012354,0.083050
48.127930,0.427994,0.906978,0.012308,0.080714
48.351929,0.427994,0.906978,0.012308,0.080714
48.575928,0.427994,0.906978,0.012308,0.080714
48.799927,0.427994,0.906978,0.012308,0.080714
49.023926,0.429294,0.905346,0.012305,0.082349
49.247925,0.429294,0.905346,0.012305,0.082349
49.471924,0.429294,0.905346,0.012305,0.082349
49.695923,0.429294,0.905346,0.012305,0.082349
49.919922,0.429294,0.905346,0.012305,0.082349
50.143921,0.431318,0.901040,0.012001,0.086959
50.367920,0.431318,0.901040,0.012001,0.086959
50.591919,0.431318,0.901040,0.012001,0.086959
50.815918,0.431318,0.901040,0.012001,0.086959
51.039917,0.428373,0.900043,0.012126,0.087831
51.263916,0.428373,0.900043,0.012126,0.087831
51.487915,0.428373,0.900043,0.012126,0.087831
51.711914,0.428373,0.900043,0.012126,0.087831
51.935913,0.428373,0.900043,0.012126,0.087831
52.159912,0.429285,0.900287,0.011812,0.087901
52.383911,0.429285,0.900287,0.011812,0.087901
52.607910,0.429285,0.900287,0.011812,0.087901
52.831909,0.429285,0.900287,0.011812,0.087901
53.055908,0.427756,0.903453,0.011865,0.084682
53.279907,0.427756,0.903453,0.011865,0.084682
53.503906,0.427756,0.903453,0.011865,0.084682
53.727905,0.427756,0.903453,0.011865,0.084682
53.951904,0.427756,0.903453,0.011865,0.084682
54.175903,0.427721,0.902465,0.011942,0.085593
54.399902,0.427721,0.902465,0.011942,0.085593
54.623901,0.427721,0.902465,0.011942,0.085593
54.847900,0.427721,0.902465,0.011942,0.085593
55.071899,0.429381,0.901953,0.011963,0.086084
55.295898,0.429381,0.901953,0.011963,0.086084
55.519897,0.429381,0.901953,0.011963,0.086084
55.743896,0.429381,0.901953,0.011963,0.086084
55.967896,0.429381,0.901953,0.011963,0.086084
56.191895,0.428206,0.901855,0.011973,0.086171
56.415894,0.428206,0.901855,0.011973,0.086171
56.639893,0.428206,0.901855,0.011973,0.086171
56.863892,0.428206,0.901855,0.011973,0.086171
57.087891,0.429050,0.901728,0.012068,0.086204
57.311890,0.429050,0.901728,0.012068,0.086204
57.535889,0.429050,0.901728,0.012068,0.086204
57.759888,0.429050,0.901728,0.012068,0.086204
57.983887,0.429050,0.901728,0.012068,0.086204
58.207886,0.424920,0.901697,0.011633,0.086670
58.431885,0.424920,0.901697,0.011633,0.086670
58.655884,0.424920,0.901697,0.011633,0.086670
58.879883,0.424920,0.901697,0.011633,0.086670
59.103882,0.428388,0.900344,0.011931,0.087725
59.327881,0.428388,0.900344,0.011931,0.087725
59.551880,0.428388,0.900344,0.011931,0.087725
59.775879,0.428388,0.900344,0.011931,0.087725
59.999878,0.428388,0.900344,0.011931,0.087725
60.223877,0.428740,0.898996,0.012651,0.088353
60.447876,0.428740,0.898996,0.012651,0.088353
60.671875,0.428740,0.898996,0.012651,0.088353
60.895874,0.428740,0.898996,0.012651,0.088353
61.119873,0.430381,0.894751,0.013101,0.092148
61.343872,0.430381,0.894751,0.013101,0.092148
61.567871,0.430381,0.894751,0.013101,0.092148
61.791870,0.430381,0.894751,0.013101,0.092148
62.015869,0.431118,0.892719,0.013376,0.093906
62.239868,0.431118,0.892719,0.013376,0.093906
62.463867,0.431118,0.892719,0.013376,0.093906
62.687866,0.431118,0.892719,0.013376,0.093906
62.911865,0.431118,0.892719,0.013376,0.093906
63.135864,0.431830,0.891938,0.014217,0.093845
63.359863,0.431830,0.891938,0.014217,0.093845
63.583862,0.431830,0.891938,0.014217,0.093845
63.807861,0.431830,0.891938,0.014217,0.093845
64.031860,0.432631,0.891202,0.014958,0.093840
64.255859,0.432631,0.891202,0.014958,0.093840
64.479858,0.432631,0.891202,0.014958,0.093840
64.703857,0.432631,0.891202,0.014958,0.093840
64.927856,0.432631,0.891202,0.014958,0.093840
65.151855,0.426428,0.897819,0.014765,0.087416
65.375854,0.426428,0.897819,0.014765,0.087416
65.599854,0.426428,0.897819,0.014765,0.087416
65.823853,0.426428,0.897819,0.014765,0.087416
66.047852,0.426405,0.897793,0.014397,0.087810
66.271851,0.426405,0.897793,0.014397,0.087810
66.495850,0.426405,0.897793,0.014397,0.087810
66.719849,0.426405,0.897793,0.014397,0.087810
66.943848,0.426405,0.897793,0.014397,0.087810
67.167847,0.426668,0.897388,0.014661,0.087951
67.391846,0.426668,0.897388,0.014661,0.087951
67.615845,0.426668,0.897388,0.014661,0.087951
67.839844,0.426668,0.897388,0.014661,0.087951
68.063843,0.425153,0.897155,0.014952,0.087893
68.287842,0.425153,0.897155,0.014952,0.087893
68.511841,0.425153,0.897155,0.014952,0.087893
68.735840,0.425153,0.897155,0.014952,0.087893
68.959839,0.425153,0.897155,0.014952,0.087893
69.183838,0.423323,0.897835,0.014894,0.087271
69.407837,0.423323,0.897835,0.014894,0.087271
69.631836,0.423323,0.897835,0.014894,0.087271
69.855835,0.423323,0.897835,0.014894,0.087271
70.079834,0.422851,0.898076,0.015158,0.086766
70.303833,0.422851,0.898076,0.015158,0.086766
70.527832,0.422851,0.898076,0.015158,0.086766
70.751831,0.422851,0.898076,0.015158,0.086766
70.975830,0.422851,0.898076,0.015158,0.086766
71.199829,0.422919,0.897747,0.015139,0.087114
71.423828,0.422919,0.897747,0.015139,0.087114
71.647827,0.422919,0.897747,0.015139,0.087114
71.871826,0.422919,0.897747,0.015139,0.087114
72.095825,0.418584,0.902997,0.015380,0.081623
72.319824,0.418584,0.902997,0.015380,0.081623
72.543823,0.418584,0.902997,0.015380,0.081623
72.767822,0.418584,0.902997,0.015380,0.081623
72.991821,0.418584,0.902997,0.015380,0.081623
73.215820,0.417708,0.903629,0.015135,0.081236
73.439819,0.417708,0.903629,0.015135,0.081236
73.663818,0.417708,0.903629,0.015135,0.081236
73.887817,0.417708,0.903629,0.015135,0.081236
74.111816,0.418302,0.900271,0.015350,0.084380
74.335815,0.418302,0.900271,0.015350,0.084380
74.559814,0.418302,0.900271,0.015350,0.084380
74.783813,0.418302,0.900271,0.015350,0.084380
75.007812,0.421412,0.899749,0.015470,0.084781
75.231812,0.421412,0.899749,0.015470,0.084781
75.455811,0.421412,0.899749,0.015470,0.084781
75.679810,0.421412,0.899749,0.015470,0.084781
75.903809,0.421412,0.899749,0.015470,0.084781
76.127808,0.426781,0.897172,0.015519,0.087309
76.351807,0.426781,0.897172,0.015519,0.087309
76.575806,0.426781,0.897172,0.015519,0.087309
76.799805,0.426781,0.897172,0.015519,0.087309
77.023804,0.434445,0.892834,0.015248,0.091918
77.247803,0.434445,0.892834,0.015248,0.091918
77.471802,0.434445,0.892834,0.015248,0.091918
77.695801,0.434445,0.892834,0.015248,0.091918
77.919800,0.434445,0.892834,0.015248,0.091918
78.143799,0.433005,0.895412,0.015537,0.089050
78.367798,0.433005,0.895412,0.015537,0.089050
78.591797,0.433005,0.895412,0.015537,0.089050
78.815796,0.433005,0.895412,0.015537,0.089050
79.039795,0.434038,0.890958,0.015181,0.093861
79.263794,0.434038,0.890958,0.015181,0.093861
79.487793,0.434038,0.890958,0.015181,0.093861
79.711792,0.434038,0.890958,0.015181,0.093861
79.935791,0.434038,0.890958,0.015181,0.093861
80.159790,0.431035,0.891382,0.015151,0.093467
80.383789,0.431035,0.891382,0.015151,0.093467
80.607788,0.431035,0.891382,0.015151,0.093467
80.831787,0.431035,0.891382,0.015151,0.093467
81.055786,0.430757,0.891150,0.015238,0.093613
81.279785,0.430757,0.891150,0.015238,0.093613
81.503784,0.430757,0.891150,0.015238,0.093613
81.727783,0.430757,0.891150,0.015238,0.093613
81.951782,0.430757,0.891150,0.015238,0.093613
82.175781,0.431834,0.890268,0.015300,0.094431
82.399780,0.431834,0.890268,0.015300,0.094431
82.623779,0.431834,0.890268,0.015300,0.094431
82.847778,0.431834,0.890268,0.015300,0.094431
83.071777,0.433274,0.890003,0.015263,0.094734
83.295776,0.433274,0.890003,0.015263,0.094734
83.519775,0.433274,0.890003,0.015263,0.094734
83.743774,0.433274,0.890003,0.015263,0.094734
83.967773,0.433274,0.890003,0.015263,0.094734
84.191772,0.435561,0.888701,0.015347,0.095952
84.415771,0.435561,0.888701,0.015347,0.095952
84.639771,0.435561,0.888701,0.015347,0.095952
84.863770,0.435561,0.888701,0.015347,0.095952
85.087769,0.436844,0.888615,0.015430,0.095955
85.311768,0.436844,0.888615,0.015430,0.095955
85.535767,0.436844,0.888615,0.015430,0.095955
85.759766,0.436844,0.888615,0.015430,0.095955
85.983765,0.436844,0.888615,0.015430,0.095955
86.207764,0.438881,0.885123,0.015222,0.099655
86.431763,0.438881,0.885123,0.015222,0.099655
86.655762,0.438881,0.885123,0.015222,0.099655
86.879761,0.438881,0.885123,0.015222,0.099655
87.103760,0.436000,0.887692,0.015238,0.097069
87.327759,0.436000,0.887692,0.015238,0.097069
87.551758,0.436000,0.887692,0.015238,0.097069
87.775757,0.436000,0.887692,0.015238,0.097069
87.999756,0.436000,0.887692,0.015238,0.097069
88.223755,0.435390,0.887451,0.015609,0.096940
88.447754,0.435390,0.887451,0.015609,0.096940
88.671753,0.435390,0.887451,0.015609,0.096940
88.895752,0.435390,0.887451,0.015609,0.096940
89.119751,0.436635,0.886209,0.015792,0.097999
89.343750,0.436635,0.886209,0.015792,0.097999
89.567749,0.436635,0.886209,0.015792,0.097999
89.791748,0.436635,0.886209,0.015792,0.097999
90.015747,0.438772,0.885670,0.016031,0.098299
90.239746,0.438772,0.885670,0.016031,0.098299
90.463745,0.438772,0.885670,0.016031,0.098299
90.687744,0.438772,0.885670,0.016031,0.098299
90.911743,0.438772,0.885670,0.016031,0.098299
91.135742,0.437517,0.887264,0.016095,0.096641
91.359741,0.437517,0.887264,0.016095,0.096641
91.583740,0.437517,0.887264,0.016095,0.096641
91.807739,0.437517,0.887264,0.016095,0.096641
92.031738,0.437081,0.887125,0.016270,0.096606
92.255737,0.437081,0.887125,0.016270,0.096606
92.479736,0.437081,0.887125,0.016270,0.096606
92.703735,0.437081,0.887125,0.016270,0.096606
92.927734,0.437081,0.887125,0.016270,0.096606
93.151733,0.439425,0.886194,0.016272,0.097534
93.375732,0.439425,0.886194,0.016272,0.097534
93.599731,0.439425,0.886194,0.016272,0.097534
93.823730,0.439425,0.886194,0.016272,0.097534
94.047729,0.438771,0.886162,0.015896,0.097942
94.271729,0.438771,0.886162,0.015896,0.097942
94.495728,0.438771,0.886162,0.015896,0.097942
94.719727,0.438771,0.886162,0.015896,0.097942
94.943726,0.438771,0.886162,0.015896,0.097942
95.167725,0.438609,0.888986,0.015868,0.095146
95.391724,0.438609,0.888986,0.015868,0.095146
95.615723,0.438609,0.888986,0.015868,0.095146
95.839722,0.438609,0.888986,0.015868,0.095146
96.063721,0.440659,0.889098,0.015757,0.095145
96.287720,0.440659,0.889098,0.015757,0.095145
96.511719,0.440659,0.889098,0.015757,0.095145
96.735718,0.440659,0.889098,0.015757,0.095145
96.959717,0.440659,0.889098,0.015757,0.095145
97.183716,0.442182,0.886824,0.016053,0.097123
97.407715,0.442182,0.886824,0.016053,0.097123
97.631714,0.442182,0.886824,0.016053,0.097123
97.855713,0.442182,0.886824,0.016053,0.097123
98.079712,0.444371,0.885765,0.016170,0.098065
98.303711,0.444371,0.885765,0.016170,0.098065
98.527710,0.444371,0.885765,0.016170,0.098065
98.751709,0.444371,0.885765,0.016170,0.098065
98.975708,0.444371,0.885765,0.016170,0.098065
99.199707,0.447135,0.881900,0.016040,0.102060
99.423706,0.447135,0.881900,0.016040,0.102060
99.647705,0.447135,0.881900,0.016040,0.102060
99.871704,0.447135,0.881900,0.016040,0.102060
100.095703,0.450327,0.878209,0.015839,0.105952
100.319702,0.450327,0.878209,0.015839,0.105952
100.543701,0.450327,0.878209,0.015839,0.105952
100.767700,0.450327,0.878209,0.015839,0.105952
100.991699,0.450327,0.878209,0.015839,0.105952
101.215698,0.451213,0.877221,0.015992,0.106787
101.439697,0.451213,0.877221,0.015992,0.106787
101.663696,0.451213,0.877221,0.015992,0.106787
101.887695,0.451213,0.877221,0.015992,0.106787
102.111694,0.450748,0.875200,0.015965,0.108835
102.335693,0.450748,0.875200,0.015965,0.108835
102.559692,0.450748,0.875200,0.015965,0.108835
102.783691,0.450748,0.875200,0.015965,0.108835
103.007690,0.454020,0.875064,0.016078,0.108858
103.231689,0.454020,0.875064,0.016078,0.108858
103.455688,0.454020,0.875064,0.016078,0.108858
103.679688,0.454020,0.875064,0.016078,0.108858
103.903687,0.454020,0.875064,0.016078,0.108858
104.127686,0.453102,0.877810,0.015967,0.106223
104.351685,0.453102,0.877810,0.015967,0.106223
104.575684,0.453102,0.877810,0.015967,0.106223
104.799683,0.453102,0.877810,0.015967,0.106223
105.023682,0.453191,0.877503,0.015776,0.106721
105.247681,0.453191,0.877503,0.015776,0.106721
105.471680,0.453191,0.877503,0.015776,0.106721
105.695679,0.453191,0.877503,0.015776,0.106721
105.919678,0.453191,0.877503,0.015776,0.106721
106.143677,0.454213,0.878954,0.015696,0.105350
106.367676,0.454213,0.878954,0.015696,0.105350
106.591675,0.454213,0.878954,0.015696,0.105350
106.815674,0.454213,0.878954,0.015696,0.105350
107.039673,0.454101,0.878752,0.015648,0.105600
107.263672,0.454101,0.878752,0.015648,0.105600
107.487671,0.454101,0.878752,0.015648,0.105600
107.711670,0.454101,0.878752,0.015648,0.105600
107.935669,0.454101,0.878752,0.015648,0.105600
108.159668,0.454855,0.878525,0.015525,0.105950
