value,total_removed,ground_removed,cone_removed,unassigned_removed
64.000000,0.490127,0.849555,0.019308,0.131137
64.447998,0.490127,0.849555,0.019308,0.131137
64.895996,0.490127,0.849555,0.019308,0.131137
65.343994,0.488147,0.854770,0.018613,0.126617
65.791992,0.488147,0.854770,0.018613,0.126617
66.239990,0.488933,0.854265,0.018345,0.127390
66.687988,0.488933,0.854265,0.018345,0.127390
67.135986,0.490265,0.851975,0.018226,0.129800
67.583984,0.490265,0.851975,0.018226,0.129800
68.031982,0.489102,0.853093,0.018713,0.128194
68.479980,0.489102,0.853093,0.018713,0.128194
68.927979,0.489102,0.853093,0.018713,0.128194
69.375977,0.491158,0.853373,0.018511,0.128116
69.823975,0.491158,0.853373,0.018511,0.128116
70.271973,0.490641,0.852313,0.019465,0.128222
70.719971,0.490641,0.852313,0.019465,0.128222
71.167969,0.492733,0.850757,0.019508,0.129734
71.615967,0.492733,0.850757,0.019508,0.129734
72.063965,0.491260,0.849730,0.018512,0.131758
72.511963,0.491260,0.849730,0.018512,0.131758
72.959961,0.491260,0.849730,0.018512,0.131758
73.407959,0.489685,0.852678,0.018529,0.128792
73.855957,0.489685,0.852678,0.018529,0.128792
74.303955,0.487657,0.852647,0.018830,0.128523
74.751953,0.487657,0.852647,0.018830,0.128523
75.199951,0.490452,0.851052,0.018812,0.130136
75.647949,0.490452,0.851052,0.018812,0.130136
76.095947,0.492109,0.850011,0.019308,0.130682
76.543945,0.492109,0.850011,0.019308,0.130682
76.991943,0.492109,0.850011,0.019308,0.130682
77.439941,0.489910,0.849800,0.018491,0.131709
77.887939,0.489910,0.849800,0.018491,0.131709
78.335938,0.489357,0.849291,0.018359,0.132350
78.783936,0.489357,0.849291,0.018359,0.132350
79.231934,0.495936,0.848090,0.019114,0.132796
79.679932,0.495936,0.848090,0.019114,0.132796
80.127930,0.489821,0.850555,0.019520,0.129925
80.575928,0.489821,0.850555,0.019520,0.129925
81.023926,0.493783,0.848999,0.019371,0.131630
81.471924,0.493783,0.848999,0.019371,0.131630
81.919922,0.493783,0.848999,0.019371,0.131630
82.367920,0.493415,0.850203,0.018645,0.131153
82.815918,0.493415,0.850203,0.018645,0.131153
83.263916,0.488562,0.849391,0.019053,0.131556
83.711914,0.488562,0.849391,0.019053,0.131556
84.159912,0.495709,0.848150,0.018751,0.133099
84.607910,0.495709,0.848150,0.018751,0.133099
85.055908,0.492154,0.849831,0.019473,0.130695
85.503906,0.492154,0.849831,0.019473,0.130695
85.951904,0.492154,0.849831,0.019473,0.130695
86.399902,0.494352,0.847085,0.019944,0.132972
86.847900,0.494352,0.847085,0.019944,0.132972
87.295898,0.492166,0.848854,0.019439,0.131707
87.743896,0.492166,0.848854,0.019439,0.131707
88.191895,0.490791,0.849367,0.019441,0.131192
88.639893,0.490791,0.849367,0.019441,0.131192
89.087891,0.493520,0.847630,0.019318,0.133052
89.535889,0.493520,0.847630,0.019318,0.133052
89.983887,0.493520,0.847630,0.019318,0.133052
90.431885,0.494607,0.847368,0.019394,0.133237
90.879883,0.494607,0.847368,0.019394,0.133237
91.327881,0.491892,0.846420,0.019301,0.134279
91.775879,0.491892,0.846420,0.019301,0.134279
92.223877,0.493089,0.849460,0.019766,0.130774
92.671875,0.493089,0.849460,0.019766,0.130774
93.119873,0.494366,0.846796,0.018380,0.134824
93.567871,0.494366,0.846796,0.018380,0.134824
94.015869,0.487430,0.851468,0.018316,0.130217
94.463867,0.487430,0.851468,0.018316,0.130217
94.911865,0.487430,0.851468,0.018316,0.130217
95.359863,0.491602,0.847273,0.019632,0.133094
95.807861,0.491602,0.847273,0.019632,0.133094
96.255859,0.494134,0.848178,0.019409,0.132413
96.703857,0.494134,0.848178,0.019409,0.132413
97.151855,0.495516,0.847244,0.019435,0.133322
97.599854,0.495516,0.847244,0.019435,0.133322
98.047852,0.492424,0.847670,0.019316,0.133013
98.495850,0.492424,0.847670,0.019316,0.133013
98.943848,0.492424,0.847670,0.019316,0.133013
99.391846,0.491409,0.846014,0.018921,0.135065
99.839844,0.491409,0.846014,0.018921,0.135065
100.287842,0.490638,0.849084,0.018583,0.132332
100.735840,0.490638,0.849084,0.018583,0.132332
101.183838,0.494435,0.845777,0.020349,0.133874
101.631836,0.494435,0.845777,0.020349,0.133874
102.079834,0.493304,0.848702,0.019972,0.131326
102.527832,0.493304,0.848702,0.019972,0.131326
102.975830,0.493304,0.848702,0.019972,0.131326
103.423828,0.488229,0.850472,0.018929,0.130598
103.871826,0.488229,0.850472,0.018929,0.130598
104.319824,0.495737,0.845721,0.020043,0.134236
104.767822,0.495737,0.845721,0.020043,0.134236
105.215820,0.493612,0.846231,0.019588,0.134181
105.663818,0.493612,0.846231,0.019588,0.134181
106.111816,0.489561,0.847165,0.019275,0.133560
106.559814,0.489561,0.847165,0.019275,0.133560
107.007812,0.488629,0.849276,0.019343,0.131381
107.455811,0.488629,0.849276,0.019343,0.131381
107.903809,0.488629,0.849276,0.019343,0.131381
108.351807,0.492536,0.844719,0.019561,0.135720
108.799805,0.492536,0.844719,0.019561,0.135720
109.247803,0.496338,0.845604,0.019772,0.134624
109.695801,0.496338,0.845604,0.019772,0.134624
110.143799,0.492971,0.845904,0.019676,0.134421
110.591797,0.492971,0.845904,0.019676,0.134421
111.039795,0.491365,0.845734,0.019719,0.134547
111.487793,0.491365,0.845734,0.019719,0.134547
111.935791,0.491365,0.845734,0.019719,0.134547
112.383789,0.493950,0.846117,0.019349,0.134534
112.831787,0.493950,0.846117,0.019349,0.134534
113.279785,0.491899,0.845495,0.019031,0.135474
113.727783,0.491899,0.845495,0.019031,0.135474
114.175781,0.490241,0.847615,0.019384,0.133001
114.623779,0.490241,0.847615,0.019384,0.133001
115.071777,0.494525,0.844325,0.019967,0.135708
115.519775,0.494525,0.844325,0.019967,0.135708
115.967773,0.494525,0.844325,0.019967,0.135708
116.415771,0.494154,0.844554,0.019706,0.135741
116.863770,0.494154,0.844554,0.019706,0.135741
117.311768,0.492217,0.845289,0.020309,0.134402
117.759766,0.492217,0.845289,0.020309,0.134402
118.207764,0.492400,0.842830,0.020279,0.136891
118.655762,0.492400,0.842830,0.020279,0.136891
119.103760,0.491990,0.843756,0.020177,0.136067
119.551758,0.491990,0.843756,0.020177,0.136067
119.999756,0.491990,0.843756,0.020177,0.136067
120.447754,0.492467,0.843930,0.019434,0.136636
120.895752,0.492467,0.843930,0.019434,0.136636
121.343750,0.492353,0.845709,0.019242,0.135049
121.791748,0.492353,0.845709,0.019242,0.135049
122.239746,0.494557,0.841867,0.020052,0.138081
122.687744,0.494557,0.841867,0.020052,0.138081
123.135742,0.492964,0.844901,0.019574,0.135525
123.583740,0.492964,0.844901,0.019574,0.135525
124.031738,0.491949,0.845055,0.020076,0.134869
124.479736,0.491949,0.845055,0.020076,0.134869
124.927734,0.491949,0.845055,0.020076,0.134869
125.375732,0.494412,0.846623,0.020262,0.133115
125.823730,0.494412,0.846623,0.020262,0.133115
126.271729,0.496199,0.840689,0.020242,0.139069
126.719727,0.496199,0.840689,0.020242,0.139069
127.167725,0.490822,0.846860,0.019472,0.133669
127.615723,0.490822,0.846860,0.019472,0.133669
128.063721,0.493767,0.840756,0.019605,0.139639
128.511719,0.493767,0.840756,0.019605,0.139639
128.959717,0.493767,0.840756,0.019605,0.139639
129.407715,0.491953,0.847042,0.019872,0.133086
129.855713,0.491953,0.847042,0.019872,0.133086
130.303711,0.494404,0.841015,0.020133,0.138853
130.751709,0.494404,0.841015,0.020133,0.138853
131.199707,0.491292,0.844212,0.020532,0.135256
131.647705,0.491292,0.844212,0.020532,0.135256
132.095703,0.493773,0.844493,0.019926,0.135581
132.543701,0.493773,0.844493,0.019926,0.135581
132.991699,0.493773,0.844493,0.019926,0.135581
133.439697,0.490895,0.847845,0.019893,0.132262
133.887695,0.490895,0.847845,0.019893,0.132262
134.335693,0.491529,0.842308,0.019225,0.138467
134.783691,0.491529,0.842308,0.019225,0.138467
135.231689,0.493519,0.845758,0.020484,0.133757
135.679688,0.493519,0.845758,0.020484,0.133757
136.127686,0.489000,0.844292,0.020406,0.135303
136.575684,0.489000,0.844292,0.020406,0.135303
137.023682,0.488715,0.846037,0.020331,0.133632
137.471680,0.488715,0.846037,0.020331,0.133632
137.919678,0.488715,0.846037,0.020331,0.133632
138.367676,0.491155,0.843783,0.019776,0.136441
138.815674,0.491155,0.843783,0.019776,0.136441
139.263672,0.487693,0.847354,0.020016,0.132630
139.711670,0.487693,0.847354,0.020016,0.132630
140.159668,0.490098,0.846058,0.019899,0.134043
140.607666,0.490098,0.846058,0.019899,0.134043
141.055664,0.490853,0.846946,0.020472,0.132582
141.503662,0.490853,0.846946,0.020472,0.132582
141.951660,0.490853,0.846946,0.020472,0.132582
142.399658,0.492015,0.845885,0.020629,0.133486
142.847656,0.492015,0.845885,0.020629,0.133486
143.295654,0.492996,0.844799,0.020370,0.134830
143.743652,0.492996,0.844799,0.020370,0.134830
144.191650,0.490916,0.846471,0.019875,0.133654
144.639648,0.490916,0.846471,0.019875,0.133654
145.087646,0.490628,0.844911,0.019765,0.135323
145.535645,0.490628,0.844911,0.019765,0.135323
145.983643,0.490628,0.844911,0.019765,0.135323
146.431641,0.489961,0.846113,0.020338,0.133549
146.879639,0.489961,0.846113,0.020338,0.133549
147.327637,0.486251,0.847526,0.020124,0.132350
147.775635,0.486251,0.847526,0.020124,0.132350
148.223633,0.485933,0.848293,0.020240,0.131466
148.671631,0.485933,0.848293,0.020240,0.131466
149.119629,0.488631,0.845213,0.019622,0.135164
149.567627,0.488631,0.845213,0.019622,0.135164
150.015625,0.487364,0.846259,0.019131,0.134610
150.463623,0.487364,0.846259,0.019131,0.134610
150.911621,0.487364,0.846259,0.019131,0.134610
151.359619,0.494651,0.842811,0.019253,0.137936
151.807617,0.494651,0.842811,0.019253,0.137936
152.255615,0.489983,0.848456,0.019681,0.131863
152.703613,0.489983,0.848456,0.019681,0.131863
153.151611,0.488958,0.846563,0.019749,0.133688
153.599609,0.488958,0.846563,0.019749,0.133688
154.047607,0.489663,0.848447,0.018448,0.133105
154.495605,0.489663,0.848447,0.018448,0.133105
154.943604,0.489663,0.848447,0.018448,0.133105
155.391602,0.491361,0.847625,0.018873,0.133501
155.839600,0.491361,0.847625,0.018873,0.133501
156.287598,0.491407,0.847853,0.019043,0.133105
156.735596,0.491407,0.847853,0.019043,0.133105
157.183594,0.491759,0.848500,0.018827,0.132672
157.631592,0.491759,0.848500,0.018827,0.132672
158.079590,0.492440,0.847292,0.019215,0.133494
158.527588,0.492440,0.847292,0.019215,0.133494
158.975586,0.492440,0.847292,0.019215,0.133494
159.423584,0.490602,0.847890,0.019214,0.132896
159.871582,0.490602,0.847890,0.019214,0.132896
160.319580,0.489645,0.849630,0.018136,0.132235
160.767578,0.489645,0.849630,0.018136,0.132235
161.215576,0.489328,0.849873,0.018164,0.131962
161.663574,0.489328,0.849873,0.018164,0.131962
162.111572,0.490702,0.848115,0.018618,0.133266
162.559570,0.490702,0.848115,0.018618,0.133266
163.007568,0.491184,0.844908,0.018499,0.136593
163.455566,0.491184,0.844908,0.018499,0.136593
163.903564,0.491184,0.844908,0.018499,0.136593
164.351562,0.491693,0.847337,0.018392,0.134271
164.799561,0.491693,0.847337,0.018392,0.134271
165.247559,0.492719,0.847727,0.018368,0.133905
165.695557,0.492719,0.847727,0.018368,0.133905
166.143555,0.487331,0.850817,0.018503,0.130680
166.591553,0.487331,0.850817,0.018503,0.130680
167.039551,0.485858,0.853997,0.018109,0.127894
167.487549,0.485858,0.853997,0.018109,0.127894
167.935547,0.485858,0.853997,0.018109,0.127894
168.383545,0.487403,0.853619,0.018157,0.128224
168.831543,0.487403,0.853619,0.018157,0.128224
169.279541,0.486594,0.852529,0.018365,0.129106
169.727539,0.486594,0.852529,0.018365,0.129106
170.175537,0.486025,0.854603,0.017691,0.127706
170.623535,0.486025,0.854603,0.017691,0.127706
171.071533,0.485590,0.853835,0.017710,0.128455
171.519531,0.485590,0.853835,0.017710,0.128455
171.967529,0.485590,0.853835,0.017710,0.128455
172.415527,0.486274,0.855528,0.018125,0.126347
172.863525,0.486274,0.855528,0.018125,0.126347
173.311523,0.483831,0.854766,0.017845,0.127389
173.759521,0.483831,0.854766,0.017845,0.127389
174.207520,0.485551,0.854400,0.017721,0.127879
174.655518,0.485551,0.854400,0.017721,0.127879
175.103516,0.487181,0.853170,0.017808,0.129022
175.551514,0.487181,0.853170,0.017808,0.129022
175.999512,0.487181,0.853170,0.017808,0.129022
176.447510,0.480991,0.860231,0.017451,0.122318
176.895508,0.480991,0.860231,0.017451,0.122318
177.343506,0.481850,0.858652,0.017929,0.123419
177.791504,0.481850,0.858652,0.017929,0.123419
178.239502,0.483695,0.858436,0.017882,0.123682
178.687500,0.483695,0.858436,0.017882,0.123682
179.135498,0.482505,0.857636,0.017537,0.124827
