value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.048392,0.779489,0.026757,0.193754
0.005999,0.112161,0.830430,0.021044,0.148526
0.010998,0.159046,0.853297,0.017328,0.129375
0.015997,0.188787,0.863021,0.015091,0.121888
0.020996,0.213097,0.866997,0.013968,0.119034
0.025995,0.233931,0.867262,0.012979,0.119758
0.030994,0.253050,0.869493,0.012207,0.118300
0.035993,0.272249,0.873884,0.012232,0.113883
0.040992,0.291512,0.876552,0.012369,0.111080
0.045991,0.311452,0.878296,0.012787,0.108917
0.050990,0.331401,0.878510,0.013391,0.108099
0.055989,0.351384,0.880141,0.014023,0.105836
0.060988,0.368254,0.881981,0.013919,0.104100
0.065987,0.383560,0.881851,0.014531,0.103619
0.070986,0.398721,0.882412,0.014901,0.102687
0.075985,0.413109,0.882928,0.015006,0.102066
0.080984,0.426315,0.882010,0.015130,0.102860
0.085983,0.436206,0.880291,0.015345,0.104364
0.090982,0.443342,0.877652,0.015819,0.106529
0.095981,0.449115,0.874804,0.015714,0.109481
0.100980,0.452708,0.871117,0.015933,0.112950
0.105979,0.455766,0.867874,0.016236,0.115890
0.110978,0.459408,0.864017,0.016805,0.119178
0.115977,0.462439,0.860306,0.017146,0.122548
0.120976,0.466015,0.858287,0.017046,0.124667
0.125975,0.469686,0.855662,0.017359,0.126979
0.130974,0.473659,0.853128,0.017877,0.128995
0.135973,0.477657,0.850031,0.018859,0.131110
0.140972,0.482066,0.847796,0.019087,0.133117
0.145971,0.485407,0.845105,0.019867,0.135027
0.150970,0.488498,0.842096,0.020824,0.137080
0.155969,0.491505,0.838255,0.021070,0.140675
0.160968,0.494443,0.834676,0.021544,0.143781
0.165967,0.496693,0.831702,0.021868,0.146430
0.170966,0.498025,0.829903,0.021921,0.148176
0.175965,0.499501,0.827965,0.022124,0.149911
0.180964,0.500988,0.825811,0.022298,0.151891
0.185963,0.502992,0.823724,0.022379,0.153896
0.190962,0.504534,0.821496,0.022312,0.156192
0.195961,0.508368,0.815615,0.022638,0.161746
0.200960,0.509978,0.813255,0.023294,0.163451
0.205959,0.511983,0.810362,0.023484,0.166154
0.210958,0.513731,0.807797,0.023596,0.168606
0.215957,0.515136,0.805790,0.024139,0.170071
0.220956,0.516504,0.803928,0.024543,0.171528
0.225955,0.518090,0.801655,0.025155,0.173190
0.230954,0.520888,0.797608,0.025732,0.176660
0.235953,0.522585,0.795239,0.025972,0.178789
0.240952,0.524292,0.792958,0.026052,0.180990
0.245951,0.525750,0.790940,0.026207,0.182854
0.250950,0.527160,0.789167,0.026268,0.184565
0.255949,0.528775,0.786956,0.026647,0.186397
0.260948,0.530801,0.784137,0.026759,0.189104
0.265947,0.533517,0.780332,0.026838,0.192830
0.270946,0.535593,0.777372,0.026957,0.195670
0.275945,0.537366,0.774934,0.027081,0.197985
0.280944,0.538915,0.772851,0.027127,0.200022
0.285943,0.539962,0.771471,0.027146,0.201383
0.290942,0.541508,0.769419,0.027254,0.203327
0.295941,0.542621,0.767922,0.027250,0.204827
0.300940,0.544827,0.764871,0.027412,0.207717
0.305939,0.546283,0.762946,0.027495,0.209558
0.310938,0.547576,0.761326,0.027794,0.210880
0.315937,0.549131,0.759199,0.028286,0.212515
0.320936,0.550788,0.756962,0.028717,0.214321
0.325935,0.552010,0.755412,0.028749,0.215839
0.330934,0.553412,0.753646,0.028729,0.217624
0.335933,0.555228,0.751354,0.028826,0.219820
0.340932,0.557633,0.748293,0.028875,0.222831
0.345931,0.559324,0.746156,0.028921,0.224923
0.350930,0.560730,0.744416,0.028925,0.226659
0.355929,0.562006,0.742828,0.028927,0.228244
0.360928,0.563195,0.741368,0.029027,0.229605
0.365927,0.564663,0.739564,0.029046,0.231391
0.370926,0.566472,0.737296,0.029059,0.233645
0.375925,0.568272,0.735099,0.029027,0.235874
0.380924,0.569407,0.733746,0.029025,0.237229
0.385923,0.570646,0.732231,0.029006,0.238763
0.390922,0.571886,0.730673,0.028935,0.240392
0.395921,0.573054,0.729265,0.028919,0.241816
0.400920,0.574305,0.727795,0.028938,0.243267
0.405919,0.575555,0.726276,0.028966,0.244758
0.410918,0.576582,0.725028,0.028933,0.246039
0.415917,0.577518,0.723952,0.028914,0.247134
0.420916,0.578730,0.722476,0.028853,0.248671
0.425915,0.580454,0.720372,0.028814,0.250815
0.430914,0.582515,0.717886,0.028872,0.253242
0.435913,0.584495,0.715550,0.028832,0.255618
0.440912,0.586647,0.712989,0.028799,0.258212
0.445911,0.588260,0.711063,0.028753,0.260185
0.450910,0.589629,0.709435,0.028711,0.261854
0.455909,0.590954,0.707896,0.028687,0.263416
0.460908,0.592266,0.706381,0.028626,0.264993
0.465907,0.593590,0.704849,0.028672,0.266478
0.470906,0.594944,0.703276,0.028681,0.268042
0.475905,0.596322,0.701714,0.028620,0.269665
0.480904,0.597603,0.700255,0.028562,0.271183
0.485903,0.598684,0.699018,0.028557,0.272425
0.490902,0.599756,0.697786,0.028678,0.273536
0.495901,0.601038,0.696321,0.028639,0.275040
0.500900,0.602006,0.695203,0.028627,0.276169
0.505899,0.602805,0.694323,0.028611,0.277067
0.510898,0.603549,0.693495,0.028578,0.277927
0.515897,0.604312,0.692665,0.028564,0.278772
0.520896,0.605511,0.691340,0.028518,0.280143
0.525895,0.606599,0.690117,0.028472,0.281411
0.530894,0.607910,0.688663,0.028414,0.282923
