value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.451932,0.872153,0.015784,0.112063
-0.980000,0.451932,0.872153,0.015784,0.112063
-0.960000,0.451932,0.872153,0.015784,0.112063
-0.940000,0.451932,0.872153,0.015784,0.112063
-0.920000,0.451932,0.872153,0.015784,0.112063
-0.900000,0.451932,0.872153,0.015784,0.112063
-0.880000,0.451932,0.872153,0.015784,0.112063
-0.860000,0.451932,0.872153,0.015784,0.112063
-0.840000,0.451932,0.872153,0.015784,0.112063
-0.820000,0.451932,0.872153,0.015784,0.112063
-0.800000,0.451932,0.872153,0.015784,0.112063
-0.780000,0.451932,0.872153,0.015784,0.112063
-0.760000,0.451932,0.872153,0.015784,0.112063
-0.740000,0.451932,0.872153,0.015784,0.112063
-0.720000,0.451932,0.872153,0.015784,0.112063
-0.700000,0.451932,0.872153,0.015784,0.112063
-0.680000,0.451932,0.872153,0.015784,0.112063
-0.660000,0.451932,0.872153,0.015784,0.112063
-0.640000,0.451932,0.872153,0.015784,0.112063
-0.620000,0.451932,0.872153,0.015784,0.112063
-0.600000,0.451932,0.872153,0.015784,0.112063
-0.580000,0.451932,0.872153,0.015784,0.112063
-0.560000,0.451932,0.872153,0.015784,0.112063
-0.540000,0.451932,0.872153,0.015784,0.112063
-0.520000,0.451932,0.872153,0.015784,0.112063
-0.500000,0.451932,0.872153,0.015784,0.112063
-0.480000,0.451932,0.872153,0.015784,0.112063
-0.460000,0.451932,0.872153,0.015784,0.112063
-0.440000,0.451932,0.872153,0.015784,0.112063
-0.420000,0.451932,0.872153,0.015784,0.112063
-0.400000,0.451932,0.872153,0.015784,0.112063
-0.380000,0.451932,0.872153,0.015784,0.112063
-0.360000,0.451932,0.872153,0.015784,0.112063
-0.340000,0.451932,0.872153,0.015784,0.112063
-0.320000,0.451932,0.872153,0.015784,0.112063
-0.300000,0.451932,0.872153,0.015784,0.112063
-0.280000,0.451932,0.872153,0.015784,0.112063
-0.260000,0.451932,0.872153,0.015784,0.112063
-0.240000,0.451944,0.872129,0.015783,0.112088
-0.220000,0.451944,0.872129,0.015783,0.112088
-0.200000,0.451944,0.872129,0.015783,0.112088
-0.180000,0.451944,0.872129,0.015783,0.112088
-0.160000,0.451944,0.872129,0.015783,0.112088
-0.140000,0.451944,0.872129,0.015783,0.112088
-0.120000,0.451944,0.872129,0.015783,0.112088
-0.100000,0.451944,0.872129,0.015783,0.112088
-0.080000,0.451944,0.872129,0.015783,0.112088
-0.060000,0.451944,0.872129,0.015783,0.112088
-0.040000,0.451944,0.872129,0.015783,0.112088
-0.020000,0.451944,0.872129,0.015783,0.112088
-0.000000,0.451944,0.872129,0.015783,0.112088
0.020000,0.451944,0.872129,0.015783,0.112088
0.040000,0.451944,0.872129,0.015783,0.112088
0.060000,0.451944,0.872129,0.015783,0.112088
0.080000,0.451944,0.872129,0.015783,0.112088
0.100000,0.451944,0.872129,0.015783,0.112088
0.120000,0.451944,0.872129,0.015783,0.112088
0.140000,0.451916,0.872184,0.015785,0.112031
0.160000,0.451916,0.872184,0.015785,0.112031
0.180000,0.451916,0.872184,0.015785,0.112031
0.200000,0.451916,0.872184,0.015785,0.112031
0.220000,0.451916,0.872184,0.015785,0.112031
0.240000,0.451920,0.872177,0.015784,0.112038
0.260000,0.451968,0.872082,0.015783,0.112135
0.280000,0.451968,0.872082,0.015783,0.112135
0.300000,0.451968,0.872082,0.015783,0.112135
0.320000,0.451968,0.872082,0.015783,0.112135
0.340000,0.451968,0.872082,0.015783,0.112135
0.360000,0.451968,0.872082,0.015783,0.112135
0.380000,0.451988,0.872047,0.015782,0.112171
0.400000,0.451988,0.872047,0.015782,0.112171
0.420000,0.451988,0.872047,0.015782,0.112171
0.440000,0.451988,0.872047,0.015782,0.112171
0.460000,0.451988,0.872047,0.015782,0.112171
0.480000,0.451988,0.872047,0.015782,0.112171
0.500000,0.451988,0.872047,0.015782,0.112171
0.520000,0.451988,0.872047,0.015782,0.112171
0.540000,0.451988,0.872047,0.015782,0.112171
0.560000,0.451988,0.872047,0.015782,0.112171
0.580000,0.451988,0.872047,0.015782,0.112171
0.600000,0.451988,0.872047,0.015782,0.112171
0.620000,0.451988,0.872047,0.015782,0.112171
0.640000,0.451988,0.872047,0.015782,0.112171
0.660000,0.451988,0.872047,0.015782,0.112171
0.680000,0.451988,0.872047,0.015782,0.112171
0.700000,0.451988,0.872047,0.015782,0.112171
0.719999,0.451988,0.872047,0.015782,0.112171
0.739999,0.451988,0.872047,0.015782,0.112171
0.759999,0.451988,0.872047,0.015782,0.112171
0.779999,0.451988,0.872047,0.015782,0.112171
0.799999,0.451988,0.872047,0.015782,0.112171
0.819999,0.451988,0.872047,0.015782,0.112171
0.839999,0.451988,0.872047,0.015782,0.112171
0.859999,0.451988,0.872047,0.015782,0.112171
0.879999,0.451988,0.872047,0.015782,0.112171
0.899999,0.451988,0.872047,0.015782,0.112171
0.919999,0.451988,0.872047,0.015782,0.112171
0.939999,0.451988,0.872047,0.015782,0.112171
0.959999,0.451988,0.872047,0.015782,0.112171
0.979999,0.451988,0.872047,0.015782,0.112171
0.999999,0.451988,0.872047,0.015782,0.112171
