value,total_removed,ground_removed,cone_removed,unassigned_removed
0.000100,0.461610,0.866517,0.015338,0.118144
0.010100,0.417017,0.883296,0.016715,0.099988
0.020100,0.396388,0.889382,0.016318,0.094299
0.030100,0.392673,0.887658,0.015722,0.096620
0.040100,0.387754,0.890950,0.014875,0.094175
0.050100,0.381735,0.895343,0.015006,0.089651
0.060099,0.378078,0.894877,0.014573,0.090550
0.070099,0.369314,0.897282,0.014832,0.087886
0.080099,0.358208,0.887649,0.014892,0.097459
0.090099,0.335289,0.883961,0.014931,0.101108
0.100099,0.331604,0.884737,0.014486,0.100777
0.110099,0.312716,0.879822,0.015099,0.105078
0.120099,0.299205,0.871734,0.014895,0.113370
0.130099,0.288111,0.866932,0.015505,0.117563
0.140099,0.247309,0.847183,0.015199,0.137618
0.150099,0.251795,0.853097,0.015199,0.131704
0.160098,0.247168,0.847155,0.016400,0.136445
0.170098,0.269737,0.848288,0.013881,0.137832
0.180098,0.265990,0.845531,0.014523,0.139946
0.190098,0.242029,0.840742,0.015492,0.143765
0.200098,0.233007,0.835639,0.015563,0.148799
0.210098,0.230080,0.838433,0.015725,0.145842
0.220098,0.230619,0.838886,0.016213,0.144901
0.230098,0.228545,0.838679,0.016313,0.145008
0.240098,0.224518,0.841406,0.016321,0.142273
0.250098,0.223032,0.842818,0.015560,0.141622
0.260097,0.221171,0.842987,0.015547,0.141466
0.270097,0.211076,0.839185,0.015789,0.145027
0.280097,0.206904,0.845314,0.015436,0.139251
0.290097,0.189993,0.838548,0.014365,0.147088
0.300097,0.181758,0.838383,0.014954,0.146663
0.310097,0.156668,0.832363,0.015676,0.151960
0.320097,0.136146,0.825016,0.017906,0.157078
0.330097,0.133162,0.830107,0.016941,0.152952
0.340097,0.130972,0.826337,0.016863,0.156800
0.350097,0.128319,0.824835,0.016303,0.158862
0.360096,0.127296,0.825041,0.016302,0.158656
0.370096,0.126627,0.824850,0.016274,0.158876
0.380096,0.104325,0.824553,0.018496,0.156951
0.390096,0.104081,0.825642,0.018217,0.156141
0.400096,0.102661,0.824655,0.018437,0.156908
0.410096,0.102058,0.825036,0.018567,0.156397
0.420096,0.100414,0.822808,0.018793,0.158398
0.430096,0.099359,0.824862,0.018719,0.156419
0.440096,0.098672,0.823739,0.018569,0.157692
