value,total_removed,ground_removed,cone_removed,unassigned_removed
32.000000,0.439939,0.881013,0.007921,0.111065
34.240002,0.435474,0.881044,0.008586,0.110370
36.480003,0.422006,0.886366,0.008946,0.104688
38.720005,0.401423,0.914270,0.005607,0.080123
40.960007,0.401931,0.911850,0.005148,0.083002
43.200008,0.401387,0.911640,0.005065,0.083296
45.440010,0.407957,0.906567,0.004983,0.088450
47.680012,0.414855,0.906108,0.004900,0.088992
49.920013,0.400661,0.910845,0.005074,0.084081
52.160015,0.398700,0.910043,0.005190,0.084767
54.400017,0.395361,0.909099,0.005142,0.085759
56.640018,0.395941,0.908316,0.005134,0.086550
58.880020,0.394272,0.906638,0.005801,0.087561
61.120022,0.398700,0.901848,0.010926,0.087226
63.360023,0.398446,0.898779,0.012937,0.088284
65.600021,0.398991,0.896097,0.014011,0.089892
67.840019,0.402512,0.895743,0.010462,0.093795
70.080017,0.393255,0.896612,0.010708,0.092680
72.320015,0.389698,0.897718,0.010806,0.091476
74.560013,0.383780,0.898978,0.010972,0.090049
76.800011,0.411914,0.892394,0.010223,0.097383
79.040009,0.416851,0.889489,0.010102,0.100409
81.280006,0.400334,0.893634,0.010519,0.095847
83.520004,0.410825,0.888840,0.010604,0.100557
85.760002,0.413366,0.888469,0.010187,0.101344
88.000000,0.413040,0.885393,0.011601,0.103006
90.239998,0.418775,0.880981,0.013176,0.105843
92.479996,0.415907,0.879986,0.013267,0.106747
94.719994,0.417287,0.877860,0.011483,0.110657
96.959991,0.420990,0.876692,0.011382,0.111925
99.199989,0.429412,0.874968,0.011159,0.113873
101.439987,0.435038,0.871746,0.011015,0.117240
103.679985,0.438487,0.868367,0.010928,0.120705
105.919983,0.443315,0.867016,0.010809,0.122175
108.159981,0.450430,0.863798,0.010638,0.125564
110.399979,0.441863,0.863868,0.010845,0.125288
112.639977,0.440992,0.864998,0.010866,0.124136
114.879974,0.434712,0.865887,0.010689,0.123424
117.119972,0.432715,0.865268,0.010990,0.123742
119.359970,0.436853,0.864218,0.010886,0.124896
121.599968,0.438995,0.863061,0.012652,0.124287
123.839966,0.436853,0.866379,0.012215,0.121406
126.079964,0.443388,0.870067,0.012363,0.117570
128.319962,0.441790,0.871487,0.012325,0.116187
130.559967,0.444005,0.871392,0.012591,0.116017
132.799973,0.439685,0.871450,0.011972,0.116579
135.039978,0.453443,0.866064,0.011768,0.122168
137.279984,0.449668,0.870025,0.011141,0.118834
139.519989,0.455767,0.867861,0.011231,0.120908
141.759995,0.457182,0.868350,0.010640,0.121010
144.000000,0.464915,0.866714,0.011712,0.121574
146.240005,0.454097,0.864258,0.011272,0.124470
148.480011,0.452354,0.863815,0.011315,0.124870
150.720016,0.454605,0.864090,0.011100,0.124810
152.960022,0.451701,0.865145,0.011251,0.123604
155.200027,0.458380,0.853568,0.010137,0.136295
157.440033,0.451011,0.850531,0.011349,0.138120
159.680038,0.442916,0.862470,0.011884,0.125645
161.920044,0.446473,0.854216,0.010895,0.134889
164.160049,0.437616,0.860224,0.006885,0.132891
166.400055,0.439104,0.862021,0.006035,0.131944
168.640060,0.438850,0.867566,0.009513,0.122922
170.880066,0.428359,0.870169,0.010678,0.119153
173.120071,0.424220,0.872925,0.011296,0.115780
175.360077,0.417940,0.880222,0.011639,0.108139
177.600082,0.425636,0.876162,0.011514,0.112324
179.840088,0.421244,0.878145,0.011892,0.109962
182.080093,0.372019,0.836163,0.011417,0.152420
184.320099,0.381965,0.829120,0.015016,0.155864
186.560104,0.383926,0.831316,0.014467,0.154217
188.800110,0.386430,0.829403,0.014655,0.155942
191.040115,0.395578,0.826466,0.015601,0.157933
193.280121,0.459070,0.841294,0.014471,0.144235
195.520126,0.466004,0.834229,0.015035,0.150736
197.760132,0.464406,0.837958,0.011960,0.150082
200.000137,0.475878,0.825769,0.011748,0.162484
202.240143,0.482484,0.825972,0.012941,0.161086
204.480148,0.500454,0.823517,0.014507,0.161976
206.720154,0.501507,0.821788,0.015708,0.162505
208.960159,0.507133,0.819256,0.015533,0.165211
211.200165,0.507315,0.819964,0.017174,0.162862
213.440170,0.505609,0.821870,0.015939,0.162191
215.680176,0.511199,0.815367,0.015694,0.168939
217.920181,0.508404,0.822992,0.016280,0.160728
220.160187,0.503285,0.821696,0.015219,0.163084
222.400192,0.503431,0.817998,0.016369,0.165633
224.640198,0.505718,0.819898,0.016079,0.164023
226.880203,0.499728,0.824132,0.016708,0.159160
229.120209,0.500962,0.819928,0.018261,0.161812
231.360214,0.499946,0.821958,0.017935,0.160107
233.600220,0.498421,0.819592,0.018500,0.161908
235.840225,0.501398,0.820446,0.018390,0.161164
238.080231,0.500127,0.821877,0.018074,0.160049
240.320236,0.500127,0.821442,0.019017,0.159541
242.560242,0.499946,0.824862,0.019895,0.155243
244.800247,0.505282,0.819671,0.020332,0.159997
247.040253,0.509638,0.819147,0.020301,0.160553
249.280258,0.510110,0.818318,0.019926,0.161756
251.520264,0.507823,0.819501,0.019515,0.160984
253.760269,0.508222,0.821500,0.019857,0.158643
