value,total_removed,ground_removed,cone_removed,unassigned_removed
64.000000,0.484554,0.833758,0.017456,0.148786
68.480003,0.492830,0.838244,0.017163,0.144593
72.960007,0.498276,0.834620,0.015882,0.149497
77.440010,0.488474,0.841335,0.016795,0.141870
81.920013,0.491052,0.840615,0.018334,0.141051
86.400017,0.496860,0.834222,0.017462,0.148316
90.880020,0.495735,0.836189,0.016183,0.147627
95.360023,0.491233,0.834097,0.017957,0.147946
99.840027,0.494682,0.831438,0.017172,0.151391
104.320030,0.495771,0.836714,0.018086,0.145200
108.800034,0.486587,0.833408,0.018278,0.148314
113.280037,0.488329,0.832070,0.017321,0.150610
117.760040,0.489636,0.833037,0.018535,0.148428
122.240044,0.494174,0.831338,0.017336,0.151326
126.720047,0.498856,0.824916,0.018192,0.156891
131.200043,0.484771,0.835630,0.019245,0.145125
135.680038,0.501833,0.833912,0.018012,0.148076
140.160034,0.485788,0.838514,0.014871,0.146615
144.640030,0.494900,0.832612,0.018191,0.149197
149.120026,0.493738,0.837218,0.017719,0.145063
153.600021,0.482920,0.835601,0.017064,0.147335
158.080017,0.485752,0.843360,0.015395,0.141245
162.560013,0.483574,0.845057,0.015990,0.138954
167.040009,0.469670,0.853146,0.012521,0.134333
171.520004,0.478528,0.846154,0.014945,0.138902
176.000000,0.468508,0.855339,0.014877,0.129785
180.479996,0.473445,0.855927,0.013418,0.130655
184.959991,0.468073,0.848844,0.012176,0.138979
189.439987,0.472066,0.852584,0.014995,0.132421
193.919983,0.469706,0.848829,0.014298,0.136873
198.399979,0.461030,0.848031,0.011890,0.140079
202.879974,0.463426,0.845762,0.011985,0.142253
207.359970,0.465386,0.848284,0.009594,0.142122
211.839966,0.461284,0.845518,0.012041,0.142441
216.319962,0.454423,0.864994,0.012302,0.122703
220.799957,0.452027,0.869499,0.010119,0.120382
225.279953,0.455186,0.867932,0.011803,0.120265
229.759949,0.451628,0.869625,0.012378,0.117997
234.239944,0.454859,0.867997,0.010295,0.121708
238.719940,0.448252,0.869776,0.012067,0.118157
243.199936,0.447199,0.868902,0.012501,0.118597
247.679932,0.442807,0.871618,0.010657,0.117724
252.159927,0.446582,0.871647,0.012356,0.115997
256.639923,0.441790,0.871487,0.012325,0.116187
261.119934,0.439903,0.872751,0.011471,0.115778
265.599945,0.445529,0.868492,0.012466,0.119042
270.079956,0.446255,0.865452,0.012283,0.122265
274.559967,0.441500,0.867292,0.010936,0.121773
279.039978,0.443242,0.868960,0.012449,0.118591
283.519989,0.437834,0.870077,0.012520,0.117403
288.000000,0.436200,0.871005,0.011651,0.117344
292.480011,0.436273,0.872774,0.012731,0.114495
296.960022,0.445711,0.868545,0.010751,0.120704
301.440033,0.442444,0.869134,0.011487,0.119380
305.920044,0.438777,0.871267,0.012658,0.116075
310.400055,0.444949,0.868239,0.012319,0.119442
314.880066,0.444549,0.866732,0.011596,0.121672
319.360077,0.442734,0.870367,0.012381,0.117252
323.840088,0.442698,0.870603,0.012546,0.116851
328.320099,0.441754,0.871312,0.011094,0.117594
332.800110,0.443896,0.869071,0.012349,0.118580
337.280121,0.446183,0.871288,0.012285,0.116427
341.760132,0.443460,0.872217,0.011215,0.116568
346.240143,0.445312,0.870384,0.012309,0.117307
350.720154,0.447272,0.870303,0.012174,0.117523
355.200165,0.447054,0.870646,0.011125,0.118230
359.680176,0.446074,0.873047,0.012370,0.114583
364.160187,0.449886,0.871379,0.012265,0.116356
368.640198,0.446219,0.870973,0.011227,0.117800
373.120209,0.448397,0.872571,0.012225,0.115204
377.600220,0.447744,0.873358,0.012243,0.114399
382.080231,0.449595,0.873153,0.011062,0.115785
386.560242,0.446147,0.875671,0.012286,0.112042
391.040253,0.450031,0.874405,0.012261,0.113334
395.520264,0.450140,0.875081,0.011129,0.113790
400.000275,0.450902,0.875211,0.011030,0.113759
404.480286,0.451193,0.875211,0.012149,0.112640
408.960297,0.451628,0.876939,0.011092,0.111968
413.440308,0.455222,0.875518,0.012121,0.112360
417.920319,0.453008,0.875952,0.011139,0.112910
422.400330,0.455585,0.875777,0.010916,0.113307
426.880341,0.457182,0.876131,0.012069,0.111799
431.360352,0.457255,0.876469,0.012385,0.111146
435.840363,0.456529,0.875795,0.011053,0.113152
440.320374,0.455585,0.877610,0.010996,0.111394
444.800385,0.456057,0.876701,0.011303,0.111996
449.280396,0.454605,0.879661,0.011179,0.109159
453.760406,0.456747,0.877762,0.012001,0.110237
458.240417,0.456638,0.878210,0.012322,0.109468
462.720428,0.454750,0.879700,0.011096,0.109204
467.200439,0.454677,0.880240,0.011178,0.108583
471.680450,0.454677,0.880160,0.011657,0.108184
476.160461,0.454314,0.880543,0.011187,0.108270
480.640472,0.454024,0.880547,0.011114,0.108339
485.120483,0.454605,0.881658,0.012138,0.106205
489.600494,0.453734,0.882151,0.011281,0.106569
494.080505,0.452790,0.883348,0.011224,0.105428
498.560516,0.454569,0.881489,0.012139,0.106373
503.040527,0.451991,0.884106,0.011405,0.104490
507.520538,0.451955,0.884257,0.010924,0.104819
