value,total_removed,ground_removed,cone_removed,unassigned_removed
32.000000,0.416315,0.889571,0.014198,0.096231
34.240002,0.440737,0.896263,0.011582,0.092155
36.480003,0.433858,0.900139,0.011328,0.088533
38.720005,0.430785,0.902223,0.010565,0.087212
40.960007,0.426532,0.907047,0.010638,0.082315
43.200008,0.427181,0.910114,0.010438,0.079448
45.440010,0.430798,0.906486,0.011571,0.081943
47.680012,0.432965,0.904604,0.012354,0.083041
49.920013,0.429169,0.905609,0.012308,0.082083
52.160015,0.427539,0.903753,0.011871,0.084377
54.400017,0.427697,0.902514,0.011943,0.085543
56.640018,0.428198,0.901870,0.011974,0.086157
58.880020,0.424888,0.901768,0.011634,0.086598
61.120022,0.430300,0.894922,0.013104,0.091975
63.360023,0.431830,0.891938,0.014217,0.093845
65.600021,0.426432,0.897811,0.014765,0.087424
67.840019,0.426515,0.897713,0.014665,0.087622
70.080017,0.422778,0.898225,0.015160,0.086615
72.320015,0.418584,0.903058,0.015380,0.081562
74.560013,0.418427,0.900079,0.015345,0.084576
76.800011,0.426725,0.897292,0.015520,0.087188
79.040009,0.434031,0.890970,0.015180,0.093850
81.280006,0.430769,0.891129,0.015238,0.093634
83.520004,0.433323,0.889903,0.015260,0.094837
85.760002,0.435016,0.891425,0.015501,0.093073
88.000000,0.435471,0.887307,0.015605,0.097088
90.239998,0.438804,0.885612,0.016030,0.098358
92.479996,0.437081,0.887125,0.016270,0.096605
94.719994,0.436786,0.889696,0.015946,0.094358
96.959991,0.440727,0.889039,0.015754,0.095207
99.199989,0.447216,0.881768,0.016037,0.102195
101.439987,0.451209,0.877228,0.015992,0.106781
103.679985,0.454081,0.874970,0.016010,0.109020
105.919983,0.453042,0.877926,0.015781,0.106294
108.159981,0.454755,0.878734,0.015529,0.105737
110.399979,0.448348,0.879154,0.015824,0.105022
112.639977,0.448379,0.876003,0.015912,0.108085
114.879974,0.444993,0.877750,0.015960,0.106290
117.119972,0.444940,0.874742,0.016233,0.109025
119.359970,0.445604,0.877374,0.016481,0.106145
121.599968,0.445921,0.876123,0.016566,0.107311
123.839966,0.447999,0.872442,0.016257,0.111302
126.079964,0.453246,0.872070,0.016335,0.111595
128.319962,0.451988,0.872047,0.015782,0.112171
130.559967,0.453483,0.875197,0.015453,0.109349
132.799973,0.457813,0.870655,0.016072,0.113273
135.039978,0.461388,0.872790,0.016281,0.110929
137.279984,0.461631,0.871012,0.015954,0.113034
139.519989,0.464963,0.870014,0.015343,0.114643
141.759995,0.467724,0.870532,0.015124,0.114344
144.000000,0.469244,0.869857,0.015759,0.114384
146.240005,0.466781,0.869741,0.015763,0.114496
148.480011,0.466451,0.869885,0.016108,0.114006
150.720016,0.468703,0.869030,0.016305,0.114666
152.960022,0.469010,0.870140,0.016479,0.113381
155.200027,0.471776,0.867453,0.015891,0.116656
157.440033,0.471994,0.863420,0.016283,0.120297
159.680038,0.469241,0.867805,0.016747,0.115448
161.920044,0.470701,0.863384,0.016211,0.120405
164.160049,0.463980,0.860420,0.016184,0.123396
166.400055,0.461442,0.862888,0.015729,0.121383
168.640060,0.471162,0.862853,0.016057,0.121091
170.880066,0.456416,0.860967,0.017132,0.121901
173.120071,0.452994,0.863523,0.016730,0.119747
175.360077,0.465335,0.863868,0.017071,0.119061
177.600082,0.466617,0.862170,0.017502,0.120329
179.840088,0.472754,0.860680,0.018568,0.120751
182.080093,0.459905,0.850725,0.018361,0.130914
184.320099,0.448766,0.844987,0.018232,0.136780
186.560104,0.450469,0.844636,0.017676,0.137689
188.800110,0.443734,0.843328,0.017973,0.138699
191.040115,0.455775,0.839839,0.018860,0.141301
193.280121,0.478746,0.844352,0.019074,0.136574
195.520126,0.482705,0.840522,0.018958,0.140520
197.760132,0.482620,0.838925,0.018454,0.142622
200.000137,0.486456,0.833091,0.018517,0.148392
202.240143,0.483434,0.839494,0.017931,0.142575
204.480148,0.480633,0.834011,0.018580,0.147409
206.720154,0.492544,0.836492,0.019034,0.144473
208.960159,0.505326,0.832675,0.019156,0.148169
211.200165,0.501621,0.834765,0.019895,0.145340
213.440170,0.504355,0.832876,0.019806,0.147318
215.680176,0.501563,0.831193,0.019672,0.149134
217.920181,0.501478,0.832610,0.019948,0.147442
220.160187,0.507436,0.831861,0.020676,0.147463
222.400192,0.499247,0.834219,0.021155,0.144626
224.640198,0.507854,0.833318,0.021003,0.145679
226.880203,0.508939,0.833552,0.021125,0.145324
229.120209,0.504403,0.830730,0.021377,0.147893
231.360214,0.504419,0.831112,0.021298,0.147590
233.600220,0.505006,0.830152,0.021478,0.148370
235.840225,0.506671,0.830701,0.021416,0.147882
238.080231,0.509728,0.832221,0.021015,0.146764
240.320236,0.511272,0.830586,0.021086,0.148328
242.560242,0.511430,0.831375,0.021408,0.147217
244.800247,0.514101,0.830147,0.021470,0.148383
247.040253,0.514955,0.829084,0.021252,0.149664
249.280258,0.514034,0.830316,0.021236,0.148448
251.520264,0.513979,0.829225,0.021390,0.149385
253.760269,0.512854,0.831004,0.021481,0.147514
