value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.463946,0.862779,0.015277,0.121945
-0.980000,0.463946,0.862779,0.015277,0.121945
-0.960000,0.463946,0.862779,0.015277,0.121945
-0.940000,0.463946,0.862779,0.015277,0.121945
-0.920000,0.463946,0.862779,0.015277,0.121945
-0.900000,0.463946,0.862779,0.015277,0.121945
-0.880000,0.463946,0.862779,0.015277,0.121945
-0.860000,0.463946,0.862779,0.015277,0.121945
-0.840000,0.463946,0.862779,0.015277,0.121945
-0.820000,0.463946,0.862779,0.015277,0.121945
-0.800000,0.463946,0.862779,0.015277,0.121945
-0.780000,0.463946,0.862779,0.015277,0.121945
-0.760000,0.463946,0.862779,0.015277,0.121945
-0.740000,0.463946,0.862779,0.015277,0.121945
-0.720000,0.463946,0.862779,0.015277,0.121945
-0.700000,0.463946,0.862779,0.015277,0.121945
-0.680000,0.463946,0.862779,0.015277,0.121945
-0.660000,0.463946,0.862779,0.015277,0.121945
-0.640000,0.463946,0.862779,0.015277,0.121945
-0.620000,0.463946,0.862779,0.015277,0.121945
-0.600000,0.463946,0.862779,0.015277,0.121945
-0.580000,0.463946,0.862779,0.015277,0.121945
-0.560000,0.463946,0.862779,0.015277,0.121945
-0.540000,0.463946,0.862779,0.015277,0.121945
-0.520000,0.463946,0.862779,0.015277,0.121945
-0.500000,0.463946,0.862779,0.015277,0.121945
-0.480000,0.463946,0.862779,0.015277,0.121945
-0.460000,0.463946,0.862779,0.015277,0.121945
-0.440000,0.463946,0.862779,0.015277,0.121945
-0.420000,0.463946,0.862779,0.015277,0.121945
-0.400000,0.463946,0.862779,0.015277,0.121945
-0.380000,0.463946,0.862779,0.015277,0.121945
-0.360000,0.463946,0.862779,0.015277,0.121945
-0.340000,0.463946,0.862779,0.015277,0.121945
-0.320000,0.463946,0.862779,0.015277,0.121945
-0.300000,0.463946,0.862779,0.015277,0.121945
-0.280000,0.463946,0.862779,0.015277,0.121945
-0.260000,0.463946,0.862779,0.015277,0.121945
-0.240000,0.463946,0.862779,0.015277,0.121945
-0.220000,0.463946,0.862779,0.015277,0.121945
-0.200000,0.463946,0.862779,0.015277,0.121945
-0.180000,0.463946,0.862779,0.015277,0.121945
-0.160000,0.463946,0.862779,0.015277,0.121945
-0.140000,0.463946,0.862779,0.015277,0.121945
-0.120000,0.463946,0.862779,0.015277,0.121945
-0.100000,0.463946,0.862779,0.015277,0.121945
-0.080000,0.463946,0.862779,0.015277,0.121945
-0.060000,0.463946,0.862779,0.015277,0.121945
-0.040000,0.463946,0.862779,0.015277,0.121945
-0.020000,0.463946,0.862779,0.015277,0.121945
-0.000000,0.463946,0.862779,0.015277,0.121945
0.020000,0.461638,0.866552,0.015339,0.118109
0.040000,0.461638,0.866552,0.015339,0.118109
0.060000,0.461401,0.866856,0.015345,0.117799
0.080000,0.461401,0.866856,0.015345,0.117799
0.100000,0.461412,0.866882,0.015344,0.117773
0.120000,0.461505,0.866646,0.015342,0.118012
0.140000,0.459623,0.868427,0.015401,0.116172
0.160000,0.444502,0.871960,0.015940,0.112100
0.180000,0.439184,0.874221,0.015737,0.110041
0.200000,0.452252,0.871863,0.016100,0.112038
0.220000,0.452332,0.871705,0.016032,0.112263
0.240000,0.452108,0.871772,0.015839,0.112390
0.260000,0.452004,0.872017,0.015842,0.112141
0.280000,0.452008,0.872009,0.015842,0.112149
0.300000,0.452008,0.872009,0.015842,0.112149
0.320000,0.452013,0.871998,0.015782,0.112220
0.340000,0.452013,0.871998,0.015782,0.112220
0.360000,0.452013,0.871998,0.015782,0.112220
0.380000,0.452013,0.871998,0.015782,0.112220
0.400000,0.451989,0.872045,0.015783,0.112172
0.420000,0.451960,0.872101,0.015784,0.112115
0.440000,0.451960,0.872101,0.015784,0.112115
0.460000,0.451988,0.872047,0.015782,0.112171
0.480000,0.451988,0.872047,0.015782,0.112171
0.500000,0.451988,0.872047,0.015782,0.112171
0.520000,0.451988,0.872047,0.015782,0.112171
0.540000,0.451988,0.872047,0.015782,0.112171
0.560000,0.451988,0.872047,0.015782,0.112171
0.580000,0.451988,0.872047,0.015782,0.112171
0.600000,0.451988,0.872047,0.015782,0.112171
0.620000,0.451988,0.872047,0.015782,0.112171
0.640000,0.451988,0.872047,0.015782,0.112171
0.660000,0.451988,0.872047,0.015782,0.112171
0.680000,0.451988,0.872047,0.015782,0.112171
0.700000,0.451988,0.872047,0.015782,0.112171
0.719999,0.451988,0.872047,0.015782,0.112171
0.739999,0.451988,0.872047,0.015782,0.112171
0.759999,0.451988,0.872047,0.015782,0.112171
0.779999,0.451988,0.872047,0.015782,0.112171
0.799999,0.451988,0.872047,0.015782,0.112171
0.819999,0.451988,0.872047,0.015782,0.112171
0.839999,0.451988,0.872047,0.015782,0.112171
0.859999,0.451988,0.872047,0.015782,0.112171
0.879999,0.451988,0.872047,0.015782,0.112171
0.899999,0.451988,0.872047,0.015782,0.112171
0.919999,0.451988,0.872047,0.015782,0.112171
0.939999,0.451988,0.872047,0.015782,0.112171
0.959999,0.451988,0.872047,0.015782,0.112171
0.979999,0.451988,0.872047,0.015782,0.112171
0.999999,0.451988,0.872047,0.015782,0.112171
