value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.048512,0.778158,0.026731,0.195111
0.005990,0.112133,0.830040,0.021059,0.148901
0.010980,0.158926,0.853009,0.017345,0.129646
0.015970,0.188675,0.862796,0.015102,0.122102
0.020960,0.213073,0.866877,0.013972,0.119151
0.025950,0.233786,0.867376,0.012989,0.119635
0.030940,0.252808,0.869367,0.012206,0.118427
0.035930,0.271955,0.873738,0.012243,0.114019
0.040920,0.291111,0.876423,0.012384,0.111193
0.045910,0.311059,0.878278,0.012790,0.108932
0.050900,0.331015,0.878481,0.013344,0.108175
0.055890,0.351085,0.880113,0.013974,0.105913
0.060880,0.368013,0.882016,0.013926,0.104058
0.065870,0.383452,0.881850,0.014534,0.103616
0.070860,0.398283,0.882363,0.014858,0.102779
0.075850,0.412908,0.882899,0.014994,0.102107
0.080840,0.425981,0.882077,0.015124,0.102799
0.085830,0.435937,0.880354,0.015292,0.104354
0.090820,0.443209,0.877682,0.015814,0.106504
0.095810,0.449003,0.874905,0.015718,0.109377
0.100800,0.452596,0.871223,0.015919,0.112858
0.105790,0.455654,0.867970,0.016204,0.115826
0.110780,0.459307,0.864118,0.016800,0.119082
0.115770,0.462355,0.860376,0.017149,0.122476
0.120760,0.465911,0.858360,0.017051,0.124589
0.125750,0.469441,0.855826,0.017299,0.126874
0.130740,0.473535,0.853259,0.017824,0.128917
0.135730,0.477553,0.850004,0.018848,0.131147
0.140720,0.481824,0.848053,0.019080,0.132867
0.145710,0.485270,0.845189,0.019856,0.134955
0.150700,0.488304,0.842319,0.020814,0.136868
0.155690,0.491315,0.838513,0.021028,0.140459
0.160680,0.494330,0.834827,0.021501,0.143672
0.165670,0.496569,0.831882,0.021874,0.146244
0.170660,0.497977,0.829977,0.021924,0.148100
0.175650,0.499433,0.828055,0.022095,0.149850
0.180640,0.500924,0.825879,0.022293,0.151827
0.185630,0.502936,0.823811,0.022375,0.153815
0.190620,0.504462,0.821608,0.022315,0.156077
0.195610,0.508276,0.815710,0.022610,0.161680
0.200600,0.509950,0.813286,0.023288,0.163426
0.205590,0.511858,0.810538,0.023490,0.165972
0.210580,0.513643,0.807906,0.023567,0.168526
0.215570,0.515092,0.805862,0.024133,0.170005
0.220560,0.516460,0.803994,0.024522,0.171484
0.225550,0.518010,0.801766,0.025151,0.173083
0.230540,0.520768,0.797766,0.025706,0.176527
0.235530,0.522517,0.795340,0.025945,0.178716
0.240520,0.524168,0.793118,0.025981,0.180901
0.245510,0.525690,0.791026,0.026210,0.182764
0.250500,0.527076,0.789273,0.026273,0.184454
0.255490,0.528594,0.787217,0.026604,0.186179
0.260480,0.530633,0.784365,0.026769,0.188866
0.265470,0.533353,0.780559,0.026812,0.192629
0.270460,0.535442,0.777597,0.026931,0.195472
0.275450,0.537241,0.775100,0.027050,0.197850
0.280440,0.538787,0.773008,0.027134,0.199858
0.285430,0.539882,0.771586,0.027128,0.201286
0.290420,0.541392,0.769572,0.027238,0.203191
0.295410,0.542565,0.767997,0.027246,0.204758
0.300400,0.544623,0.765161,0.027370,0.207469
0.305390,0.546143,0.763125,0.027487,0.209388
0.310380,0.547468,0.761472,0.027764,0.210764
0.315370,0.549019,0.759356,0.028262,0.212382
0.320360,0.550700,0.757085,0.028664,0.214251
0.325350,0.551865,0.755576,0.028756,0.215668
0.330340,0.553252,0.753847,0.028724,0.217429
0.335330,0.554923,0.751737,0.028811,0.219451
0.340320,0.557409,0.748591,0.028860,0.222550
0.345310,0.559156,0.746346,0.028894,0.224760
0.350300,0.560594,0.744594,0.028933,0.226474
0.355290,0.561885,0.742985,0.028934,0.228081
0.360280,0.563083,0.741511,0.029012,0.229476
0.365270,0.564548,0.739704,0.029046,0.231250
0.370260,0.566288,0.737540,0.029062,0.233398
0.375250,0.568152,0.735238,0.029020,0.235742
0.380240,0.569363,0.733793,0.029027,0.237179
0.385230,0.570570,0.732327,0.029011,0.238662
0.390220,0.571827,0.730758,0.028940,0.240302
0.395210,0.572942,0.729396,0.028905,0.241700
0.400200,0.574200,0.727929,0.028936,0.243135
0.405190,0.575439,0.726431,0.028973,0.244596
0.410180,0.576543,0.725087,0.028914,0.245998
0.415170,0.577462,0.724016,0.028917,0.247066
0.420160,0.578622,0.722620,0.028860,0.248520
0.425150,0.580225,0.720665,0.028810,0.250525
0.430140,0.582178,0.718288,0.028839,0.252873
0.435130,0.584242,0.715838,0.028845,0.255317
0.440120,0.586387,0.713311,0.028792,0.257897
0.445110,0.588112,0.711244,0.028740,0.260016
0.450100,0.589449,0.709658,0.028720,0.261622
0.455090,0.590810,0.708068,0.028695,0.263237
0.460080,0.592042,0.706639,0.028637,0.264724
0.465070,0.593417,0.705057,0.028668,0.266276
0.470060,0.594695,0.703564,0.028694,0.267742
0.475050,0.596113,0.701954,0.028630,0.269416
0.480040,0.597471,0.700414,0.028568,0.271018
0.485030,0.598608,0.699113,0.028542,0.272345
0.490020,0.599579,0.697996,0.028672,0.273331
0.495010,0.600901,0.696471,0.028646,0.274883
