value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.463946,0.862779,0.015277,0.121945
-0.980000,0.463946,0.862779,0.015277,0.121945
-0.960000,0.463946,0.862779,0.015277,0.121945
-0.940000,0.463946,0.862779,0.015277,0.121945
-0.920000,0.463946,0.862779,0.015277,0.121945
-0.900000,0.463946,0.862779,0.015277,0.121945
-0.880000,0.463946,0.862779,0.015277,0.121945
-0.860000,0.463946,0.862779,0.015277,0.121945
-0.840000,0.463946,0.862779,0.015277,0.121945
-0.820000,0.463946,0.862779,0.015277,0.121945
-0.800000,0.463946,0.862779,0.015277,0.121945
-0.780000,0.463946,0.862779,0.015277,0.121945
-0.760000,0.463946,0.862779,0.015277,0.121945
-0.740000,0.463946,0.862779,0.015277,0.121945
-0.720000,0.463946,0.862779,0.015277,0.121945
-0.700000,0.463946,0.862779,0.015277,0.121945
-0.680000,0.463946,0.862779,0.015277,0.121945
-0.660000,0.463946,0.862779,0.015277,0.121945
-0.640000,0.463946,0.862779,0.015277,0.121945
-0.620000,0.463946,0.862779,0.015277,0.121945
-0.600000,0.463946,0.862779,0.015277,0.121945
-0.580000,0.463946,0.862779,0.015277,0.121945
-0.560000,0.463946,0.862779,0.015277,0.121945
-0.540000,0.463946,0.862779,0.015277,0.121945
-0.520000,0.463946,0.862779,0.015277,0.121945
-0.500000,0.463946,0.862779,0.015277,0.121945
-0.480000,0.463946,0.862779,0.015277,0.121945
-0.460000,0.463946,0.862779,0.015277,0.121945
-0.440000,0.463946,0.862779,0.015277,0.121945
-0.420000,0.463946,0.862779,0.015277,0.121945
-0.400000,0.463946,0.862779,0.015277,0.121945
-0.380000,0.463946,0.862779,0.015277,0.121945
-0.360000,0.463946,0.862779,0.015277,0.121945
-0.340000,0.463946,0.862779,0.015277,0.121945
-0.320000,0.463946,0.862779,0.015277,0.121945
-0.300000,0.463946,0.862779,0.015277,0.121945
-0.280000,0.463946,0.862779,0.015277,0.121945
-0.260000,0.463946,0.862779,0.015277,0.121945
-0.240000,0.463946,0.862779,0.015277,0.121945
-0.220000,0.463946,0.862779,0.015277,0.121945
-0.200000,0.463946,0.862779,0.015277,0.121945
-0.180000,0.463946,0.862779,0.015277,0.121945
-0.160000,0.463946,0.862779,0.015277,0.121945
-0.140000,0.463946,0.862779,0.015277,0.121945
-0.120000,0.463946,0.862779,0.015277,0.121945
-0.100000,0.463946,0.862779,0.015277,0.121945
-0.080000,0.463946,0.862779,0.015277,0.121945
-0.060000,0.463946,0.862779,0.015277,0.121945
-0.040000,0.463946,0.862779,0.015277,0.121945
-0.020000,0.463946,0.862779,0.015277,0.121945
-0.000000,0.463946,0.862779,0.015277,0.121945
0.020000,0.457785,0.866612,0.015934,0.117454
0.040000,0.455145,0.867960,0.016008,0.116032
0.060000,0.452610,0.871293,0.016088,0.112619
0.080000,0.452469,0.871483,0.016032,0.112484
0.100000,0.452461,0.871499,0.016033,0.112468
0.120000,0.452498,0.871426,0.016032,0.112542
0.140000,0.452189,0.871643,0.015776,0.112582
0.160000,0.452020,0.871984,0.015781,0.112235
0.180000,0.452020,0.871984,0.015781,0.112235
0.200000,0.452024,0.871976,0.015781,0.112243
0.220000,0.452024,0.871976,0.015781,0.112243
0.240000,0.452024,0.871976,0.015781,0.112243
0.260000,0.452024,0.871976,0.015781,0.112243
0.280000,0.451988,0.872047,0.015782,0.112171
0.300000,0.451988,0.872047,0.015782,0.112171
0.320000,0.451988,0.872047,0.015782,0.112171
0.340000,0.451988,0.872047,0.015782,0.112171
0.360000,0.451988,0.872047,0.015782,0.112171
0.380000,0.451988,0.872047,0.015782,0.112171
0.400000,0.451988,0.872047,0.015782,0.112171
0.420000,0.451988,0.872047,0.015782,0.112171
0.440000,0.451988,0.872047,0.015782,0.112171
0.460000,0.451988,0.872047,0.015782,0.112171
0.480000,0.451988,0.872047,0.015782,0.112171
0.500000,0.451988,0.872047,0.015782,0.112171
0.520000,0.451988,0.872047,0.015782,0.112171
0.540000,0.451988,0.872047,0.015782,0.112171
0.560000,0.451988,0.872047,0.015782,0.112171
0.580000,0.451988,0.872047,0.015782,0.112171
0.600000,0.451988,0.872047,0.015782,0.112171
0.620000,0.451988,0.872047,0.015782,0.112171
0.640000,0.452028,0.871977,0.015781,0.112242
0.660000,0.452028,0.871977,0.015781,0.112242
0.680000,0.452028,0.871977,0.015781,0.112242
0.700000,0.452040,0.871956,0.015781,0.112263
0.719999,0.452040,0.871956,0.015781,0.112263
0.739999,0.452040,0.871956,0.015781,0.112263
0.759999,0.452040,0.871956,0.015781,0.112263
0.779999,0.452040,0.871956,0.015781,0.112263
0.799999,0.452040,0.871956,0.015781,0.112263
0.819999,0.452040,0.871956,0.015781,0.112263
0.839999,0.452040,0.871956,0.015781,0.112263
0.859999,0.452040,0.871956,0.015781,0.112263
0.879999,0.452040,0.871956,0.015781,0.112263
0.899999,0.452040,0.871956,0.015781,0.112263
0.919999,0.452040,0.871956,0.015781,0.112263
0.939999,0.452040,0.871956,0.015781,0.112263
0.959999,0.452040,0.871956,0.015781,0.112263
0.979999,0.452040,0.871956,0.015781,0.112263
0.999999,0.452040,0.871956,0.015781,0.112263
