value,total_removed,ground_removed,cone_removed,unassigned_removed
0.000100,0.461610,0.866517,0.015338,0.118144
0.001099,0.460873,0.867107,0.015430,0.117463
0.002098,0.460027,0.867196,0.015271,0.117533
0.003097,0.454930,0.869986,0.015056,0.114958
0.004096,0.463277,0.869828,0.015443,0.114729
0.005095,0.451409,0.871993,0.015922,0.112085
0.006094,0.444114,0.874704,0.016123,0.109173
0.007093,0.438019,0.875893,0.016375,0.107732
0.008092,0.432243,0.878420,0.016393,0.105187
0.009091,0.422842,0.881972,0.016564,0.101464
0.010090,0.417397,0.883039,0.016698,0.100262
0.011089,0.410711,0.884367,0.016930,0.098704
0.012088,0.410750,0.885461,0.016870,0.097669
0.013087,0.410367,0.885062,0.016744,0.098193
0.014086,0.407403,0.885861,0.016838,0.097301
0.015085,0.404485,0.886632,0.016569,0.096799
0.016084,0.402227,0.887519,0.016404,0.096077
0.017083,0.399875,0.888256,0.016193,0.095550
0.018082,0.397858,0.888979,0.016276,0.094744
0.019081,0.396868,0.889667,0.016321,0.094012
0.020080,0.396164,0.889860,0.016344,0.093796
0.021079,0.396212,0.890426,0.016098,0.093476
0.022078,0.394382,0.891469,0.016073,0.092458
0.023077,0.392508,0.894191,0.016145,0.089664
0.024076,0.392265,0.893941,0.016162,0.089896
0.025075,0.395237,0.891385,0.015910,0.092705
0.026074,0.394776,0.891554,0.016013,0.092433
0.027073,0.393318,0.891949,0.015969,0.092082
0.028072,0.392814,0.891972,0.015946,0.092082
0.029071,0.392649,0.889130,0.015633,0.095238
0.030070,0.392911,0.887224,0.015714,0.097063
0.031069,0.392149,0.888895,0.015744,0.095361
0.032068,0.391905,0.888902,0.015755,0.095343
0.033067,0.391489,0.888790,0.015720,0.095490
0.034066,0.390746,0.889326,0.015373,0.095301
0.035065,0.390407,0.889690,0.015092,0.095218
0.036064,0.390040,0.889770,0.014864,0.095366
0.037063,0.389116,0.891112,0.014701,0.094187
0.038062,0.389154,0.889620,0.014905,0.095476
0.039061,0.388810,0.890300,0.014913,0.094788
0.040060,0.388016,0.890562,0.014867,0.094571
0.041059,0.387331,0.890873,0.014836,0.094291
0.042058,0.386801,0.891128,0.014810,0.094062
0.043057,0.386769,0.891180,0.014811,0.094009
0.044056,0.386619,0.891008,0.014816,0.094176
0.045055,0.386588,0.891054,0.014817,0.094129
0.046054,0.385720,0.891856,0.014798,0.093345
0.047053,0.383848,0.891855,0.014667,0.093478
0.048052,0.384103,0.892162,0.014970,0.092868
0.049051,0.383876,0.892167,0.014924,0.092908
0.050050,0.381993,0.894954,0.014998,0.090047
0.051049,0.381993,0.894954,0.014998,0.090047
0.052048,0.380640,0.895566,0.014526,0.089908
0.053047,0.382484,0.894668,0.014967,0.090365
0.054046,0.382070,0.894844,0.015035,0.090120
0.055045,0.381827,0.895094,0.015056,0.089850
0.056044,0.381673,0.895002,0.015067,0.089930
0.057043,0.381447,0.894921,0.015081,0.089999
0.058042,0.380763,0.894907,0.014991,0.090103
0.059041,0.378384,0.894636,0.014563,0.090801
0.060040,0.378384,0.894400,0.014563,0.091037
0.061039,0.377443,0.894467,0.014485,0.091047
0.062038,0.376561,0.894364,0.014512,0.091124
0.063037,0.376297,0.894429,0.014517,0.091055
0.064036,0.374982,0.894863,0.014558,0.090578
0.065035,0.373487,0.895634,0.014602,0.089764
0.066034,0.372960,0.895677,0.014614,0.089709
0.067033,0.370532,0.896859,0.014671,0.088470
0.068032,0.370563,0.896519,0.014791,0.088690
0.069031,0.370132,0.896788,0.014808,0.088404
0.070030,0.369612,0.896806,0.014822,0.088371
0.071029,0.369180,0.897085,0.014836,0.088078
0.072028,0.368997,0.894319,0.014851,0.090830
0.073027,0.368840,0.890565,0.014847,0.094588
0.074026,0.368792,0.887263,0.014847,0.097890
0.075025,0.368528,0.887299,0.014865,0.097836
0.076024,0.366164,0.888251,0.014733,0.097016
0.077023,0.360299,0.886893,0.014903,0.098203
0.078022,0.359175,0.887317,0.014909,0.097775
0.079021,0.358668,0.887377,0.014936,0.097686
0.080020,0.358478,0.887241,0.014883,0.097876
0.081019,0.357971,0.887411,0.014870,0.097719
0.082018,0.357890,0.887455,0.014872,0.097672
0.083017,0.357584,0.887577,0.014884,0.097539
0.084016,0.353894,0.888088,0.015006,0.096905
0.085015,0.351878,0.888547,0.014934,0.096519
0.086014,0.351414,0.889018,0.014793,0.096189
0.087013,0.340582,0.885461,0.014854,0.099685
0.088012,0.340517,0.885560,0.014857,0.099583
0.089011,0.335519,0.883690,0.014921,0.101388
0.090010,0.335559,0.883505,0.014920,0.101576
0.091009,0.335442,0.883712,0.014925,0.101363
0.092008,0.335418,0.883508,0.014925,0.101567
0.093007,0.335394,0.883217,0.014926,0.101857
0.094006,0.335003,0.883242,0.014941,0.101817
0.095005,0.334479,0.883352,0.014919,0.101730
0.096004,0.333895,0.883470,0.014940,0.101589
0.097003,0.333086,0.883679,0.014973,0.101348
0.098002,0.332355,0.883925,0.015002,0.101072
0.099001,0.332315,0.883983,0.014299,0.101718
