value,total_removed,ground_removed,cone_removed,unassigned_removed
32.000000,0.408668,0.886075,0.014150,0.099775
34.240002,0.432020,0.892793,0.011224,0.095983
36.480003,0.424931,0.896263,0.011559,0.092179
38.720005,0.422296,0.896626,0.011759,0.091615
40.960007,0.417343,0.901449,0.011731,0.086820
43.200008,0.417768,0.903815,0.011972,0.084213
45.440010,0.420914,0.901091,0.012407,0.086502
47.680012,0.421374,0.899722,0.011944,0.088333
49.920013,0.415363,0.900482,0.011925,0.087593
52.160015,0.412315,0.899798,0.011805,0.088397
54.400017,0.413812,0.898455,0.011782,0.089763
56.640018,0.411777,0.898560,0.011861,0.089579
58.880020,0.408761,0.898149,0.011872,0.089979
61.120022,0.409797,0.895951,0.013678,0.090371
63.360023,0.415301,0.889358,0.015235,0.095407
65.600021,0.408748,0.895872,0.015032,0.089096
67.840019,0.410095,0.896546,0.015464,0.087990
70.080017,0.409650,0.895929,0.016331,0.087740
72.320015,0.405383,0.899345,0.016396,0.084259
74.560013,0.406898,0.896328,0.016400,0.087273
76.800011,0.415822,0.893855,0.015936,0.090209
79.040009,0.420753,0.889299,0.015701,0.095000
81.280006,0.418997,0.889369,0.015694,0.094937
83.520004,0.422610,0.888663,0.015413,0.095924
85.760002,0.425508,0.889345,0.015553,0.095102
88.000000,0.426984,0.886211,0.016049,0.097741
90.239998,0.434250,0.884171,0.016032,0.099797
92.479996,0.435586,0.883920,0.016286,0.099794
94.719994,0.436231,0.883741,0.016112,0.100147
96.959991,0.441283,0.883211,0.016058,0.100731
99.199989,0.450778,0.876087,0.016080,0.107833
101.439987,0.455947,0.871964,0.015873,0.112162
103.679985,0.457849,0.870424,0.015835,0.113741
105.919983,0.462355,0.870239,0.015692,0.114069
108.159981,0.465188,0.870214,0.015687,0.114099
110.399979,0.464291,0.870532,0.015616,0.113852
112.639977,0.462319,0.872077,0.015499,0.112424
114.879974,0.461350,0.871289,0.015589,0.113122
117.119972,0.462007,0.868693,0.015573,0.115734
119.359970,0.463205,0.868747,0.015418,0.115835
121.599968,0.467037,0.867278,0.016361,0.116361
123.839966,0.466477,0.867544,0.016113,0.116343
126.079964,0.470101,0.864203,0.016451,0.119346
128.319962,0.471931,0.864360,0.015964,0.119675
130.559967,0.473332,0.863657,0.015327,0.121016
132.799973,0.484017,0.856015,0.017527,0.126458
135.039978,0.485083,0.855672,0.018570,0.125758
137.279984,0.475828,0.854239,0.018226,0.127535
139.519989,0.474195,0.853177,0.017009,0.129813
141.759995,0.480321,0.852470,0.017948,0.129582
144.000000,0.471129,0.853381,0.018167,0.128453
146.240005,0.488011,0.857487,0.018316,0.124197
148.480011,0.489327,0.853024,0.018405,0.128571
150.720016,0.491147,0.852414,0.018833,0.128753
152.960022,0.486029,0.851471,0.018941,0.129588
155.200027,0.474254,0.848855,0.019339,0.131805
157.440033,0.474395,0.847293,0.018569,0.134139
159.680038,0.474011,0.844899,0.018854,0.136247
161.920044,0.478028,0.842289,0.018466,0.139245
164.160049,0.471523,0.843366,0.018249,0.138385
166.400055,0.460952,0.845465,0.016595,0.137939
168.640060,0.454534,0.847544,0.016314,0.136142
170.880066,0.468797,0.847240,0.018004,0.134755
173.120071,0.454424,0.848687,0.016728,0.134585
175.360077,0.444789,0.849141,0.017641,0.133218
177.600082,0.450359,0.845808,0.020042,0.134150
179.840088,0.466466,0.841687,0.020091,0.138222
182.080093,0.470424,0.838775,0.019765,0.141460
184.320099,0.481347,0.836938,0.020255,0.142807
186.560104,0.483275,0.839077,0.018908,0.142016
188.800110,0.483394,0.838220,0.019847,0.141933
191.040115,0.487354,0.835148,0.021013,0.143839
193.280121,0.499344,0.834597,0.021096,0.144306
195.520126,0.503535,0.833358,0.020663,0.145978
197.760132,0.505247,0.832338,0.020581,0.147082
200.000137,0.506813,0.831314,0.020250,0.148436
202.240143,0.504449,0.833155,0.019851,0.146994
204.480148,0.508628,0.829787,0.021136,0.149078
206.720154,0.506903,0.830014,0.020662,0.149325
208.960159,0.506803,0.829942,0.020530,0.149528
211.200165,0.503681,0.829676,0.020459,0.149865
213.440170,0.504331,0.828681,0.020439,0.150881
215.680176,0.507259,0.828496,0.020310,0.151195
217.920181,0.506544,0.829826,0.020726,0.149448
220.160187,0.505687,0.830719,0.021277,0.148004
222.400192,0.507614,0.831835,0.021340,0.146826
224.640198,0.509609,0.832068,0.020853,0.147080
226.880203,0.511150,0.830776,0.020800,0.148424
229.120209,0.509734,0.831161,0.021252,0.147587
231.360214,0.508756,0.831245,0.021863,0.146891
233.600220,0.508904,0.832695,0.021309,0.145995
235.840225,0.510735,0.832242,0.021141,0.146617
238.080231,0.510529,0.831264,0.021077,0.147659
240.320236,0.509389,0.831246,0.021273,0.147482
242.560242,0.509846,0.833091,0.021587,0.145322
244.800247,0.512036,0.830611,0.021773,0.147616
247.040253,0.513411,0.832021,0.021498,0.146481
249.280258,0.512370,0.833570,0.021349,0.145081
251.520264,0.511011,0.834142,0.021323,0.144535
253.760269,0.512595,0.833942,0.021187,0.144871
