value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.491057,0.852558,0.018836,0.128606
-0.980000,0.491057,0.852558,0.018836,0.128606
-0.960000,0.491057,0.852558,0.018836,0.128606
-0.940000,0.491057,0.852558,0.018836,0.128606
-0.920000,0.491057,0.852558,0.018836,0.128606
-0.900000,0.491057,0.852558,0.018836,0.128606
-0.880000,0.491057,0.852558,0.018836,0.128606
-0.860000,0.491057,0.852558,0.018836,0.128606
-0.840000,0.491057,0.852558,0.018836,0.128606
-0.820000,0.491057,0.852558,0.018836,0.128606
-0.800000,0.491057,0.852558,0.018836,0.128606
-0.780000,0.491057,0.852558,0.018836,0.128606
-0.760000,0.491057,0.852558,0.018836,0.128606
-0.740000,0.491057,0.852558,0.018836,0.128606
-0.720000,0.491057,0.852558,0.018836,0.128606
-0.700000,0.491057,0.852558,0.018836,0.128606
-0.680000,0.491057,0.852558,0.018836,0.128606
-0.660000,0.491057,0.852558,0.018836,0.128606
-0.640000,0.491057,0.852558,0.018836,0.128606
-0.620000,0.491057,0.852558,0.018836,0.128606
-0.600000,0.491057,0.852558,0.018836,0.128606
-0.580000,0.491057,0.852558,0.018836,0.128606
-0.560000,0.491057,0.852558,0.018836,0.128606
-0.540000,0.491057,0.852558,0.018836,0.128606
-0.520000,0.491057,0.852558,0.018836,0.128606
-0.500000,0.491057,0.852558,0.018836,0.128606
-0.480000,0.491057,0.852558,0.018836,0.128606
-0.460000,0.491057,0.852558,0.018836,0.128606
-0.440000,0.491057,0.852558,0.018836,0.128606
-0.420000,0.491057,0.852558,0.018836,0.128606
-0.400000,0.491057,0.852558,0.018836,0.128606
-0.380000,0.491057,0.852558,0.018836,0.128606
-0.360000,0.491057,0.852558,0.018836,0.128606
-0.340000,0.491057,0.852558,0.018836,0.128606
-0.320000,0.491057,0.852558,0.018836,0.128606
-0.300000,0.491057,0.852558,0.018836,0.128606
-0.280000,0.491057,0.852558,0.018836,0.128606
-0.260000,0.491057,0.852558,0.018836,0.128606
-0.240000,0.491057,0.852558,0.018836,0.128606
-0.220000,0.491057,0.852558,0.018836,0.128606
-0.200000,0.491057,0.852558,0.018836,0.128606
-0.180000,0.491057,0.852558,0.018836,0.128606
-0.160000,0.491057,0.852558,0.018836,0.128606
-0.140000,0.491057,0.852558,0.018836,0.128606
-0.120000,0.491057,0.852558,0.018836,0.128606
-0.100000,0.491057,0.852558,0.018836,0.128606
-0.080000,0.491093,0.852501,0.018833,0.128666
-0.060000,0.491093,0.852501,0.018833,0.128666
-0.040000,0.491093,0.852501,0.018833,0.128666
-0.020000,0.491109,0.852475,0.018833,0.128692
-0.000000,0.491266,0.852344,0.018828,0.128828
0.020000,0.491150,0.852542,0.018833,0.128625
0.040000,0.491203,0.852463,0.018832,0.128705
0.060000,0.491187,0.852487,0.018832,0.128680
0.080000,0.491175,0.852509,0.018833,0.128658
0.100000,0.491158,0.852632,0.018834,0.128535
0.120000,0.491166,0.852619,0.018833,0.128548
0.140000,0.491203,0.852562,0.018832,0.128606
0.160000,0.491235,0.852512,0.018830,0.128658
0.180000,0.491183,0.852597,0.018832,0.128571
0.200000,0.491147,0.852654,0.018834,0.128511
0.220000,0.491183,0.852598,0.018833,0.128569
0.240000,0.491212,0.852552,0.018832,0.128616
0.260000,0.491212,0.852552,0.018832,0.128616
0.280000,0.491212,0.852552,0.018832,0.128616
0.300000,0.491284,0.852432,0.018830,0.128738
0.320000,0.491264,0.852469,0.018830,0.128701
0.340000,0.491264,0.852469,0.018830,0.128701
0.360000,0.491252,0.852488,0.018831,0.128682
0.380000,0.491252,0.852488,0.018831,0.128682
0.400000,0.491252,0.852488,0.018831,0.128682
0.420000,0.491252,0.852488,0.018831,0.128682
0.440000,0.491232,0.852519,0.018831,0.128649
0.460000,0.491232,0.852519,0.018831,0.128649
0.480000,0.491244,0.852500,0.018831,0.128669
0.500000,0.491244,0.852500,0.018831,0.128669
0.520000,0.491244,0.852500,0.018831,0.128669
0.540000,0.491244,0.852500,0.018831,0.128669
0.560000,0.491244,0.852500,0.018831,0.128669
0.580000,0.491244,0.852500,0.018831,0.128669
0.600000,0.491244,0.852500,0.018831,0.128669
0.620000,0.491244,0.852500,0.018831,0.128669
0.640000,0.491244,0.852500,0.018831,0.128669
0.660000,0.491244,0.852500,0.018831,0.128669
0.680000,0.491244,0.852500,0.018831,0.128669
0.700000,0.491244,0.852500,0.018831,0.128669
0.719999,0.491244,0.852500,0.018831,0.128669
0.739999,0.491244,0.852500,0.018831,0.128669
0.759999,0.491244,0.852500,0.018831,0.128669
0.779999,0.491244,0.852500,0.018831,0.128669
0.799999,0.491244,0.852500,0.018831,0.128669
0.819999,0.491244,0.852500,0.018831,0.128669
0.839999,0.491244,0.852500,0.018831,0.128669
0.859999,0.491244,0.852500,0.018831,0.128669
0.879999,0.491244,0.852500,0.018831,0.128669
0.899999,0.491244,0.852500,0.018831,0.128669
0.919999,0.491244,0.852500,0.018831,0.128669
0.939999,0.491244,0.852500,0.018831,0.128669
0.959999,0.491244,0.852500,0.018831,0.128669
0.979999,0.491244,0.852500,0.018831,0.128669
0.999999,0.491244,0.852500,0.018831,0.128669
