value,total_removed,ground_removed,cone_removed,unassigned_removed
64.000000,0.468800,0.879093,0.015508,0.105399
68.480003,0.469348,0.880075,0.016549,0.103377
72.960007,0.468638,0.880432,0.015833,0.103736
77.440010,0.472685,0.874372,0.015969,0.109660
81.920013,0.470385,0.875204,0.016308,0.108487
86.400017,0.473864,0.874142,0.015855,0.110002
90.880020,0.473920,0.874242,0.016169,0.109589
95.360023,0.470932,0.874179,0.016218,0.109602
99.840027,0.471190,0.873556,0.015978,0.110465
104.320030,0.474155,0.870170,0.016620,0.113211
108.800034,0.473478,0.870291,0.016353,0.113355
113.280037,0.471461,0.871535,0.016355,0.112110
117.760040,0.472026,0.871112,0.016908,0.111980
122.240044,0.473170,0.868989,0.016519,0.114492
126.720047,0.474949,0.869225,0.016216,0.114559
131.200043,0.472684,0.870211,0.016702,0.113087
135.680038,0.476085,0.867657,0.016733,0.115609
140.160034,0.475708,0.868846,0.016656,0.114497
144.640030,0.473757,0.871008,0.016897,0.112096
149.120026,0.477297,0.867420,0.017017,0.115564
153.600021,0.473580,0.868507,0.016644,0.114848
158.080017,0.474646,0.865558,0.016353,0.118088
162.560013,0.472330,0.865448,0.016743,0.117809
167.040009,0.471369,0.867205,0.016890,0.115905
171.520004,0.474596,0.867450,0.016968,0.115582
176.000000,0.466636,0.868196,0.016650,0.115154
180.479996,0.468026,0.870611,0.016215,0.113174
184.959991,0.471891,0.871335,0.015803,0.112861
189.439987,0.471934,0.868721,0.015709,0.115570
193.919983,0.469743,0.872285,0.014381,0.113334
198.399979,0.444090,0.871709,0.014305,0.113985
202.879974,0.452402,0.875474,0.013730,0.110797
207.359970,0.448471,0.881662,0.014059,0.104279
211.839966,0.447919,0.883416,0.013666,0.102917
216.319962,0.452360,0.879403,0.014231,0.106366
220.799957,0.451897,0.877131,0.013772,0.109096
225.279953,0.449403,0.874404,0.014108,0.111488
229.759949,0.446287,0.878055,0.013738,0.108206
234.239944,0.441084,0.881063,0.013975,0.104961
238.719940,0.436556,0.882500,0.013195,0.104305
243.199936,0.434864,0.881971,0.012912,0.105117
247.679932,0.427898,0.888107,0.012751,0.099143
252.159927,0.426103,0.887702,0.013037,0.099261
256.639923,0.423287,0.887879,0.013222,0.098899
261.119934,0.419869,0.890420,0.012867,0.096714
265.599945,0.415355,0.890112,0.012836,0.097051
270.079956,0.413428,0.890178,0.013126,0.096696
274.559967,0.412865,0.889790,0.012900,0.097310
279.039978,0.411645,0.890526,0.012745,0.096729
283.519989,0.410451,0.891240,0.012833,0.095926
288.000000,0.361836,0.882977,0.013191,0.103832
292.480011,0.359610,0.882640,0.013399,0.103961
296.960022,0.357638,0.883453,0.013044,0.103503
301.440033,0.356338,0.884317,0.013173,0.102510
305.920044,0.355963,0.884881,0.013336,0.101783
310.400055,0.364824,0.889157,0.013073,0.097771
314.880066,0.364545,0.889084,0.012890,0.098026
319.360077,0.366199,0.888101,0.012909,0.098990
323.840088,0.365827,0.889561,0.013021,0.097419
328.320099,0.365033,0.891197,0.012938,0.095865
332.800110,0.363938,0.892389,0.012937,0.094674
337.280121,0.363422,0.892983,0.013165,0.093851
341.760132,0.363681,0.892649,0.012655,0.094695
346.240143,0.363550,0.892877,0.012817,0.094307
350.720154,0.362936,0.891894,0.012865,0.095241
355.200165,0.364281,0.892357,0.012927,0.094716
359.680176,0.364440,0.892225,0.012884,0.094890
364.160187,0.363020,0.892593,0.012984,0.094422
368.640198,0.362331,0.893307,0.012703,0.093990
373.120209,0.362142,0.892951,0.012962,0.094087
377.600220,0.361655,0.893631,0.012898,0.093471
382.080231,0.362107,0.894068,0.012794,0.093138
386.560242,0.359941,0.894564,0.012720,0.092717
391.040253,0.360114,0.895501,0.012938,0.091560
395.520264,0.360357,0.895135,0.012978,0.091887
400.000275,0.360232,0.896021,0.012963,0.091016
404.480286,0.359499,0.895976,0.012960,0.091064
408.960297,0.359459,0.896821,0.012945,0.090234
413.440308,0.358919,0.896864,0.012791,0.090345
417.920319,0.360649,0.896378,0.012917,0.090705
422.400330,0.361057,0.896142,0.012922,0.090936
426.880341,0.360954,0.897382,0.012836,0.089782
431.360352,0.361736,0.896346,0.012672,0.090982
435.840363,0.362100,0.896896,0.012595,0.090510
440.320374,0.362403,0.896840,0.012887,0.090273
444.800385,0.363173,0.896254,0.012645,0.091101
449.280396,0.362230,0.897178,0.012576,0.090246
453.760406,0.363009,0.897153,0.012456,0.090391
458.240417,0.363726,0.897363,0.012212,0.090426
462.720428,0.363486,0.897587,0.012573,0.089841
467.200439,0.364667,0.898323,0.012518,0.089159
471.680450,0.363769,0.898538,0.012379,0.089083
476.160461,0.364059,0.898342,0.012608,0.089050
480.640472,0.364773,0.897545,0.012406,0.090049
485.120483,0.363136,0.898525,0.012161,0.089315
489.600494,0.363766,0.898591,0.012584,0.088825
494.080505,0.363000,0.899257,0.012414,0.088328
498.560516,0.363655,0.899707,0.012310,0.087983
503.040527,0.363740,0.899642,0.012327,0.088031
507.520538,0.363448,0.900023,0.012522,0.087455
