value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.384523,0.894962,0.014318,0.090720
0.005990,0.383937,0.898011,0.014344,0.087646
0.010980,0.384177,0.897693,0.014271,0.088036
0.015970,0.384378,0.897198,0.014291,0.088510
0.020960,0.385099,0.895958,0.014477,0.089564
0.025950,0.383885,0.895873,0.014530,0.089597
0.030940,0.384790,0.894412,0.014508,0.091080
0.035930,0.385429,0.893392,0.014435,0.092173
0.040920,0.386494,0.891793,0.014338,0.093870
0.045910,0.386449,0.892631,0.014499,0.092871
0.050900,0.387607,0.890692,0.014452,0.094857
0.055890,0.388016,0.890144,0.014435,0.095421
0.060880,0.389189,0.889562,0.014607,0.095831
0.065870,0.391302,0.890884,0.014391,0.094725
0.070860,0.393193,0.890340,0.014098,0.095563
0.075850,0.395659,0.888957,0.014057,0.096986
0.080840,0.397969,0.888117,0.014161,0.097722
0.085830,0.400062,0.887295,0.014396,0.098309
0.090820,0.401474,0.887083,0.014653,0.098264
0.095810,0.403227,0.886596,0.014750,0.098654
0.100800,0.404363,0.886132,0.014660,0.099208
0.105790,0.405381,0.887117,0.014821,0.098062
0.110780,0.406142,0.887555,0.014619,0.097826
0.115770,0.407387,0.887637,0.014701,0.097662
0.120760,0.410258,0.887972,0.014589,0.097439
0.125750,0.411399,0.887404,0.014554,0.098043
0.130740,0.415589,0.887986,0.014545,0.097469
0.135730,0.416144,0.887645,0.014532,0.097823
0.140720,0.417019,0.887432,0.014601,0.097967
0.145710,0.425351,0.888575,0.014443,0.096982
0.150700,0.428905,0.890276,0.013974,0.095751
0.155690,0.429375,0.889957,0.013956,0.096087
0.160680,0.430422,0.890205,0.013953,0.095843
0.165670,0.430782,0.890384,0.013939,0.095677
0.170660,0.431390,0.890072,0.014001,0.095927
0.175650,0.431813,0.889868,0.013984,0.096149
0.180640,0.432563,0.889520,0.014166,0.096314
0.185630,0.434470,0.886247,0.014152,0.099601
0.190620,0.435696,0.884792,0.014207,0.101001
0.195610,0.436848,0.883818,0.014168,0.102014
0.200600,0.438205,0.883280,0.014121,0.102599
0.205590,0.438878,0.882920,0.014108,0.102972
0.210580,0.440997,0.879868,0.014090,0.106042
0.215570,0.443176,0.876502,0.014113,0.109386
0.220560,0.443689,0.876111,0.014100,0.109789
0.225550,0.448193,0.876684,0.013981,0.109335
0.230540,0.448386,0.876345,0.013975,0.109680
0.235530,0.448727,0.875866,0.013964,0.110170
0.240520,0.449089,0.875362,0.013955,0.110684
0.245510,0.457885,0.877639,0.013803,0.108558
0.250500,0.459499,0.875792,0.013773,0.110436
0.255490,0.459684,0.875477,0.013767,0.110756
0.260480,0.459704,0.875444,0.013767,0.110790
0.265470,0.459942,0.875039,0.013759,0.111202
0.270460,0.460384,0.874537,0.013747,0.111716
0.275450,0.460586,0.874113,0.013787,0.112099
0.280440,0.460802,0.873748,0.013778,0.112473
0.285430,0.460966,0.873398,0.013776,0.112826
0.290420,0.461050,0.873166,0.013773,0.113061
0.295410,0.461179,0.872946,0.013770,0.113284
0.300400,0.461207,0.872891,0.013770,0.113339
0.305390,0.463493,0.868719,0.013697,0.117584
0.310380,0.463594,0.868520,0.013695,0.117785
0.315370,0.463810,0.868273,0.013688,0.118039
0.320360,0.463834,0.868228,0.013688,0.118084
0.325350,0.463994,0.867920,0.013682,0.118398
0.330340,0.464078,0.867943,0.013680,0.118378
0.335330,0.464242,0.867663,0.013812,0.118525
0.340320,0.464350,0.867476,0.013810,0.118714
0.345310,0.467090,0.862613,0.013746,0.123642
0.350300,0.467222,0.862383,0.013741,0.123876
0.355290,0.467306,0.862308,0.013739,0.123953
0.360280,0.467327,0.862265,0.013739,0.123995
0.365270,0.467439,0.862060,0.013736,0.124203
0.370260,0.467580,0.861778,0.013733,0.124489
0.375250,0.467736,0.861495,0.013728,0.124776
0.380240,0.467793,0.861383,0.013727,0.124890
0.385230,0.467889,0.861213,0.013724,0.125062
0.390220,0.467969,0.861080,0.013722,0.125198
0.395210,0.467650,0.861759,0.013729,0.124512
0.400200,0.467619,0.861819,0.013730,0.124451
0.405190,0.467639,0.861787,0.013730,0.124483
0.410180,0.467683,0.861699,0.013729,0.124573
0.415170,0.467759,0.861569,0.013727,0.124704
0.420160,0.467896,0.861323,0.013724,0.124953
0.425150,0.468032,0.861106,0.013720,0.125174
0.430140,0.468108,0.860974,0.013718,0.125308
0.435130,0.468272,0.860682,0.013711,0.125607
0.440120,0.468364,0.860521,0.013710,0.125769
0.445110,0.466651,0.864032,0.013763,0.122205
0.450100,0.466615,0.864092,0.013764,0.122143
0.455090,0.466675,0.863971,0.013763,0.122266
0.460080,0.466695,0.863934,0.013762,0.122304
0.465070,0.466767,0.863801,0.013759,0.122440
0.470060,0.466879,0.863615,0.013756,0.122629
0.475050,0.466944,0.863505,0.013755,0.122740
0.480040,0.467436,0.862666,0.013739,0.123595
0.485030,0.467452,0.862640,0.013738,0.123622
0.490020,0.467552,0.862442,0.013737,0.123821
0.495010,0.467620,0.862325,0.013734,0.123941
