value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.072650,0.713307,0.029243,0.257450
0.005990,0.186061,0.822761,0.020639,0.156601
0.010980,0.265520,0.859570,0.015845,0.124585
0.015970,0.316575,0.875587,0.013610,0.110803
0.020960,0.349111,0.879562,0.012801,0.107637
0.025950,0.373362,0.881986,0.012344,0.105670
0.030940,0.394306,0.883229,0.012011,0.104759
0.035930,0.411681,0.884152,0.011678,0.104170
0.040920,0.424738,0.883419,0.011857,0.104724
0.045910,0.436504,0.881715,0.012276,0.106009
0.050900,0.447899,0.879927,0.012765,0.107309
0.055890,0.454721,0.877659,0.013577,0.108763
0.060880,0.461093,0.875608,0.013804,0.110588
0.065870,0.465204,0.872783,0.014700,0.112517
0.070860,0.469103,0.869938,0.015005,0.115056
0.075850,0.474151,0.867593,0.015377,0.117030
0.080840,0.477912,0.863926,0.015779,0.120295
0.085830,0.483715,0.861916,0.016690,0.121393
0.090820,0.486651,0.858767,0.017838,0.123395
0.095810,0.489270,0.855339,0.018240,0.126421
0.100800,0.491650,0.851920,0.018943,0.129138
0.105790,0.493758,0.848973,0.019187,0.131840
0.110780,0.496820,0.844728,0.019913,0.135359
0.115770,0.499750,0.840572,0.020196,0.139232
0.120760,0.501784,0.837798,0.020715,0.141487
0.125750,0.503681,0.835547,0.021176,0.143277
0.130740,0.505705,0.832654,0.021737,0.145610
0.135730,0.507581,0.829891,0.022161,0.147948
0.140720,0.509902,0.826383,0.022350,0.151267
0.145710,0.512853,0.821900,0.022710,0.155389
0.150700,0.514610,0.819235,0.022959,0.157806
0.155690,0.516214,0.816903,0.023338,0.159760
0.160680,0.517604,0.814793,0.023723,0.161483
0.165670,0.519098,0.812602,0.024219,0.163179
0.170660,0.520724,0.810193,0.024947,0.164860
0.175650,0.522519,0.807508,0.025230,0.167262
0.180640,0.524350,0.804874,0.025650,0.169475
0.185630,0.526200,0.802124,0.025908,0.171969
0.190620,0.527879,0.799610,0.026143,0.174247
0.195610,0.529282,0.797501,0.026237,0.176262
0.200600,0.530435,0.795835,0.026341,0.177824
0.205590,0.531878,0.793727,0.026435,0.179838
0.210580,0.533968,0.790716,0.026703,0.182581
0.215570,0.535487,0.788556,0.026807,0.184637
0.220560,0.537390,0.785921,0.027231,0.186848
0.225550,0.539114,0.783534,0.027689,0.188777
0.230540,0.540307,0.781877,0.027846,0.190277
0.235530,0.541932,0.779677,0.028185,0.192138
0.240520,0.543787,0.777050,0.028323,0.194627
0.245510,0.546131,0.773750,0.028714,0.197535
0.250500,0.547699,0.771536,0.028833,0.199631
0.255490,0.549515,0.769021,0.029130,0.201849
0.260480,0.550967,0.767095,0.029261,0.203644
0.265470,0.552801,0.764617,0.029482,0.205901
0.270460,0.554544,0.762316,0.029510,0.208174
0.275450,0.556881,0.759190,0.029570,0.211240
0.280440,0.558724,0.756734,0.029709,0.213557
0.285430,0.560368,0.754684,0.029700,0.215615
0.290420,0.561854,0.752905,0.029681,0.217414
0.295410,0.563208,0.751315,0.029712,0.218972
0.300400,0.564510,0.749951,0.029716,0.220332
0.305390,0.565722,0.748465,0.029893,0.221641
0.310380,0.567087,0.746735,0.030064,0.223201
0.315370,0.568594,0.744832,0.030116,0.225052
0.320360,0.570060,0.743070,0.030168,0.226762
0.325350,0.571567,0.741232,0.030164,0.228604
0.330340,0.573137,0.739283,0.030139,0.230578
0.335330,0.574963,0.737206,0.030086,0.232708
0.340320,0.576952,0.734871,0.030149,0.234980
0.345310,0.579179,0.732209,0.030182,0.237608
0.350300,0.580920,0.730093,0.030091,0.239816
0.355290,0.582464,0.728246,0.030008,0.241746
0.360280,0.584284,0.725957,0.030076,0.243967
0.365270,0.586155,0.723658,0.030093,0.246249
0.370260,0.587608,0.721904,0.030019,0.248077
0.375250,0.588864,0.720444,0.029951,0.249605
0.380240,0.590116,0.719052,0.029886,0.251062
0.385230,0.591337,0.717668,0.029823,0.252509
0.390220,0.592414,0.716406,0.029770,0.253824
0.395210,0.593485,0.715226,0.029714,0.255060
0.400200,0.594574,0.713944,0.029658,0.256398
0.405190,0.595554,0.712781,0.029634,0.257584
0.410180,0.596779,0.711345,0.029572,0.259083
0.415170,0.598189,0.709722,0.029549,0.260729
0.420160,0.600047,0.707571,0.029472,0.262958
0.425150,0.602496,0.704754,0.029436,0.265810
0.430140,0.604642,0.702316,0.029391,0.268293
0.435130,0.606109,0.700672,0.029322,0.270006
0.440120,0.607358,0.699262,0.029268,0.271470
0.445110,0.608811,0.697619,0.029233,0.273148
0.450100,0.609923,0.696377,0.029181,0.274442
0.455090,0.610970,0.695212,0.029140,0.275648
0.460080,0.612273,0.693781,0.029083,0.277136
0.465070,0.613528,0.692377,0.029023,0.278600
0.470060,0.614872,0.690869,0.028965,0.280166
0.475050,0.616185,0.689415,0.028904,0.281681
0.480040,0.617490,0.687976,0.028861,0.283163
0.485030,0.618481,0.686879,0.028891,0.284230
0.490020,0.619699,0.685574,0.028855,0.285570
0.495010,0.621089,0.684085,0.028823,0.287092
