value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.458562,0.871940,0.014197,0.113862
-0.980000,0.458562,0.871940,0.014197,0.113862
-0.960000,0.458562,0.871940,0.014197,0.113862
-0.940000,0.458562,0.871940,0.014197,0.113862
-0.920000,0.458562,0.871940,0.014197,0.113862
-0.900000,0.458562,0.871940,0.014197,0.113862
-0.880000,0.458562,0.871940,0.014197,0.113862
-0.860000,0.458562,0.871940,0.014197,0.113862
-0.840000,0.458562,0.871940,0.014197,0.113862
-0.820000,0.458562,0.871940,0.014197,0.113862
-0.800000,0.458562,0.871940,0.014197,0.113862
-0.780000,0.458562,0.871940,0.014197,0.113862
-0.760000,0.458562,0.871940,0.014197,0.113862
-0.740000,0.458562,0.871940,0.014197,0.113862
-0.720000,0.458562,0.871940,0.014197,0.113862
-0.700000,0.458562,0.871940,0.014197,0.113862
-0.680000,0.458562,0.871940,0.014197,0.113862
-0.660000,0.458562,0.871940,0.014197,0.113862
-0.640000,0.458562,0.871940,0.014197,0.113862
-0.620000,0.458562,0.871940,0.014197,0.113862
-0.600000,0.458562,0.871940,0.014197,0.113862
-0.580000,0.458562,0.871940,0.014197,0.113862
-0.560000,0.458562,0.871940,0.014197,0.113862
-0.540000,0.458562,0.871940,0.014197,0.113862
-0.520000,0.458562,0.871940,0.014197,0.113862
-0.500000,0.458562,0.871940,0.014197,0.113862
-0.480000,0.458562,0.871940,0.014197,0.113862
-0.460000,0.458562,0.871940,0.014197,0.113862
-0.440000,0.458562,0.871940,0.014197,0.113862
-0.420000,0.458562,0.871940,0.014197,0.113862
-0.400000,0.458562,0.871940,0.014197,0.113862
-0.380000,0.458562,0.871940,0.014197,0.113862
-0.360000,0.458562,0.871940,0.014197,0.113862
-0.340000,0.458562,0.871940,0.014197,0.113862
-0.320000,0.458562,0.871940,0.014197,0.113862
-0.300000,0.458562,0.871940,0.014197,0.113862
-0.280000,0.458562,0.871940,0.014197,0.113862
-0.260000,0.458562,0.871940,0.014197,0.113862
-0.240000,0.458562,0.871940,0.014197,0.113862
-0.220000,0.458562,0.871940,0.014197,0.113862
-0.200000,0.458562,0.871940,0.014197,0.113862
-0.180000,0.458562,0.871940,0.014197,0.113862
-0.160000,0.458562,0.871940,0.014197,0.113862
-0.140000,0.458562,0.871940,0.014197,0.113862
-0.120000,0.458562,0.871940,0.014197,0.113862
-0.100000,0.458562,0.871940,0.014197,0.113862
-0.080000,0.458562,0.871940,0.014197,0.113862
-0.060000,0.458562,0.871940,0.014197,0.113862
-0.040000,0.458562,0.871940,0.014197,0.113862
-0.020000,0.458562,0.871940,0.014197,0.113862
-0.000000,0.458562,0.871940,0.014197,0.113862
0.020000,0.459051,0.872179,0.014147,0.113674
0.040000,0.459051,0.872179,0.014147,0.113674
0.060000,0.459051,0.872179,0.014147,0.113674
0.080000,0.459051,0.872179,0.014147,0.113674
0.100000,0.458721,0.872842,0.014155,0.113004
0.120000,0.458514,0.873523,0.014073,0.112403
0.140000,0.455561,0.876490,0.014056,0.109453
0.160000,0.427746,0.881674,0.014865,0.103461
0.180000,0.429929,0.889305,0.014362,0.096333
0.200000,0.424521,0.891187,0.014245,0.094568
0.220000,0.424605,0.891004,0.014243,0.094753
0.240000,0.424553,0.891092,0.014246,0.094662
0.260000,0.424553,0.891092,0.014246,0.094662
0.280000,0.424553,0.891092,0.014246,0.094662
0.300000,0.424525,0.891139,0.014247,0.094614
0.320000,0.424525,0.891139,0.014247,0.094614
0.340000,0.424485,0.891206,0.014248,0.094546
0.360000,0.424485,0.891206,0.014248,0.094546
0.380000,0.424481,0.891213,0.014248,0.094539
0.400000,0.424456,0.891206,0.014249,0.094545
0.420000,0.424456,0.891206,0.014249,0.094545
0.440000,0.424452,0.891212,0.014249,0.094538
0.460000,0.424417,0.891273,0.014251,0.094475
0.480000,0.424417,0.891273,0.014251,0.094475
0.500000,0.424417,0.891273,0.014251,0.094475
0.520000,0.424417,0.891273,0.014251,0.094475
0.540000,0.424417,0.891273,0.014251,0.094475
0.560000,0.424417,0.891273,0.014251,0.094475
0.580000,0.424417,0.891273,0.014251,0.094475
0.600000,0.424417,0.891273,0.014251,0.094475
0.620000,0.424417,0.891273,0.014251,0.094475
0.640000,0.424417,0.891273,0.014251,0.094475
0.660000,0.424417,0.891273,0.014251,0.094475
0.680000,0.424417,0.891273,0.014251,0.094475
0.700000,0.424417,0.891273,0.014251,0.094475
0.719999,0.424417,0.891273,0.014251,0.094475
0.739999,0.424417,0.891273,0.014251,0.094475
0.759999,0.424417,0.891273,0.014251,0.094475
0.779999,0.424417,0.891273,0.014251,0.094475
0.799999,0.424417,0.891273,0.014251,0.094475
0.819999,0.424417,0.891273,0.014251,0.094475
0.839999,0.424417,0.891273,0.014251,0.094475
0.859999,0.424417,0.891273,0.014251,0.094475
0.879999,0.424417,0.891273,0.014251,0.094475
0.899999,0.424417,0.891273,0.014251,0.094475
0.919999,0.424417,0.891273,0.014251,0.094475
0.939999,0.424417,0.891273,0.014251,0.094475
0.959999,0.424417,0.891273,0.014251,0.094475
0.979999,0.424417,0.891273,0.014251,0.094475
0.999999,0.424417,0.891273,0.014251,0.094475
