value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.048512,0.778158,0.084213,0.026731
0.020999,0.213146,0.866873,0.418759,0.013967
0.040998,0.291520,0.876539,0.581176,0.012368
0.060997,0.368238,0.882009,0.739932,0.013918
0.080996,0.426323,0.881987,0.857163,0.015129
0.100995,0.452749,0.871035,0.899021,0.015931
0.120994,0.466059,0.858224,0.911930,0.017044
0.140993,0.482110,0.847736,0.931808,0.019085
0.160992,0.494463,0.834643,0.940952,0.021543
0.180991,0.501012,0.825773,0.943307,0.022297
0.200990,0.510010,0.813206,0.945614,0.023293
0.220989,0.516544,0.803877,0.946718,0.024542
0.240988,0.524357,0.792863,0.947858,0.026065
0.260987,0.530826,0.784111,0.948944,0.026758
0.280986,0.538976,0.772767,0.949613,0.027124
0.300985,0.544867,0.764817,0.950108,0.027410
0.320984,0.550829,0.756910,0.950509,0.028715
0.340983,0.557690,0.748221,0.951239,0.028873
0.360982,0.563271,0.741274,0.951794,0.029024
0.380981,0.569500,0.733636,0.952344,0.029021
0.400980,0.574402,0.727682,0.952678,0.028934
0.420979,0.578831,0.722361,0.952926,0.028848
0.440978,0.586772,0.712844,0.953155,0.028794
0.460977,0.592311,0.706335,0.953302,0.028625
0.480976,0.597672,0.700184,0.953421,0.028559
0.500975,0.602058,0.695151,0.953466,0.028625
0.520974,0.605575,0.691278,0.953631,0.028515
0.540973,0.610488,0.685823,0.953705,0.028322
0.560972,0.615472,0.680297,0.953787,0.028250
0.580971,0.620229,0.675577,0.954380,0.028107
0.600970,0.624915,0.671066,0.955139,0.027913
0.620969,0.629421,0.666449,0.955345,0.027773
0.640968,0.633204,0.662665,0.955522,0.027614
0.660967,0.638164,0.657749,0.955800,0.027416
0.680966,0.641976,0.654307,0.956444,0.027266
0.700965,0.646199,0.650180,0.956601,0.027102
0.720964,0.650306,0.646165,0.956684,0.026965
0.740963,0.653911,0.642735,0.956803,0.026846
0.760962,0.657669,0.639262,0.956998,0.026732
0.780961,0.660854,0.636351,0.957219,0.026597
0.800960,0.663876,0.633519,0.957302,0.026471
0.820959,0.666760,0.630841,0.957365,0.026356
0.840958,0.669115,0.628760,0.957521,0.026259
0.860957,0.671827,0.626321,0.957586,0.026152
0.880956,0.674530,0.623887,0.957604,0.026062
0.900955,0.676414,0.622277,0.957668,0.025993
0.920955,0.678458,0.620452,0.957668,0.025908
0.940954,0.680420,0.618757,0.957713,0.025831
0.960953,0.682401,0.617008,0.957759,0.025752
0.980952,0.684494,0.615198,0.957833,0.025671
1.000951,0.686774,0.613118,0.957878,0.025584
1.020950,0.689049,0.611104,0.957888,0.025504
1.040949,0.691548,0.608911,0.957906,0.025419
1.060948,0.693466,0.607214,0.957915,0.025341
1.080947,0.695461,0.605489,0.957943,0.025264
1.100946,0.697111,0.604126,0.958016,0.025203
1.120945,0.698608,0.602865,0.958016,0.025147
1.140944,0.699883,0.601800,0.958025,0.025097
1.160943,0.701321,0.600639,0.958089,0.025045
1.180942,0.702995,0.599256,0.958098,0.024989
1.200941,0.704516,0.598011,0.958135,0.024938
1.220940,0.705822,0.596996,0.958236,0.024892
1.240939,0.707097,0.596017,0.958355,0.024848
1.260938,0.708227,0.595079,0.958383,0.024808
1.280937,0.709137,0.594315,0.958401,0.024773
1.300936,0.710068,0.593549,0.958410,0.024739
1.320935,0.711971,0.591963,0.958429,0.024676
1.340934,0.714244,0.590106,0.958465,0.024604
1.360933,0.715993,0.588683,0.958484,0.024548
1.380932,0.717434,0.587495,0.958484,0.024503
1.400931,0.718929,0.586279,0.958511,0.024450
1.420930,0.720478,0.585041,0.958548,0.024396
1.440929,0.721796,0.583988,0.958548,0.024347
1.460928,0.722862,0.583128,0.958548,0.024307
1.480927,0.723966,0.582247,0.958548,0.024268
1.500926,0.725628,0.580880,0.958557,0.024216
1.520925,0.727153,0.579671,0.958557,0.024179
1.540924,0.728619,0.578509,0.958557,0.024135
1.560923,0.729949,0.577474,0.958557,0.024096
1.580922,0.731073,0.576575,0.958557,0.024081
1.600921,0.732573,0.575389,0.958575,0.024039
1.620920,0.734164,0.574202,0.958611,0.024004
1.640919,0.735193,0.573411,0.958620,0.023994
1.660918,0.736479,0.572441,0.958629,0.023969
1.680918,0.737854,0.571452,0.958629,0.023942
1.700917,0.740347,0.569792,0.958629,0.023898
1.720916,0.741461,0.569026,0.958675,0.023897
1.740915,0.742325,0.568374,0.958693,0.023889
1.760914,0.743487,0.567482,0.958693,0.023853
1.780913,0.744867,0.566442,0.958702,0.023821
1.800912,0.745802,0.565737,0.958711,0.023799
1.820911,0.746675,0.565075,0.958711,0.023775
1.840910,0.747445,0.564495,0.958711,0.023749
1.860909,0.748160,0.563969,0.958711,0.023726
1.880908,0.748915,0.563414,0.958720,0.023701
1.900907,0.749690,0.562840,0.958720,0.023681
1.920906,0.750401,0.562329,0.958730,0.023656
1.940905,0.751102,0.561843,0.958775,0.023631
1.960904,0.751944,0.561231,0.958794,0.023603
1.980903,0.752610,0.560724,0.958794,0.023580
2.000902,0.753757,0.559825,0.958794,0.023543
2.020901,0.754472,0.559295,0.958812,0.023520
2.040900,0.755231,0.558728,0.958812,0.023497
2.060899,0.755918,0.558212,0.958821,0.023476
2.080898,0.756645,0.557680,0.958830,0.023453
2.100897,0.757303,0.557204,0.958849,0.023430
2.120896,0.758123,0.556614,0.958858,0.023398
2.140895,0.759013,0.555953,0.958867,0.023368
2.160894,0.759930,0.555266,0.958867,0.023337
2.180893,0.760864,0.554585,0.958867,0.023304
2.200892,0.761574,0.554065,0.958867,0.023280
2.220891,0.762449,0.553427,0.958867,0.023253
2.240890,0.763050,0.552994,0.958867,0.023233
2.260889,0.763616,0.552594,0.958876,0.023215
2.280888,0.764362,0.552064,0.958885,0.023191
2.300887,0.765041,0.551576,0.958894,0.023170
2.320886,0.765751,0.551081,0.958941,0.023149
2.340885,0.766474,0.550568,0.958941,0.023127
2.360884,0.767255,0.550022,0.958950,0.023104
2.380883,0.767987,0.549497,0.958968,0.023083
2.400882,0.768638,0.549042,0.958995,0.023063
2.420882,0.769321,0.548565,0.959005,0.023043
2.440881,0.770117,0.547997,0.959014,0.023019
2.460880,0.770867,0.547452,0.959014,0.022996
2.480879,0.771793,0.546812,0.959014,0.022964
2.500878,0.772624,0.546235,0.959023,0.022937
2.520877,0.773157,0.545857,0.959023,0.022919
2.540876,0.773722,0.545459,0.959032,0.022900
2.560875,0.774485,0.544916,0.959032,0.022876
2.580874,0.775210,0.544400,0.959032,0.022851
2.600873,0.775875,0.543931,0.959032,0.022829
2.620872,0.776541,0.543476,0.959041,0.022808
2.640871,0.777315,0.542940,0.959059,0.022784
2.660870,0.778069,0.542444,0.959123,0.022761
2.680869,0.778694,0.542020,0.959141,0.022741
2.700868,0.779222,0.541691,0.959214,0.022725
2.720867,0.779723,0.541357,0.959251,0.022709
2.740866,0.780264,0.540988,0.959260,0.022692
2.760865,0.780822,0.540619,0.959269,0.022676
2.780864,0.781509,0.540144,0.959269,0.022657
2.800863,0.781983,0.539822,0.959269,0.022644
2.820862,0.782549,0.539430,0.959269,0.022628
2.840861,0.783164,0.539008,0.959269,0.022610
2.860860,0.783795,0.538577,0.959269,0.022592
2.880859,0.784401,0.538148,0.959269,0.022575
2.900858,0.785064,0.537681,0.959269,0.022556
2.920857,0.785789,0.537183,0.959269,0.022533
2.940856,0.786472,0.536716,0.959269,0.022513
2.960855,0.787225,0.536196,0.959269,0.022490
2.980854,0.787828,0.535790,0.959269,0.022473
3.000853,0.788409,0.535402,0.959269,0.022455
3.020852,0.789147,0.534891,0.959269,0.022433
3.040851,0.789978,0.534321,0.959269,0.022409
3.060850,0.790683,0.533834,0.959269,0.022387
3.080849,0.791228,0.533468,0.959269,0.022371
3.100848,0.791796,0.533089,0.959269,0.022353
3.120847,0.792316,0.532747,0.959269,0.022337
3.140846,0.792858,0.532391,0.959278,0.022321
3.160846,0.793344,0.532061,0.959278,0.022307
3.180845,0.793837,0.531727,0.959278,0.022293
3.200844,0.794480,0.531290,0.959278,0.022275
3.220843,0.794998,0.530936,0.959278,0.022260
3.240842,0.795821,0.530375,0.959278,0.022238
3.260841,0.796712,0.529768,0.959278,0.022214
3.280840,0.797567,0.529192,0.959278,0.022191
3.300839,0.798294,0.528714,0.959278,0.022172
3.320838,0.799066,0.528204,0.959278,0.022151
3.340837,0.799834,0.527707,0.959278,0.022131
3.360836,0.800602,0.527211,0.959278,0.022111
3.380835,0.801282,0.526776,0.959278,0.022092
3.400834,0.801892,0.526387,0.959297,0.022077
3.420833,0.802668,0.525891,0.959306,0.022056
3.440832,0.803319,0.525472,0.959306,0.022039
3.460831,0.803906,0.525094,0.959306,0.022024
3.480830,0.804541,0.524688,0.959306,0.022007
3.500829,0.805012,0.524388,0.959306,0.021994
3.520828,0.805505,0.524078,0.959306,0.021980
3.540827,0.806032,0.523738,0.959306,0.021966
3.560826,0.806587,0.523373,0.959306,0.021952
