value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.436914,0.878402,0.873483,0.015855
0.020999,0.434446,0.881348,0.871588,0.015910
0.040998,0.432390,0.881951,0.868520,0.015296
0.060997,0.426770,0.885346,0.861005,0.014582
0.080996,0.427830,0.887584,0.865453,0.014430
0.100995,0.428126,0.889871,0.868381,0.014351
0.120994,0.429610,0.888926,0.870429,0.014613
0.140993,0.431441,0.887633,0.873015,0.014926
0.160992,0.432347,0.886743,0.874094,0.014942
0.180991,0.435510,0.883592,0.877430,0.015369
0.200990,0.445486,0.882261,0.896148,0.015981
0.220989,0.448323,0.877019,0.896600,0.015898
0.240988,0.451586,0.872377,0.898095,0.015815
0.260987,0.452696,0.870995,0.898835,0.015745
0.280986,0.453190,0.870404,0.899176,0.015725
0.300985,0.454253,0.868967,0.899795,0.015699
0.320984,0.457470,0.863453,0.900505,0.015598
0.340983,0.459404,0.860195,0.900911,0.015543
0.360982,0.459807,0.859775,0.901241,0.015530
0.380981,0.459660,0.860141,0.901305,0.015535
0.400980,0.460029,0.859678,0.901515,0.015531
0.420979,0.460420,0.859073,0.901643,0.015517
0.440978,0.457441,0.864957,0.901790,0.015605
0.460977,0.458584,0.863118,0.902018,0.015568
0.480976,0.459034,0.862637,0.902384,0.015552
0.500975,0.459528,0.861862,0.902531,0.015531
0.520974,0.459274,0.862636,0.902760,0.015542
0.540973,0.460051,0.861257,0.902898,0.015511
0.560972,0.459328,0.862647,0.902990,0.015653
0.580971,0.459690,0.862180,0.903192,0.015639
0.600970,0.459988,0.861776,0.903321,0.015629
0.620969,0.460366,0.861066,0.903321,0.015618
0.640968,0.460454,0.860911,0.903321,0.015616
0.660967,0.461748,0.858812,0.903549,0.015584
0.680966,0.461856,0.858623,0.903549,0.015580
0.700965,0.461960,0.858441,0.903549,0.015577
0.720964,0.462012,0.858335,0.903549,0.015575
0.740963,0.462044,0.858276,0.903549,0.015574
0.760962,0.462349,0.857762,0.903549,0.015565
0.780961,0.462434,0.857605,0.903549,0.015563
0.800960,0.463350,0.855867,0.903549,0.015543
0.820959,0.464295,0.854062,0.903549,0.015505
0.840958,0.464448,0.853792,0.903549,0.015499
0.860957,0.464802,0.853333,0.903741,0.015487
0.880956,0.464850,0.853246,0.903741,0.015485
0.900955,0.464612,0.853697,0.903741,0.015494
0.920955,0.465291,0.852499,0.903741,0.015473
0.940954,0.465476,0.852195,0.903750,0.015469
0.960953,0.465915,0.851554,0.903943,0.015455
0.980952,0.466051,0.851297,0.903943,0.015451
1.000951,0.466047,0.851297,0.903943,0.015451
1.020950,0.466174,0.851094,0.903943,0.015447
