value,total_removed,ground_removed,ground_removed_total,cone_removed
64.000000,0.494548,0.853194,0.961812,0.019390
68.480003,0.495779,0.852707,0.963600,0.020546
72.960007,0.495718,0.850850,0.961338,0.019167
77.440010,0.499975,0.846250,0.964473,0.019825
81.920013,0.495780,0.849628,0.960082,0.019733
86.400017,0.499387,0.847446,0.964686,0.020196
90.880020,0.497862,0.849411,0.963888,0.020072
95.360023,0.495535,0.848289,0.958051,0.019654
99.840027,0.496317,0.846594,0.957404,0.020122
104.320030,0.498277,0.844451,0.958900,0.020382
108.800034,0.497954,0.844437,0.958259,0.019870
113.280037,0.495612,0.845541,0.954892,0.020457
117.760040,0.495212,0.845924,0.954549,0.020592
122.240044,0.498115,0.842174,0.956078,0.020301
126.720047,0.499075,0.843034,0.958749,0.020079
131.200043,0.495728,0.844679,0.954164,0.020510
135.680038,0.498669,0.842904,0.957922,0.020226
140.160034,0.498457,0.843857,0.958347,0.020485
144.640030,0.496694,0.843772,0.954840,0.020434
149.120026,0.500065,0.841348,0.958768,0.020546
153.600021,0.496316,0.843193,0.953311,0.020608
158.080017,0.498871,0.839373,0.954135,0.020443
162.560013,0.497385,0.840956,0.952897,0.020435
167.040009,0.496315,0.841917,0.951877,0.020556
171.520004,0.498274,0.842054,0.955985,0.020836
176.000000,0.492149,0.843467,0.945668,0.020500
180.479996,0.491633,0.846483,0.948093,0.019803
184.959991,0.494154,0.846756,0.953206,0.019274
189.439987,0.496539,0.843225,0.953990,0.019374
193.919983,0.493615,0.846426,0.951777,0.018733
198.399979,0.475878,0.847848,0.918618,0.018484
202.879974,0.484613,0.850965,0.939255,0.018135
207.359970,0.480770,0.856713,0.938443,0.018438
211.839966,0.479449,0.856481,0.935648,0.018524
216.319962,0.484853,0.855538,0.944946,0.018275
220.799957,0.484848,0.853919,0.943408,0.017871
225.279953,0.485425,0.852363,0.942943,0.018026
229.759949,0.482953,0.856883,0.942801,0.016894
234.239944,0.478614,0.861259,0.939285,0.016875
238.719940,0.476104,0.862242,0.935615,0.016856
243.199936,0.478519,0.861003,0.939038,0.017391
247.679932,0.471071,0.868052,0.931929,0.016720
252.159927,0.469552,0.867860,0.928556,0.016070
256.639923,0.468703,0.869030,0.928294,0.016305
261.119934,0.467253,0.871094,0.927633,0.016049
265.599945,0.463823,0.870586,0.920123,0.016192
270.079956,0.463687,0.871421,0.920903,0.016501
274.559967,0.463671,0.871852,0.921327,0.016081
279.039978,0.462701,0.872248,0.919767,0.015940
283.519989,0.461961,0.872950,0.919050,0.016005
288.000000,0.424405,0.866528,0.837755,0.016274
292.480011,0.424132,0.867121,0.837677,0.016009
296.960022,0.422695,0.867964,0.835515,0.016015
301.440033,0.421780,0.867981,0.833853,0.016235
305.920044,0.420892,0.869633,0.833831,0.016058
310.400055,0.436744,0.875961,0.871496,0.016748
314.880066,0.436920,0.875960,0.871848,0.016549
319.360077,0.438200,0.875639,0.873918,0.016443
323.840088,0.437728,0.877218,0.874487,0.016700
328.320099,0.437423,0.878373,0.875013,0.016837
332.800110,0.435988,0.879512,0.873227,0.016770
337.280121,0.435553,0.880230,0.872985,0.017054
341.760132,0.435567,0.880027,0.872864,0.016472
346.240143,0.435929,0.879853,0.873479,0.016799
350.720154,0.434802,0.879617,0.870935,0.016566
355.200165,0.436368,0.879482,0.873976,0.016987
359.680176,0.436378,0.879692,0.874219,0.016725
364.160187,0.434069,0.879901,0.869697,0.016743
368.640198,0.433433,0.880356,0.868868,0.016765
373.120209,0.433236,0.880790,0.868872,0.016861
377.600220,0.432818,0.881042,0.868297,0.016816
382.080231,0.433303,0.880525,0.868786,0.017033
386.560242,0.431509,0.881151,0.865814,0.016583
391.040253,0.431629,0.881903,0.866770,0.016852
395.520264,0.431959,0.881580,0.867189,0.016975
400.000275,0.431918,0.881815,0.867412,0.017060
404.480286,0.431510,0.881464,0.866194,0.016776
408.960297,0.430852,0.881622,0.865032,0.017103
413.440308,0.430201,0.881731,0.863759,0.016901
417.920319,0.431966,0.881733,0.867389,0.016966
422.400330,0.432887,0.881189,0.868694,0.016972
426.880341,0.432821,0.882234,0.869700,0.016995
431.360352,0.433573,0.881936,0.871025,0.016888
435.840363,0.433947,0.882300,0.872144,0.016774
440.320374,0.433904,0.883059,0.872812,0.016760
444.800385,0.435076,0.882063,0.874259,0.016844
449.280396,0.434104,0.883133,0.873316,0.016767
453.760406,0.434863,0.883131,0.874924,0.016529
458.240417,0.435973,0.883011,0.877059,0.016681
462.720428,0.435955,0.883013,0.877063,0.016753
467.200439,0.437262,0.883520,0.880236,0.016651
471.680450,0.436346,0.883738,0.878621,0.016622
476.160461,0.436702,0.883642,0.879234,0.016803
480.640472,0.437373,0.883494,0.880487,0.016442
485.120483,0.435689,0.884296,0.877872,0.016475
489.600494,0.436283,0.884328,0.879153,0.016790
494.080505,0.435518,0.885087,0.878328,0.016638
498.560516,0.435628,0.884971,0.878460,0.016684
503.040527,0.435797,0.885165,0.878990,0.016555
507.520538,0.435518,0.885160,0.878351,0.016753
