value,total_removed,ground_removed,ground_removed_total,cone_removed
-0.200000,0.487756,0.857921,0.953998,0.016214
-0.196000,0.487756,0.857921,0.953998,0.016214
-0.192000,0.487756,0.857921,0.953998,0.016214
-0.188000,0.487756,0.857921,0.953998,0.016214
-0.184000,0.487756,0.857921,0.953998,0.016214
-0.180000,0.487756,0.857921,0.953998,0.016214
-0.176000,0.487756,0.857921,0.953998,0.016214
-0.172000,0.487756,0.857921,0.953998,0.016214
-0.168000,0.487756,0.857921,0.953998,0.016214
-0.164000,0.487756,0.857921,0.953998,0.016214
-0.160000,0.487756,0.857921,0.953998,0.016214
-0.156000,0.487756,0.857921,0.953998,0.016214
-0.152000,0.487756,0.857921,0.953998,0.016214
-0.148000,0.487756,0.857921,0.953998,0.016214
-0.144000,0.487756,0.857921,0.953998,0.016214
-0.140000,0.487756,0.857921,0.953998,0.016214
-0.136000,0.487756,0.857921,0.953998,0.016214
-0.132000,0.487756,0.857921,0.953998,0.016214
-0.128000,0.487756,0.857921,0.953998,0.016214
-0.124000,0.487756,0.857921,0.953998,0.016214
-0.120000,0.487756,0.857921,0.953998,0.016214
-0.116000,0.487756,0.857921,0.953998,0.016214
-0.112000,0.487756,0.857921,0.953998,0.016214
-0.108000,0.487756,0.857921,0.953998,0.016214
-0.104000,0.487756,0.857921,0.953998,0.016214
-0.100000,0.487756,0.857921,0.953998,0.016214
-0.096000,0.487756,0.857921,0.953998,0.016214
-0.092000,0.487756,0.857921,0.953998,0.016214
-0.088000,0.487756,0.857921,0.953998,0.016214
-0.084000,0.487756,0.857921,0.953998,0.016214
-0.080000,0.487756,0.857921,0.953998,0.016214
-0.076000,0.487756,0.857921,0.953998,0.016214
-0.072000,0.487756,0.857921,0.953998,0.016214
-0.068000,0.487756,0.857921,0.953998,0.016214
-0.064000,0.487756,0.857921,0.953998,0.016214
-0.060000,0.487756,0.857921,0.953998,0.016214
-0.056000,0.487756,0.857921,0.953998,0.016214
-0.052000,0.487756,0.857921,0.953998,0.016214
-0.048000,0.487756,0.857921,0.953998,0.016214
-0.044000,0.487756,0.857921,0.953998,0.016214
-0.040000,0.487756,0.857921,0.953998,0.016214
-0.036000,0.487756,0.857921,0.953998,0.016214
-0.032000,0.487756,0.857921,0.953998,0.016214
-0.028000,0.487756,0.857921,0.953998,0.016214
-0.024000,0.487756,0.857921,0.953998,0.016214
-0.020000,0.487756,0.857921,0.953998,0.016214
-0.016000,0.487756,0.857921,0.953998,0.016214
-0.012000,0.487756,0.857921,0.953998,0.016214
-0.008000,0.487756,0.857921,0.953998,0.016214
-0.004000,0.487756,0.857921,0.953998,0.016214
-0.000000,0.487756,0.857921,0.953998,0.016214
0.004000,0.485160,0.861475,0.952868,0.016296
0.008000,0.485160,0.861475,0.952868,0.016296
0.012000,0.485160,0.861475,0.952868,0.016296
0.016000,0.485160,0.861475,0.952868,0.016296
0.020000,0.485160,0.861475,0.952868,0.016296
0.024000,0.485160,0.861475,0.952868,0.016296
0.028000,0.485160,0.861475,0.952868,0.016296
0.032000,0.485160,0.861475,0.952868,0.016296
0.036000,0.485160,0.861475,0.952868,0.016296
0.040000,0.485160,0.861475,0.952868,0.016296
0.044000,0.485132,0.861525,0.952868,0.016297
0.048000,0.484750,0.862076,0.952741,0.016306
0.052000,0.484750,0.862076,0.952741,0.016306
0.056000,0.484750,0.862076,0.952741,0.016306
0.060000,0.484750,0.862076,0.952741,0.016306
0.064000,0.484750,0.862076,0.952741,0.016306
0.068000,0.484750,0.862076,0.952741,0.016306
0.072000,0.484750,0.862076,0.952741,0.016306
0.076000,0.484750,0.862076,0.952741,0.016306
0.080000,0.484750,0.862076,0.952741,0.016306
0.084000,0.484750,0.862076,0.952741,0.016306
0.088000,0.484750,0.862076,0.952741,0.016306
0.092000,0.484742,0.862090,0.952741,0.016306
0.096000,0.484742,0.862090,0.952741,0.016306
0.100000,0.484629,0.862288,0.952741,0.016309
0.104000,0.484569,0.862393,0.952741,0.016310
0.108000,0.484658,0.862228,0.952732,0.016308
0.112000,0.484690,0.862215,0.952778,0.016307
0.116000,0.484899,0.861848,0.952778,0.016300
0.120000,0.484952,0.861796,0.952824,0.016298
0.124000,0.484614,0.862435,0.952870,0.016308
0.128000,0.484255,0.863084,0.952897,0.016324
0.132000,0.484011,0.863530,0.952897,0.016333
0.136000,0.483772,0.863588,0.952485,0.016341
0.140000,0.483318,0.864088,0.952151,0.016337
0.144000,0.482005,0.865159,0.950751,0.016294
0.148000,0.479609,0.866161,0.947056,0.016245
0.152000,0.475511,0.867079,0.939804,0.016431
0.156000,0.472066,0.868394,0.934383,0.016474
0.160000,0.471879,0.869226,0.934900,0.016403
0.164000,0.470485,0.870079,0.933016,0.016427
0.168000,0.469459,0.870330,0.931183,0.016271
0.172000,0.468578,0.869994,0.929047,0.016301
0.176000,0.468672,0.869914,0.929175,0.016388
0.180000,0.468541,0.869844,0.928845,0.016412
0.184000,0.468614,0.869714,0.928845,0.016410
0.188000,0.468630,0.869687,0.928845,0.016408
0.192000,0.468622,0.869691,0.928845,0.016308
0.196000,0.468658,0.869630,0.928845,0.016305
0.200000,0.468614,0.869706,0.928845,0.016307
