value,total_removed,ground_removed,ground_removed_total,cone_removed
-0.200000,0.494699,0.848937,0.957215,0.017497
-0.196000,0.494699,0.848937,0.957215,0.017497
-0.192000,0.494699,0.848937,0.957215,0.017497
-0.188000,0.494699,0.848937,0.957215,0.017497
-0.184000,0.494699,0.848937,0.957215,0.017497
-0.180000,0.494699,0.848937,0.957215,0.017497
-0.176000,0.494699,0.848937,0.957215,0.017497
-0.172000,0.494699,0.848937,0.957215,0.017497
-0.168000,0.494699,0.848937,0.957215,0.017497
-0.164000,0.494699,0.848937,0.957215,0.017497
-0.160000,0.494699,0.848937,0.957215,0.017497
-0.156000,0.494699,0.848937,0.957215,0.017497
-0.152000,0.494699,0.848937,0.957215,0.017497
-0.148000,0.494699,0.848937,0.957215,0.017497
-0.144000,0.494699,0.848937,0.957215,0.017497
-0.140000,0.494699,0.848937,0.957215,0.017497
-0.136000,0.494699,0.848937,0.957215,0.017497
-0.132000,0.494699,0.848937,0.957215,0.017497
-0.128000,0.494699,0.848937,0.957215,0.017497
-0.124000,0.494699,0.848937,0.957215,0.017497
-0.120000,0.494699,0.848937,0.957215,0.017497
-0.116000,0.494699,0.848937,0.957215,0.017497
-0.112000,0.494699,0.848937,0.957215,0.017497
-0.108000,0.494699,0.848937,0.957215,0.017497
-0.104000,0.494699,0.848937,0.957215,0.017497
-0.100000,0.494699,0.848937,0.957215,0.017497
-0.096000,0.494699,0.848937,0.957215,0.017497
-0.092000,0.494699,0.848937,0.957215,0.017497
-0.088000,0.494699,0.848937,0.957215,0.017497
-0.084000,0.494699,0.848937,0.957215,0.017497
-0.080000,0.494699,0.848937,0.957215,0.017497
-0.076000,0.494699,0.848937,0.957215,0.017497
-0.072000,0.494699,0.848937,0.957215,0.017497
-0.068000,0.494699,0.848937,0.957215,0.017497
-0.064000,0.494699,0.848937,0.957215,0.017497
-0.060000,0.494699,0.848937,0.957215,0.017497
-0.056000,0.494699,0.848937,0.957215,0.017497
-0.052000,0.494699,0.848937,0.957215,0.017497
-0.048000,0.494699,0.848937,0.957215,0.017497
-0.044000,0.494699,0.848937,0.957215,0.017497
-0.040000,0.494699,0.848937,0.957215,0.017497
-0.036000,0.494699,0.848937,0.957215,0.017497
-0.032000,0.494699,0.848937,0.957215,0.017497
-0.028000,0.494699,0.848937,0.957215,0.017497
-0.024000,0.494699,0.848937,0.957215,0.017497
-0.020000,0.494699,0.848937,0.957215,0.017497
-0.016000,0.494699,0.848937,0.957215,0.017497
-0.012000,0.494699,0.848937,0.957215,0.017497
-0.008000,0.494699,0.848937,0.957215,0.017497
-0.004000,0.494699,0.848937,0.957215,0.017497
-0.000000,0.494699,0.848937,0.957215,0.017497
0.004000,0.494535,0.849372,0.957376,0.017502
0.008000,0.494542,0.849458,0.957467,0.017499
0.012000,0.494422,0.849748,0.957467,0.017505
0.016000,0.494558,0.849710,0.957715,0.017500
0.020000,0.492166,0.853916,0.957806,0.017437
0.024000,0.492044,0.854142,0.957806,0.017438
0.028000,0.492120,0.853989,0.957806,0.017438
0.032000,0.491614,0.854972,0.957926,0.017454
0.036000,0.491033,0.855996,0.957926,0.017468
0.040000,0.490443,0.856978,0.957883,0.017488
0.044000,0.490443,0.856978,0.957883,0.017488
0.048000,0.490145,0.857469,0.957845,0.017496
0.052000,0.490145,0.857469,0.957845,0.017496
0.056000,0.489914,0.857844,0.957845,0.017511
0.060000,0.489914,0.857844,0.957845,0.017511
0.064000,0.489914,0.857844,0.957845,0.017511
0.068000,0.489914,0.857844,0.957845,0.017511
0.072000,0.489914,0.857844,0.957845,0.017511
0.076000,0.489914,0.857844,0.957845,0.017511
0.080000,0.489914,0.857844,0.957845,0.017511
0.084000,0.489914,0.857844,0.957845,0.017511
0.088000,0.489918,0.857837,0.957845,0.017511
0.092000,0.489918,0.857837,0.957845,0.017511
0.096000,0.489918,0.857837,0.957845,0.017511
0.100000,0.489918,0.857837,0.957845,0.017511
0.104000,0.489918,0.857837,0.957845,0.017511
0.108000,0.489918,0.857837,0.957845,0.017511
0.112000,0.489918,0.857837,0.957845,0.017511
0.116000,0.489918,0.857837,0.957845,0.017511
0.120000,0.489918,0.857837,0.957845,0.017511
0.124000,0.489926,0.857823,0.957845,0.017510
0.128000,0.489926,0.857823,0.957845,0.017510
0.132000,0.489926,0.857823,0.957845,0.017510
0.136000,0.489926,0.857823,0.957845,0.017510
0.140000,0.489926,0.857823,0.957845,0.017510
0.144000,0.489926,0.857823,0.957845,0.017510
0.148000,0.489926,0.857823,0.957845,0.017510
0.152000,0.489926,0.857823,0.957845,0.017510
0.156000,0.489938,0.857801,0.957845,0.017510
0.160000,0.489938,0.857801,0.957845,0.017510
0.164000,0.489938,0.857801,0.957845,0.017510
0.168000,0.489938,0.857801,0.957845,0.017510
0.172000,0.489938,0.857801,0.957845,0.017510
0.176000,0.489938,0.857801,0.957845,0.017510
0.180000,0.489938,0.857801,0.957845,0.017510
0.184000,0.489938,0.857801,0.957845,0.017510
0.188000,0.489938,0.857801,0.957845,0.017510
0.192000,0.489938,0.857801,0.957845,0.017510
0.196000,0.489946,0.857787,0.957845,0.017510
0.200000,0.489946,0.857787,0.957845,0.017510
