value,total_removed,ground_removed,ground_removed_total,cone_removed
0.000100,0.491489,0.854519,0.957269,0.017467
0.005099,0.489967,0.857750,0.957845,0.017509
0.010098,0.489762,0.858112,0.957845,0.017515
0.015097,0.489572,0.858434,0.957836,0.017423
0.020096,0.489422,0.858759,0.957905,0.017260
0.025095,0.489233,0.859034,0.957859,0.017260
0.030094,0.489076,0.859239,0.957775,0.017265
0.035093,0.488566,0.859953,0.957585,0.017285
0.040092,0.488437,0.860117,0.957510,0.017288
0.045091,0.488352,0.860179,0.957436,0.017289
0.050090,0.488109,0.860900,0.957703,0.017298
0.055089,0.488042,0.861087,0.957758,0.017309
0.060088,0.487946,0.861301,0.957804,0.017311
0.065087,0.487946,0.861301,0.957804,0.017311
0.070086,0.487922,0.861341,0.957804,0.017312
0.075085,0.487752,0.861643,0.957804,0.017317
0.080084,0.487752,0.861643,0.957804,0.017317
0.085083,0.487752,0.861643,0.957804,0.017317
0.090082,0.487661,0.861662,0.957649,0.017323
0.095081,0.487661,0.861662,0.957649,0.017323
0.100080,0.487681,0.861626,0.957649,0.017322
0.105079,0.487681,0.861626,0.957649,0.017322
0.110078,0.487681,0.861626,0.957649,0.017322
0.115077,0.487681,0.861626,0.957649,0.017322
0.120076,0.487681,0.861626,0.957649,0.017322
0.125075,0.487681,0.861626,0.957649,0.017322
0.130074,0.487681,0.861626,0.957649,0.017322
0.135073,0.487681,0.861626,0.957649,0.017322
0.140072,0.487617,0.861731,0.957649,0.017326
0.145071,0.487468,0.861997,0.957649,0.017331
0.150070,0.487468,0.861997,0.957649,0.017331
0.155069,0.487468,0.861997,0.957649,0.017331
0.160068,0.487468,0.861997,0.957649,0.017331
0.165067,0.487468,0.861997,0.957649,0.017331
0.170066,0.487468,0.861997,0.957649,0.017331
0.175065,0.487468,0.861997,0.957649,0.017331
0.180064,0.487468,0.861997,0.957649,0.017331
0.185063,0.487468,0.861997,0.957649,0.017331
0.190062,0.487609,0.861745,0.957649,0.017326
0.195061,0.487609,0.861745,0.957649,0.017326
0.200060,0.487609,0.861745,0.957649,0.017326
0.205059,0.487537,0.861863,0.957649,0.017328
0.210058,0.487533,0.861870,0.957649,0.017321
0.215057,0.487533,0.861870,0.957649,0.017321
0.220056,0.487473,0.861968,0.957649,0.017300
0.225055,0.487473,0.861968,0.957649,0.017300
0.230054,0.487473,0.861968,0.957649,0.017300
0.235053,0.487473,0.861968,0.957649,0.017300
0.240052,0.487401,0.862087,0.957649,0.017305
0.245051,0.487401,0.862087,0.957649,0.017305
0.250050,0.487401,0.862087,0.957649,0.017305
0.255049,0.487401,0.862087,0.957649,0.017305
0.260048,0.487405,0.862080,0.957649,0.017312
0.265047,0.487405,0.862080,0.957649,0.017312
0.270046,0.487405,0.862080,0.957649,0.017312
0.275045,0.487405,0.862080,0.957649,0.017312
0.280044,0.487405,0.862080,0.957649,0.017312
0.285043,0.487405,0.862080,0.957649,0.017312
0.290042,0.487405,0.862080,0.957649,0.017312
0.295041,0.487405,0.862080,0.957649,0.017312
0.300040,0.487405,0.862080,0.957649,0.017312
0.305039,0.487405,0.862080,0.957649,0.017312
0.310038,0.487405,0.862080,0.957649,0.017312
0.315037,0.487405,0.862080,0.957649,0.017312
0.320036,0.487405,0.862080,0.957649,0.017312
0.325035,0.487405,0.862080,0.957649,0.017312
0.330034,0.487405,0.862080,0.957649,0.017312
0.335033,0.487405,0.862080,0.957649,0.017312
0.340032,0.487405,0.862080,0.957649,0.017312
0.345031,0.487405,0.862080,0.957649,0.017312
0.350030,0.487405,0.862080,0.957649,0.017312
0.355029,0.487405,0.862080,0.957649,0.017312
0.360028,0.487405,0.862080,0.957649,0.017312
0.365027,0.487405,0.862080,0.957649,0.017312
0.370026,0.487405,0.862080,0.957649,0.017312
0.375025,0.487405,0.862080,0.957649,0.017312
0.380024,0.487405,0.862080,0.957649,0.017312
0.385023,0.487405,0.862080,0.957649,0.017312
0.390022,0.487405,0.862080,0.957649,0.017312
0.395021,0.487405,0.862080,0.957649,0.017312
0.400020,0.487354,0.862168,0.957631,0.017257
0.405019,0.487354,0.862168,0.957631,0.017257
0.410018,0.487354,0.862168,0.957631,0.017257
0.415017,0.487354,0.862168,0.957631,0.017257
0.420016,0.487354,0.862168,0.957631,0.017257
0.425015,0.487354,0.862168,0.957631,0.017257
0.430014,0.487354,0.862168,0.957631,0.017257
0.435013,0.487354,0.862168,0.957631,0.017257
0.440012,0.487354,0.862168,0.957631,0.017257
0.445011,0.487354,0.862168,0.957631,0.017257
0.450010,0.487354,0.862168,0.957631,0.017257
0.455009,0.487354,0.862168,0.957631,0.017257
0.460008,0.487354,0.862168,0.957631,0.017257
0.465007,0.487354,0.862168,0.957631,0.017257
0.470006,0.487354,0.862168,0.957631,0.017257
0.475005,0.487354,0.862168,0.957631,0.017257
0.480004,0.487354,0.862168,0.957631,0.017257
0.485003,0.487354,0.862168,0.957631,0.017257
0.490002,0.487354,0.862168,0.957631,0.017257
0.495001,0.487354,0.862168,0.957631,0.017257
