value,total_removed,ground_removed,ground_removed_total,cone_removed
-1.500000,0.490344,0.851699,0.951722,0.017907
-1.483000,0.490344,0.851699,0.951722,0.017907
-1.466000,0.490344,0.851699,0.951722,0.017907
-1.449000,0.490344,0.851699,0.951722,0.017907
-1.432000,0.490344,0.851699,0.951722,0.017907
-1.415000,0.490344,0.851699,0.951722,0.017907
-1.398000,0.490344,0.851699,0.951722,0.017907
-1.381000,0.490344,0.851699,0.951722,0.017907
-1.364000,0.490344,0.851699,0.951722,0.017907
-1.347000,0.490344,0.851699,0.951722,0.017907
-1.330000,0.490344,0.851699,0.951722,0.017907
-1.313000,0.490344,0.851699,0.951722,0.017907
-1.296000,0.490344,0.851699,0.951722,0.017907
-1.279001,0.490344,0.851699,0.951722,0.017907
-1.262001,0.490344,0.851699,0.951722,0.017907
-1.245001,0.490344,0.851699,0.951722,0.017907
-1.228001,0.490344,0.851699,0.951722,0.017907
-1.211001,0.490344,0.851699,0.951722,0.017907
-1.194001,0.490344,0.851699,0.951722,0.017907
-1.177001,0.490344,0.851699,0.951722,0.017907
-1.160001,0.490344,0.851699,0.951722,0.017907
-1.143001,0.490344,0.851699,0.951722,0.017907
-1.126001,0.490344,0.851699,0.951722,0.017907
-1.109001,0.490344,0.851699,0.951722,0.017907
-1.092001,0.490344,0.851699,0.951722,0.017907
-1.075001,0.490344,0.851699,0.951722,0.017907
-1.058001,0.490344,0.851699,0.951722,0.017907
-1.041001,0.490344,0.851699,0.951722,0.017907
-1.024001,0.490344,0.851699,0.951722,0.017907
-1.007001,0.490344,0.851699,0.951722,0.017907
-0.990001,0.490344,0.851699,0.951722,0.017907
-0.973001,0.490344,0.851699,0.951722,0.017907
-0.956001,0.490344,0.851699,0.951722,0.017907
-0.939001,0.490344,0.851699,0.951722,0.017907
-0.922001,0.490344,0.851699,0.951722,0.017907
-0.905001,0.490344,0.851699,0.951722,0.017907
-0.888001,0.490344,0.851699,0.951722,0.017907
-0.871001,0.490344,0.851699,0.951722,0.017907
-0.854001,0.490344,0.851699,0.951722,0.017907
-0.837001,0.490344,0.851699,0.951722,0.017907
-0.820001,0.490344,0.851699,0.951722,0.017907
-0.803001,0.490344,0.851699,0.951722,0.017907
-0.786001,0.490344,0.851699,0.951722,0.017907
-0.769001,0.490344,0.851699,0.951722,0.017907
-0.752001,0.490344,0.851699,0.951722,0.017907
-0.735001,0.490344,0.851699,0.951722,0.017907
-0.718001,0.490344,0.851699,0.951722,0.017907
-0.701001,0.490344,0.851699,0.951722,0.017907
-0.684001,0.490344,0.851699,0.951722,0.017907
-0.667001,0.490344,0.851699,0.951722,0.017907
-0.650001,0.490344,0.851699,0.951722,0.017907
-0.633001,0.490344,0.851699,0.951722,0.017907
-0.616001,0.490344,0.851699,0.951722,0.017907
-0.599001,0.490344,0.851699,0.951722,0.017907
-0.582001,0.490344,0.851699,0.951722,0.017907
-0.565001,0.490344,0.851699,0.951722,0.017907
-0.548001,0.490344,0.851699,0.951722,0.017907
-0.531001,0.490344,0.851699,0.951722,0.017907
-0.514001,0.490344,0.851699,0.951722,0.017907
-0.497001,0.490344,0.851699,0.951722,0.017907
-0.480001,0.490344,0.851699,0.951722,0.017907
-0.463001,0.490344,0.851699,0.951722,0.017907
-0.446001,0.490344,0.851699,0.951722,0.017907
-0.429001,0.490344,0.851699,0.951722,0.017907
-0.412001,0.490344,0.851699,0.951722,0.017907
-0.395001,0.490344,0.851699,0.951722,0.017907
-0.378001,0.490344,0.851699,0.951722,0.017907
-0.361001,0.490344,0.851699,0.951722,0.017907
-0.344001,0.490344,0.851699,0.951722,0.017907
-0.327001,0.490344,0.851699,0.951722,0.017907
-0.310001,0.490360,0.851673,0.951722,0.017906
-0.293001,0.490360,0.851673,0.951722,0.017906
-0.276001,0.490360,0.851673,0.951722,0.017906
-0.259001,0.490360,0.851673,0.951722,0.017906
-0.242001,0.490360,0.851673,0.951722,0.017906
-0.225001,0.490360,0.851673,0.951722,0.017906
-0.208001,0.490360,0.851673,0.951722,0.017906
-0.191001,0.490360,0.851673,0.951722,0.017906
-0.174001,0.490453,0.851509,0.951722,0.017903
-0.157001,0.490611,0.851230,0.951722,0.017899
-0.140001,0.490611,0.851230,0.951722,0.017899
-0.123001,0.490611,0.851230,0.951722,0.017899
-0.106001,0.490611,0.851230,0.951722,0.017899
-0.089001,0.490543,0.851339,0.951722,0.017902
-0.072001,0.490547,0.851333,0.951722,0.017902
-0.055001,0.490547,0.851333,0.951722,0.017902
-0.038001,0.490547,0.851333,0.951722,0.017902
-0.021001,0.490899,0.851058,0.952094,0.017893
-0.004001,0.495028,0.850042,0.959066,0.017832
0.012999,0.501499,0.848277,0.969756,0.017612
0.029999,0.501738,0.849703,0.971875,0.017793
0.046999,0.501099,0.848777,0.969517,0.017820
0.063999,0.500776,0.849303,0.969511,0.017833
0.080999,0.500699,0.849726,0.969848,0.017836
0.097999,0.500575,0.850087,0.970024,0.017840
0.114999,0.500662,0.849945,0.970024,0.017849
0.131999,0.500477,0.850239,0.970024,0.017857
0.148999,0.500477,0.850239,0.970024,0.017857
0.165999,0.500477,0.850239,0.970024,0.017857
0.182999,0.500477,0.850239,0.970024,0.017857
0.199999,0.500465,0.850258,0.970024,0.017857
