value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.496766,0.844687,0.018792,0.136521
-0.980000,0.496766,0.844687,0.018792,0.136521
-0.960000,0.496766,0.844687,0.018792,0.136521
-0.940000,0.496766,0.844687,0.018792,0.136521
-0.920000,0.496766,0.844687,0.018792,0.136521
-0.900000,0.496766,0.844687,0.018792,0.136521
-0.880000,0.496766,0.844687,0.018792,0.136521
-0.860000,0.496766,0.844687,0.018792,0.136521
-0.840000,0.496766,0.844687,0.018792,0.136521
-0.820000,0.496766,0.844687,0.018792,0.136521
-0.800000,0.496766,0.844687,0.018792,0.136521
-0.780000,0.496766,0.844687,0.018792,0.136521
-0.760000,0.496766,0.844687,0.018792,0.136521
-0.740000,0.496766,0.844687,0.018792,0.136521
-0.720000,0.496766,0.844687,0.018792,0.136521
-0.700000,0.496766,0.844687,0.018792,0.136521
-0.680000,0.496766,0.844687,0.018792,0.136521
-0.660000,0.496766,0.844687,0.018792,0.136521
-0.640000,0.496766,0.844687,0.018792,0.136521
-0.620000,0.496766,0.844687,0.018792,0.136521
-0.600000,0.496766,0.844687,0.018792,0.136521
-0.580000,0.496766,0.844687,0.018792,0.136521
-0.560000,0.496766,0.844687,0.018792,0.136521
-0.540000,0.496766,0.844687,0.018792,0.136521
-0.520000,0.496766,0.844687,0.018792,0.136521
-0.500000,0.496766,0.844687,0.018792,0.136521
-0.480000,0.496766,0.844687,0.018792,0.136521
-0.460000,0.496766,0.844687,0.018792,0.136521
-0.440000,0.496766,0.844687,0.018792,0.136521
-0.420000,0.496766,0.844687,0.018792,0.136521
-0.400000,0.496766,0.844687,0.018792,0.136521
-0.380000,0.496766,0.844687,0.018792,0.136521
-0.360000,0.496766,0.844687,0.018792,0.136521
-0.340000,0.496766,0.844687,0.018792,0.136521
-0.320000,0.496766,0.844687,0.018792,0.136521
-0.300000,0.496766,0.844687,0.018792,0.136521
-0.280000,0.496766,0.844687,0.018792,0.136521
-0.260000,0.496766,0.844687,0.018792,0.136521
-0.240000,0.496766,0.844687,0.018792,0.136521
-0.220000,0.496766,0.844687,0.018792,0.136521
-0.200000,0.496766,0.844687,0.018792,0.136521
-0.180000,0.496766,0.844687,0.018792,0.136521
-0.160000,0.496766,0.844687,0.018792,0.136521
-0.140000,0.496766,0.844687,0.018792,0.136521
-0.120000,0.496766,0.844687,0.018792,0.136521
-0.100000,0.496766,0.844687,0.018792,0.136521
-0.080000,0.496766,0.844687,0.018792,0.136521
-0.060000,0.496766,0.844687,0.018792,0.136521
-0.040000,0.496766,0.844687,0.018792,0.136521
-0.020000,0.496766,0.844687,0.018792,0.136521
-0.000000,0.496766,0.844687,0.018792,0.136521
0.020000,0.496286,0.846312,0.018812,0.134876
0.040000,0.496286,0.846312,0.018812,0.134876
0.060000,0.496286,0.846312,0.018812,0.134876
0.080000,0.496286,0.846312,0.018812,0.134876
0.100000,0.495988,0.846822,0.018821,0.134357
0.120000,0.495867,0.847226,0.018824,0.133949
0.140000,0.494383,0.849373,0.018883,0.131744
0.160000,0.484985,0.851185,0.018917,0.129898
0.180000,0.491314,0.852623,0.018823,0.128554
0.200000,0.491368,0.852604,0.018824,0.128572
0.220000,0.491339,0.852501,0.018825,0.128674
0.240000,0.491320,0.852388,0.018829,0.128783
0.260000,0.491260,0.852472,0.018830,0.128698
0.280000,0.491131,0.852594,0.018835,0.128572
0.300000,0.491115,0.852619,0.018835,0.128546
0.320000,0.491055,0.852732,0.018837,0.128431
0.340000,0.491163,0.852531,0.018834,0.128635
0.360000,0.491212,0.852453,0.018832,0.128715
0.380000,0.491131,0.852445,0.018835,0.128721
0.400000,0.491115,0.852471,0.018835,0.128694
0.420000,0.491115,0.852471,0.018835,0.128694
0.440000,0.491099,0.852493,0.018836,0.128671
0.460000,0.491067,0.852543,0.018838,0.128619
0.480000,0.491147,0.852414,0.018833,0.128753
0.500000,0.491147,0.852414,0.018833,0.128753
0.520000,0.491135,0.852433,0.018833,0.128734
0.540000,0.491102,0.852483,0.018835,0.128682
0.560000,0.491135,0.852432,0.018834,0.128734
0.580000,0.491182,0.852356,0.018830,0.128814
0.600000,0.491158,0.852393,0.018832,0.128774
0.620000,0.491158,0.852393,0.018832,0.128774
0.640000,0.491158,0.852393,0.018832,0.128774
0.660000,0.491134,0.852436,0.018833,0.128731
0.680000,0.491074,0.852531,0.018836,0.128633
0.700000,0.491110,0.852474,0.018833,0.128692
0.719999,0.491074,0.852531,0.018835,0.128634
0.739999,0.491074,0.852531,0.018835,0.128634
0.759999,0.491074,0.852531,0.018835,0.128634
0.779999,0.491074,0.852531,0.018835,0.128634
0.799999,0.491074,0.852531,0.018835,0.128634
0.819999,0.491074,0.852531,0.018835,0.128634
0.839999,0.491074,0.852531,0.018835,0.128634
0.859999,0.491074,0.852531,0.018835,0.128634
0.879999,0.491074,0.852531,0.018835,0.128634
0.899999,0.491074,0.852531,0.018835,0.128634
0.919999,0.491074,0.852531,0.018835,0.128634
0.939999,0.491074,0.852531,0.018835,0.128634
0.959999,0.491074,0.852531,0.018835,0.128634
0.979999,0.491074,0.852531,0.018835,0.128634
0.999999,0.491074,0.852531,0.018835,0.128634
