value,total_removed,ground_removed,cone_removed,unassigned_removed
32.000000,0.324953,0.896843,0.011807,0.091350
34.240002,0.374487,0.910812,0.005639,0.083549
36.480003,0.363825,0.912448,0.006618,0.080934
38.720005,0.360676,0.913697,0.007355,0.078948
40.960007,0.355203,0.917416,0.007164,0.075420
43.200008,0.349216,0.918902,0.007534,0.073564
45.440010,0.361302,0.917146,0.007488,0.075367
47.680012,0.359765,0.911389,0.007512,0.081099
49.920013,0.339464,0.910840,0.007731,0.081430
52.160015,0.333981,0.908822,0.007556,0.083621
54.400017,0.335930,0.907190,0.007775,0.085034
56.640018,0.337577,0.908255,0.007968,0.083777
58.880020,0.325988,0.904113,0.008428,0.087459
61.120022,0.327924,0.902845,0.010408,0.086747
63.360023,0.332235,0.893142,0.011907,0.094951
65.600021,0.326588,0.898024,0.012876,0.089100
67.840019,0.325975,0.897783,0.013718,0.088499
70.080017,0.324684,0.902403,0.014802,0.082795
72.320015,0.320696,0.900829,0.014867,0.084304
74.560013,0.322436,0.898530,0.014808,0.086662
76.800011,0.332750,0.895846,0.014284,0.089870
79.040009,0.337622,0.889757,0.013815,0.096428
81.280006,0.337209,0.888184,0.013925,0.097892
83.520004,0.340037,0.886833,0.013612,0.099555
85.760002,0.342894,0.888425,0.012972,0.098604
88.000000,0.347011,0.887442,0.012837,0.099721
90.239998,0.350842,0.885782,0.012983,0.101235
92.479996,0.351895,0.886030,0.013080,0.100890
94.719994,0.350935,0.886653,0.012938,0.100409
96.959991,0.354611,0.886737,0.012887,0.100377
99.199989,0.361918,0.882454,0.012883,0.104663
101.439987,0.365851,0.877770,0.012964,0.109266
103.679985,0.367456,0.876777,0.012996,0.110227
105.919983,0.372185,0.876890,0.013268,0.109842
108.159981,0.416520,0.888022,0.012558,0.099419
110.399979,0.416072,0.888974,0.012170,0.098856
112.639977,0.414161,0.889816,0.012709,0.097475
114.879974,0.414845,0.891295,0.012623,0.096083
117.119972,0.418424,0.888452,0.012217,0.099331
119.359970,0.422140,0.888804,0.012439,0.098756
121.599968,0.425958,0.887701,0.013194,0.099104
123.839966,0.427382,0.887681,0.013044,0.099274
126.079964,0.434097,0.883984,0.013178,0.102838
128.319962,0.437745,0.885267,0.013132,0.101600
130.559967,0.439179,0.885341,0.013022,0.101638
132.799973,0.447877,0.877967,0.013708,0.108325
135.039978,0.453240,0.878164,0.014394,0.107442
137.279984,0.442656,0.877278,0.014623,0.108099
139.519989,0.445253,0.876514,0.013845,0.109641
141.759995,0.449705,0.877749,0.013443,0.108807
144.000000,0.440546,0.879812,0.013668,0.106520
146.240005,0.460161,0.880991,0.013567,0.105442
148.480011,0.457873,0.876872,0.013583,0.109544
150.720016,0.459499,0.875792,0.013773,0.110436
152.960022,0.451437,0.874990,0.013987,0.111023
155.200027,0.441226,0.874518,0.014333,0.111149
157.440033,0.442241,0.871716,0.014545,0.113739
159.680038,0.442792,0.868438,0.015038,0.116524
161.920044,0.448873,0.865211,0.014977,0.119811
164.160049,0.441380,0.865193,0.014704,0.120102
166.400055,0.430546,0.866953,0.013481,0.119567
168.640060,0.424818,0.868464,0.013195,0.118341
170.880066,0.440720,0.870849,0.014470,0.114681
173.120071,0.427338,0.870509,0.013504,0.115988
175.360077,0.417611,0.870676,0.013609,0.115715
177.600082,0.424414,0.867259,0.014988,0.117754
179.840088,0.444437,0.865565,0.014838,0.119597
182.080093,0.446773,0.863705,0.015171,0.121124
184.320099,0.456726,0.860729,0.015175,0.124096
186.560104,0.458082,0.862022,0.014620,0.123358
188.800110,0.455105,0.861027,0.015468,0.123504
191.040115,0.457808,0.856798,0.017269,0.125933
193.280121,0.470536,0.856480,0.017455,0.126065
195.520126,0.475195,0.855659,0.017263,0.127078
197.760132,0.475919,0.856667,0.016931,0.126402
200.000137,0.478349,0.856627,0.016870,0.126503
202.240143,0.479108,0.857508,0.016800,0.125692
204.480148,0.486896,0.858126,0.017351,0.124523
206.720154,0.486240,0.857671,0.017105,0.125224
208.960159,0.486059,0.857093,0.016811,0.126097
211.200165,0.483259,0.857047,0.016455,0.126498
213.440170,0.483741,0.856352,0.016609,0.127039
215.680176,0.487228,0.855658,0.016674,0.127668
217.920181,0.487154,0.855801,0.016800,0.127399
220.160187,0.486804,0.855612,0.017330,0.127058
222.400192,0.488077,0.856630,0.017368,0.126002
224.640198,0.489616,0.857394,0.016954,0.125652
226.880203,0.490973,0.856703,0.017046,0.126251
229.120209,0.489452,0.857022,0.017337,0.125641
231.360214,0.487807,0.857825,0.017804,0.124371
233.600220,0.489201,0.857029,0.017611,0.125359
235.840225,0.490884,0.856952,0.017378,0.125670
238.080231,0.490364,0.856792,0.017277,0.125931
240.320236,0.489516,0.856932,0.016909,0.126159
242.560242,0.490263,0.858832,0.017226,0.123943
244.800247,0.492715,0.856320,0.017363,0.126317
247.040253,0.496879,0.856573,0.017331,0.126096
249.280258,0.495960,0.859283,0.017165,0.123552
251.520264,0.494766,0.859767,0.017268,0.122964
253.760269,0.496054,0.859262,0.016893,0.123845
