value,total_removed,ground_removed,cone_removed,unassigned_removed
-10.000000,0.458562,0.871940,0.014197,0.113862
-9.800000,0.458562,0.871940,0.014197,0.113862
-9.600000,0.458562,0.871940,0.014197,0.113862
-9.400001,0.458562,0.871940,0.014197,0.113862
-9.200001,0.458562,0.871940,0.014197,0.113862
-9.000001,0.458562,0.871940,0.014197,0.113862
-8.800001,0.458562,0.871940,0.014197,0.113862
-8.600001,0.458562,0.871940,0.014197,0.113862
-8.400002,0.458562,0.871940,0.014197,0.113862
-8.200002,0.458562,0.871940,0.014197,0.113862
-8.000002,0.458562,0.871940,0.014197,0.113862
-7.800002,0.458562,0.871940,0.014197,0.113862
-7.600002,0.458562,0.871940,0.014197,0.113862
-7.400002,0.458562,0.871940,0.014197,0.113862
-7.200003,0.458562,0.871940,0.014197,0.113862
-7.000003,0.458562,0.871940,0.014197,0.113862
-6.800003,0.458562,0.871940,0.014197,0.113862
-6.600003,0.458562,0.871940,0.014197,0.113862
-6.400003,0.458562,0.871940,0.014197,0.113862
-6.200004,0.458562,0.871940,0.014197,0.113862
-6.000004,0.458562,0.871940,0.014197,0.113862
-5.800004,0.458562,0.871940,0.014197,0.113862
-5.600004,0.458562,0.871940,0.014197,0.113862
-5.400004,0.458562,0.871940,0.014197,0.113862
-5.200005,0.458562,0.871940,0.014197,0.113862
-5.000005,0.458562,0.871940,0.014197,0.113862
-4.800005,0.458562,0.871940,0.014197,0.113862
-4.600005,0.458562,0.871940,0.014197,0.113862
-4.400005,0.458562,0.871940,0.014197,0.113862
-4.200006,0.458562,0.871940,0.014197,0.113862
-4.000006,0.458562,0.871940,0.014197,0.113862
-3.800006,0.458562,0.871940,0.014197,0.113862
-3.600006,0.458562,0.871940,0.014197,0.113862
-3.400006,0.458562,0.871940,0.014197,0.113862
-3.200006,0.458562,0.871940,0.014197,0.113862
-3.000005,0.458562,0.871940,0.014197,0.113862
-2.800005,0.458562,0.871940,0.014197,0.113862
-2.600005,0.458562,0.871940,0.014197,0.113862
-2.400005,0.458562,0.871940,0.014197,0.113862
-2.200005,0.458562,0.871940,0.014197,0.113862
-2.000005,0.458562,0.871940,0.014197,0.113862
-1.800005,0.458562,0.871940,0.014197,0.113862
-1.600005,0.458562,0.871940,0.014197,0.113862
-1.400005,0.458562,0.871940,0.014197,0.113862
-1.200005,0.458562,0.871940,0.014197,0.113862
-1.000005,0.458562,0.871940,0.014197,0.113862
-0.800005,0.458562,0.871940,0.014197,0.113862
-0.600005,0.458562,0.871940,0.014197,0.113862
-0.400005,0.458562,0.871940,0.014197,0.113862
-0.200005,0.458562,0.871940,0.014197,0.113862
-0.000005,0.458562,0.871940,0.014197,0.113862
0.199995,0.459499,0.875792,0.013773,0.110436
0.399995,0.459499,0.875792,0.013773,0.110436
0.599995,0.459499,0.875792,0.013773,0.110436
0.799995,0.459487,0.875812,0.013773,0.110415
0.999995,0.459487,0.875812,0.013773,0.110415
1.199995,0.459487,0.875812,0.013773,0.110415
1.399995,0.459487,0.875812,0.013773,0.110415
1.599995,0.459487,0.875812,0.013773,0.110415
1.799995,0.459487,0.875812,0.013773,0.110415
1.999995,0.459487,0.875812,0.013773,0.110415
2.199995,0.459487,0.875812,0.013773,0.110415
2.399995,0.459487,0.875812,0.013773,0.110415
2.599995,0.459487,0.875812,0.013773,0.110415
2.799995,0.459487,0.875812,0.013773,0.110415
2.999995,0.459487,0.875812,0.013773,0.110415
3.199995,0.459487,0.875812,0.013773,0.110415
3.399995,0.459487,0.875812,0.013773,0.110415
3.599995,0.459487,0.875812,0.013773,0.110415
3.799995,0.459487,0.875812,0.013773,0.110415
3.999995,0.459487,0.875812,0.013773,0.110415
4.199996,0.459487,0.875812,0.013773,0.110415
4.399995,0.459487,0.875812,0.013773,0.110415
4.599995,0.459487,0.875812,0.013773,0.110415
4.799995,0.459487,0.875812,0.013773,0.110415
4.999995,0.459487,0.875812,0.013773,0.110415
5.199995,0.459487,0.875812,0.013773,0.110415
5.399994,0.459487,0.875812,0.013773,0.110415
5.599994,0.459487,0.875812,0.013773,0.110415
5.799994,0.459487,0.875812,0.013773,0.110415
5.999994,0.459487,0.875812,0.013773,0.110415
6.199994,0.459487,0.875812,0.013773,0.110415
6.399993,0.459487,0.875812,0.013773,0.110415
6.599993,0.459487,0.875812,0.013773,0.110415
6.799993,0.459487,0.875812,0.013773,0.110415
6.999993,0.459487,0.875812,0.013773,0.110415
7.199993,0.459487,0.875812,0.013773,0.110415
7.399992,0.459487,0.875812,0.013773,0.110415
7.599992,0.459487,0.875812,0.013773,0.110415
7.799992,0.459487,0.875812,0.013773,0.110415
7.999992,0.459487,0.875812,0.013773,0.110415
8.199992,0.459487,0.875812,0.013773,0.110415
8.399992,0.459487,0.875812,0.013773,0.110415
8.599992,0.459487,0.875812,0.013773,0.110415
8.799992,0.459487,0.875812,0.013773,0.110415
8.999991,0.459487,0.875812,0.013773,0.110415
9.199991,0.459487,0.875812,0.013773,0.110415
9.399991,0.459487,0.875812,0.013773,0.110415
9.599991,0.459487,0.875812,0.013773,0.110415
9.799991,0.459487,0.875812,0.013773,0.110415
9.999990,0.459487,0.875812,0.013773,0.110415
