value,total_removed,ground_removed,cone_removed,unassigned_removed
-1.000000,0.459356,0.875631,0.013777,0.110591
-0.980000,0.459356,0.875631,0.013777,0.110591
-0.960000,0.459356,0.875631,0.013777,0.110591
-0.940000,0.459356,0.875631,0.013777,0.110591
-0.920000,0.459356,0.875631,0.013777,0.110591
-0.900000,0.459356,0.875631,0.013777,0.110591
-0.880000,0.459356,0.875631,0.013777,0.110591
-0.860000,0.459356,0.875631,0.013777,0.110591
-0.840000,0.459356,0.875631,0.013777,0.110591
-0.820000,0.459356,0.875631,0.013777,0.110591
-0.800000,0.459356,0.875631,0.013777,0.110591
-0.780000,0.459356,0.875631,0.013777,0.110591
-0.760000,0.459356,0.875631,0.013777,0.110591
-0.740000,0.459356,0.875631,0.013777,0.110591
-0.720000,0.459356,0.875631,0.013777,0.110591
-0.700000,0.459356,0.875631,0.013777,0.110591
-0.680000,0.459356,0.875631,0.013777,0.110591
-0.660000,0.459356,0.875631,0.013777,0.110591
-0.640000,0.459356,0.875631,0.013777,0.110591
-0.620000,0.459356,0.875631,0.013777,0.110591
-0.600000,0.459356,0.875631,0.013777,0.110591
-0.580000,0.459356,0.875631,0.013777,0.110591
-0.560000,0.459356,0.875631,0.013777,0.110591
-0.540000,0.459356,0.875631,0.013777,0.110591
-0.520000,0.459356,0.875631,0.013777,0.110591
-0.500000,0.459356,0.875631,0.013777,0.110591
-0.480000,0.459356,0.875631,0.013777,0.110591
-0.460000,0.459356,0.875631,0.013777,0.110591
-0.440000,0.459356,0.875631,0.013777,0.110591
-0.420000,0.459356,0.875631,0.013777,0.110591
-0.400000,0.459356,0.875631,0.013777,0.110591
-0.380000,0.459356,0.875631,0.013777,0.110591
-0.360000,0.459356,0.875631,0.013777,0.110591
-0.340000,0.459356,0.875631,0.013777,0.110591
-0.320000,0.459356,0.875631,0.013777,0.110591
-0.300000,0.459356,0.875631,0.013777,0.110591
-0.280000,0.459356,0.875631,0.013777,0.110591
-0.260000,0.459356,0.875631,0.013777,0.110591
-0.240000,0.459356,0.875631,0.013777,0.110591
-0.220000,0.459356,0.875631,0.013777,0.110591
-0.200000,0.459356,0.875631,0.013777,0.110591
-0.180000,0.459356,0.875631,0.013777,0.110591
-0.160000,0.459356,0.875631,0.013777,0.110591
-0.140000,0.459356,0.875631,0.013777,0.110591
-0.120000,0.459356,0.875631,0.013777,0.110591
-0.100000,0.459356,0.875631,0.013777,0.110591
-0.080000,0.459391,0.875572,0.013775,0.110653
-0.060000,0.459391,0.875572,0.013775,0.110653
-0.040000,0.459391,0.875572,0.013775,0.110653
-0.020000,0.459400,0.875558,0.013775,0.110667
-0.000000,0.459484,0.875551,0.013773,0.110676
0.020000,0.459356,0.875793,0.013778,0.110429
0.040000,0.459433,0.875742,0.013776,0.110483
0.060000,0.459413,0.875775,0.013776,0.110449
0.080000,0.459401,0.875799,0.013776,0.110424
0.100000,0.459381,0.875925,0.013777,0.110298
0.120000,0.459389,0.875912,0.013776,0.110312
0.140000,0.459425,0.875851,0.013775,0.110374
0.160000,0.459461,0.875791,0.013774,0.110436
0.180000,0.459393,0.875917,0.013775,0.110309
0.200000,0.459358,0.875976,0.013777,0.110247
0.220000,0.459394,0.875915,0.013776,0.110309
0.240000,0.459422,0.875866,0.013774,0.110359
0.260000,0.459422,0.875866,0.013774,0.110359
0.280000,0.459422,0.875866,0.013774,0.110359
0.300000,0.459531,0.875739,0.013772,0.110489
0.320000,0.459531,0.875739,0.013772,0.110489
0.340000,0.459531,0.875739,0.013772,0.110489
0.360000,0.459519,0.875759,0.013772,0.110469
0.380000,0.459519,0.875759,0.013772,0.110469
0.400000,0.459519,0.875759,0.013772,0.110469
0.420000,0.459519,0.875759,0.013772,0.110469
0.440000,0.459499,0.875792,0.013773,0.110436
0.460000,0.459499,0.875792,0.013773,0.110436
0.480000,0.459499,0.875792,0.013773,0.110436
0.500000,0.459499,0.875792,0.013773,0.110436
0.520000,0.459499,0.875792,0.013773,0.110436
0.540000,0.459499,0.875792,0.013773,0.110436
0.560000,0.459499,0.875792,0.013773,0.110436
0.580000,0.459499,0.875792,0.013773,0.110436
0.600000,0.459499,0.875792,0.013773,0.110436
0.620000,0.459499,0.875792,0.013773,0.110436
0.640000,0.459499,0.875792,0.013773,0.110436
0.660000,0.459499,0.875792,0.013773,0.110436
0.680000,0.459499,0.875792,0.013773,0.110436
0.700000,0.459499,0.875792,0.013773,0.110436
0.719999,0.459499,0.875792,0.013773,0.110436
0.739999,0.459499,0.875792,0.013773,0.110436
0.759999,0.459499,0.875792,0.013773,0.110436
0.779999,0.459499,0.875792,0.013773,0.110436
0.799999,0.459499,0.875792,0.013773,0.110436
0.819999,0.459499,0.875792,0.013773,0.110436
0.839999,0.459499,0.875792,0.013773,0.110436
0.859999,0.459499,0.875792,0.013773,0.110436
0.879999,0.459499,0.875792,0.013773,0.110436
0.899999,0.459499,0.875792,0.013773,0.110436
0.919999,0.459499,0.875792,0.013773,0.110436
0.939999,0.459499,0.875792,0.013773,0.110436
0.959999,0.459499,0.875792,0.013773,0.110436
0.979999,0.459499,0.875792,0.013773,0.110436
0.999999,0.459499,0.875792,0.013773,0.110436
