value,total_removed,ground_removed,cone_removed,unassigned_removed
64.000000,0.438040,0.884611,0.015251,0.100138
68.480003,0.438677,0.885269,0.016185,0.098546
72.960007,0.433626,0.883793,0.015444,0.100763
77.440010,0.439029,0.882496,0.015027,0.102477
81.920013,0.435921,0.882810,0.016363,0.100827
86.400017,0.440573,0.882923,0.015311,0.101766
90.880020,0.436390,0.881629,0.015189,0.103182
95.360023,0.433477,0.881768,0.016313,0.101919
99.840027,0.439436,0.880657,0.016518,0.102826
104.320030,0.438513,0.878066,0.015873,0.106061
108.800034,0.436268,0.878884,0.016214,0.104902
113.280037,0.439315,0.879437,0.016484,0.104079
117.760040,0.434306,0.881350,0.016156,0.102494
122.240044,0.435876,0.876960,0.016561,0.106479
126.720047,0.441304,0.877342,0.016565,0.106093
131.200043,0.437349,0.876010,0.017150,0.106840
135.680038,0.440825,0.876848,0.016733,0.106419
140.160034,0.439766,0.878217,0.016657,0.105126
144.640030,0.437083,0.877123,0.017038,0.105839
149.120026,0.442209,0.875505,0.017400,0.107095
153.600021,0.434940,0.877596,0.016947,0.105457
158.080017,0.439281,0.874255,0.016811,0.108934
162.560013,0.439735,0.875145,0.017083,0.107772
167.040009,0.436467,0.877109,0.018005,0.104886
171.520004,0.437465,0.878395,0.016975,0.104630
176.000000,0.433185,0.879613,0.016939,0.103449
180.479996,0.434092,0.881095,0.016839,0.102066
184.959991,0.436622,0.882394,0.015584,0.102021
189.439987,0.437192,0.878365,0.015941,0.105694
193.919983,0.433250,0.884575,0.015411,0.100014
198.399979,0.428406,0.891043,0.015129,0.093829
202.879974,0.424572,0.892496,0.014074,0.093430
207.359970,0.421276,0.892086,0.014392,0.093523
211.839966,0.414351,0.894315,0.014301,0.091384
216.319962,0.411146,0.894393,0.014588,0.091018
220.799957,0.413387,0.888069,0.014538,0.097393
225.279953,0.412813,0.887873,0.014158,0.097968
229.759949,0.407771,0.891867,0.014207,0.093927
234.239944,0.403888,0.892871,0.013586,0.093543
238.719940,0.402436,0.894097,0.013352,0.092550
243.199936,0.401035,0.893136,0.013780,0.093084
247.679932,0.396279,0.899897,0.013764,0.086339
252.159927,0.391641,0.901200,0.013527,0.085272
256.639923,0.392199,0.900412,0.013782,0.085806
261.119934,0.388865,0.902439,0.013532,0.084029
265.599945,0.385727,0.902646,0.013057,0.084297
270.079956,0.386494,0.902091,0.013225,0.084684
274.559967,0.384244,0.902641,0.012984,0.084374
279.039978,0.384585,0.902836,0.012897,0.084267
283.519989,0.383018,0.903282,0.012786,0.083932
288.000000,0.366816,0.899138,0.012573,0.088289
292.480011,0.363955,0.897847,0.013029,0.089124
296.960022,0.365279,0.896358,0.012764,0.090878
301.440033,0.363120,0.898537,0.012488,0.088976
305.920044,0.362064,0.898513,0.013066,0.088421
310.400055,0.358127,0.901292,0.012644,0.086065
314.880066,0.357191,0.900642,0.012197,0.087161
319.360077,0.358029,0.899556,0.012391,0.088053
323.840088,0.360635,0.898772,0.012541,0.088687
328.320099,0.359061,0.899539,0.012859,0.087601
332.800110,0.357988,0.900771,0.012526,0.086703
337.280121,0.357187,0.901916,0.012512,0.085573
341.760132,0.357819,0.901885,0.012463,0.085652
346.240143,0.358810,0.901298,0.012665,0.086037
350.720154,0.359284,0.901338,0.012353,0.086308
355.200165,0.361911,0.901131,0.012429,0.086440
359.680176,0.359784,0.901132,0.012723,0.086145
364.160187,0.361193,0.901317,0.012471,0.086211
368.640198,0.361810,0.901430,0.012010,0.086560
373.120209,0.360999,0.901780,0.012495,0.085724
377.600220,0.361399,0.901981,0.012471,0.085548
382.080231,0.361618,0.903064,0.012143,0.084792
386.560242,0.361951,0.903157,0.012247,0.084595
391.040253,0.363150,0.902878,0.012546,0.084576
395.520264,0.363570,0.903963,0.012315,0.083722
400.000275,0.363893,0.904267,0.012293,0.083440
404.480286,0.363187,0.904495,0.012336,0.083169
408.960297,0.363889,0.904670,0.012319,0.083011
413.440308,0.363831,0.904974,0.012173,0.082853
417.920319,0.364843,0.904787,0.012323,0.082890
422.400330,0.365316,0.904923,0.012129,0.082948
426.880341,0.366167,0.905311,0.012001,0.082688
431.360352,0.367553,0.905103,0.011901,0.082996
435.840363,0.368511,0.905553,0.011687,0.082760
440.320374,0.369479,0.905049,0.012208,0.082743
444.800385,0.370263,0.904985,0.011762,0.083253
449.280396,0.371059,0.905373,0.011711,0.082915
453.760406,0.371748,0.904754,0.011892,0.083354
458.240417,0.372480,0.905133,0.011743,0.083124
462.720428,0.371794,0.906241,0.011557,0.082202
467.200439,0.373052,0.905751,0.011752,0.082498
471.680450,0.374175,0.905889,0.011579,0.082532
476.160461,0.372953,0.906107,0.011883,0.082010
480.640472,0.373622,0.906158,0.011754,0.082088
485.120483,0.373402,0.906443,0.011349,0.082208
489.600494,0.374180,0.906351,0.011530,0.082120
494.080505,0.374887,0.906556,0.011775,0.081669
498.560516,0.375125,0.906581,0.011563,0.081856
503.040527,0.374678,0.906843,0.011660,0.081498
507.520538,0.375635,0.906509,0.011559,0.081931
