value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.408333,0.918829,0.013587,0.067584
0.005990,0.408406,0.918897,0.013585,0.067518
0.010980,0.408696,0.918826,0.013576,0.067598
0.015970,0.408716,0.918757,0.013576,0.067668
0.020960,0.408804,0.918553,0.013571,0.067876
0.025950,0.408872,0.918393,0.013569,0.068038
0.030940,0.408965,0.918161,0.013566,0.068272
0.035930,0.409025,0.918023,0.013564,0.068414
0.040920,0.409049,0.917962,0.013563,0.068475
0.045910,0.409765,0.917309,0.013599,0.069091
0.050900,0.409926,0.917303,0.013595,0.069101
0.055890,0.410107,0.916856,0.013590,0.069554
0.060880,0.410139,0.916726,0.013588,0.069686
0.065870,0.410195,0.916602,0.013609,0.069789
0.070860,0.410900,0.915669,0.013677,0.070654
0.075850,0.411120,0.915276,0.013836,0.070889
0.080840,0.411244,0.915100,0.013830,0.071070
0.085830,0.411521,0.914662,0.013896,0.071442
0.090820,0.411796,0.914096,0.013967,0.071937
0.095810,0.412040,0.913641,0.014037,0.072321
0.100800,0.412272,0.913158,0.014048,0.072793
0.105790,0.413848,0.910219,0.014024,0.075757
0.110780,0.414287,0.909356,0.014133,0.076511
0.115770,0.414539,0.908865,0.014122,0.077012
0.120760,0.414740,0.908491,0.014179,0.077331
0.125750,0.414884,0.908284,0.014182,0.077535
0.130740,0.414952,0.908159,0.014179,0.077662
0.135730,0.415171,0.907725,0.014219,0.078056
0.140720,0.415336,0.907402,0.014293,0.078304
0.145710,0.415673,0.906774,0.014281,0.078946
0.150700,0.415882,0.906335,0.014274,0.079391
0.155690,0.416046,0.905995,0.014268,0.079737
0.160680,0.416251,0.905579,0.014260,0.080161
0.165670,0.416455,0.905189,0.014251,0.080560
0.170660,0.416783,0.904569,0.014235,0.081196
0.175650,0.417135,0.903913,0.014223,0.081864
0.180640,0.417479,0.903290,0.014341,0.082369
0.185630,0.418494,0.901429,0.014314,0.084256
0.190620,0.419094,0.900338,0.014294,0.085368
0.195610,0.419362,0.899780,0.014285,0.085936
0.200600,0.419743,0.899057,0.014273,0.086670
0.205590,0.420009,0.898549,0.014265,0.087186
0.210580,0.420270,0.898039,0.014264,0.087697
0.215570,0.420552,0.897476,0.014255,0.088268
0.220560,0.420875,0.896841,0.014247,0.088913
0.225550,0.421048,0.896564,0.014240,0.089196
0.230540,0.421175,0.896392,0.014283,0.089325
0.235530,0.421401,0.895927,0.014277,0.089796
0.240520,0.422771,0.893570,0.014233,0.092196
0.245510,0.423084,0.892964,0.014282,0.092753
0.250500,0.424621,0.890975,0.014245,0.094780
0.255490,0.424814,0.890650,0.014239,0.095111
0.260480,0.425093,0.890123,0.014233,0.095644
0.265470,0.425245,0.889840,0.014229,0.095931
0.270460,0.425724,0.888816,0.014216,0.096968
0.275450,0.426018,0.888160,0.014291,0.097549
0.280440,0.426235,0.887684,0.014284,0.098032
0.285430,0.426303,0.887485,0.014283,0.098232
0.290420,0.426351,0.887327,0.014281,0.098391
0.295410,0.426588,0.886889,0.014276,0.098835
0.300400,0.426668,0.886744,0.014274,0.098982
0.305390,0.428874,0.882347,0.014199,0.103454
0.310380,0.429616,0.880985,0.014182,0.104833
0.315370,0.429809,0.880604,0.014177,0.105219
0.320360,0.429950,0.880253,0.014173,0.105573
0.325350,0.430178,0.879834,0.014164,0.106003
0.330340,0.430334,0.879656,0.014159,0.106185
0.335330,0.430598,0.879188,0.014293,0.106519
0.340320,0.430687,0.879036,0.014291,0.106672
0.345310,0.433494,0.873066,0.014207,0.112727
0.350300,0.433651,0.872728,0.014201,0.113071
0.355290,0.433775,0.872558,0.014198,0.113243
0.360280,0.433875,0.872389,0.014194,0.113417
0.365270,0.434011,0.872116,0.014189,0.113695
0.370260,0.434215,0.871719,0.014180,0.114101
0.375250,0.434296,0.871528,0.014178,0.114295
0.380240,0.434392,0.871342,0.014175,0.114483
0.385230,0.434569,0.871002,0.014170,0.114828
0.390220,0.434737,0.870640,0.014165,0.115196
0.395210,0.434394,0.871480,0.014172,0.114347
0.400200,0.434502,0.871257,0.014170,0.114574
0.405190,0.434707,0.870872,0.014163,0.114966
0.410180,0.434755,0.870795,0.014162,0.115043
0.415170,0.434931,0.870461,0.014157,0.115383
0.420160,0.435028,0.870247,0.014153,0.115601
0.425150,0.435224,0.869879,0.014146,0.115974
0.430140,0.435385,0.869590,0.014142,0.116268
0.435130,0.435581,0.869241,0.014134,0.116625
0.440120,0.435705,0.869004,0.014129,0.116867
0.445110,0.434004,0.873000,0.014188,0.112812
0.450100,0.434044,0.872906,0.014187,0.112907
0.455090,0.434112,0.872745,0.014185,0.113070
0.460080,0.434160,0.872632,0.014184,0.113184
0.465070,0.434212,0.872494,0.014183,0.113324
0.470060,0.434248,0.872432,0.014182,0.113386
0.475050,0.434489,0.871952,0.014175,0.113873
0.480040,0.434888,0.871299,0.014163,0.114538
0.485030,0.434936,0.871198,0.014162,0.114639
0.490020,0.435012,0.871013,0.014160,0.114827
0.495010,0.435132,0.870788,0.014155,0.115057
