value,total_removed,ground_removed,cone_removed,unassigned_removed
0.000100,0.458861,0.872356,0.014153,0.113491
0.001099,0.457477,0.874536,0.014211,0.111252
0.002098,0.458987,0.875544,0.014091,0.110365
0.003097,0.459122,0.874239,0.014193,0.111568
0.004096,0.465289,0.876178,0.013660,0.110161
0.005095,0.459015,0.875425,0.013779,0.110795
0.006094,0.455981,0.875137,0.013747,0.111116
0.007093,0.452496,0.875454,0.013803,0.110743
0.008092,0.450916,0.875586,0.013797,0.110617
0.009091,0.442572,0.877618,0.014076,0.108306
0.010090,0.438904,0.879264,0.014593,0.106143
0.011089,0.437856,0.882684,0.014829,0.102487
0.012088,0.435394,0.885238,0.014717,0.100045
0.013087,0.435045,0.886934,0.014630,0.098436
0.014086,0.431976,0.887378,0.014361,0.098261
0.015085,0.431031,0.888532,0.014403,0.097065
0.016084,0.429795,0.888882,0.014248,0.096870
0.017083,0.427745,0.889677,0.014313,0.096010
0.018082,0.426843,0.889851,0.014415,0.095735
0.019081,0.425732,0.890779,0.014361,0.094860
0.020080,0.424553,0.891092,0.014246,0.094662
0.021079,0.424022,0.891365,0.014322,0.094312
0.022078,0.425400,0.890469,0.014296,0.095235
0.023077,0.421995,0.891294,0.014511,0.094195
0.024076,0.421349,0.890797,0.014589,0.094614
0.025075,0.420317,0.890492,0.014624,0.094884
0.026074,0.419437,0.889657,0.014438,0.095905
0.027073,0.419707,0.888453,0.014332,0.097216
0.028072,0.419999,0.887663,0.014324,0.098013
0.029071,0.418815,0.888082,0.014305,0.097613
0.030070,0.418688,0.888061,0.014310,0.097629
0.031069,0.417924,0.887695,0.014258,0.098047
0.032068,0.415239,0.888121,0.014346,0.097532
0.033067,0.414813,0.888186,0.014372,0.097442
0.034066,0.413958,0.888845,0.014399,0.096756
0.035065,0.412915,0.888910,0.014436,0.096655
0.036064,0.412651,0.888688,0.014446,0.096866
0.037063,0.412582,0.888597,0.014383,0.097020
0.038062,0.412417,0.888320,0.014388,0.097291
0.039061,0.411965,0.888106,0.014311,0.097582
0.040060,0.411629,0.888182,0.014342,0.097476
0.041059,0.410748,0.888402,0.014317,0.097281
0.042058,0.410049,0.888674,0.014162,0.097164
0.043057,0.409161,0.888565,0.014109,0.097326
0.044056,0.408087,0.888759,0.014145,0.097096
0.045055,0.407523,0.888785,0.014173,0.097043
0.046054,0.406752,0.888602,0.014204,0.097194
0.047053,0.406515,0.888330,0.014210,0.097460
0.048052,0.406451,0.888189,0.014212,0.097599
0.049051,0.405768,0.888521,0.014196,0.097283
0.050050,0.405230,0.888822,0.014211,0.096967
0.051049,0.405126,0.888667,0.014216,0.097117
0.052048,0.404235,0.889119,0.014107,0.096774
0.053047,0.403615,0.889420,0.014127,0.096453
0.054046,0.403222,0.889689,0.014145,0.096166
0.055045,0.402758,0.889639,0.014147,0.096214
0.056044,0.402450,0.888971,0.014156,0.096873
0.057043,0.401903,0.888958,0.014186,0.096855
0.058042,0.400619,0.888739,0.014202,0.097059
0.059041,0.399695,0.888699,0.014223,0.097078
0.060040,0.398270,0.889200,0.014284,0.096516
0.061039,0.397388,0.889009,0.014311,0.096681
0.062038,0.396062,0.889085,0.014275,0.096640
0.063037,0.395249,0.889174,0.014296,0.096530
0.064036,0.394514,0.888727,0.014320,0.096952
0.065035,0.393091,0.889080,0.014373,0.096546
0.066034,0.394002,0.885499,0.014338,0.100163
0.067033,0.392418,0.885575,0.014389,0.100036
0.068032,0.392774,0.884281,0.014234,0.101485
0.069031,0.392170,0.884472,0.014206,0.101322
0.070030,0.388482,0.883535,0.014243,0.102222
0.071029,0.391235,0.885494,0.014000,0.100505
0.072028,0.390872,0.885068,0.014014,0.100918
0.073027,0.390757,0.885087,0.013789,0.101124
0.074026,0.390656,0.885106,0.013791,0.101103
0.075025,0.390612,0.885140,0.013791,0.101069
0.076024,0.389896,0.885268,0.013819,0.100913
0.077023,0.389932,0.885278,0.013726,0.100996
0.078022,0.388998,0.885493,0.013763,0.100743
0.079021,0.388162,0.885230,0.013799,0.100970
0.080020,0.387789,0.885129,0.013811,0.101060
0.081019,0.387391,0.885495,0.013821,0.100684
0.082018,0.387158,0.885653,0.013828,0.100519
0.083017,0.387110,0.885723,0.013828,0.100450
0.084016,0.386819,0.886149,0.013949,0.099902
0.085015,0.377890,0.883129,0.014402,0.102469
0.086014,0.374389,0.882063,0.014497,0.103440
0.087013,0.374349,0.882155,0.014478,0.103367
0.088012,0.365320,0.878367,0.014753,0.106880
0.089011,0.361745,0.877131,0.014884,0.107985
0.090010,0.353052,0.872884,0.015312,0.111803
0.091009,0.352732,0.872811,0.015439,0.111750
0.092008,0.352655,0.872863,0.015443,0.111694
0.093007,0.352024,0.868224,0.015471,0.116305
0.094006,0.351138,0.868509,0.015480,0.116010
0.095005,0.350744,0.868545,0.015493,0.115962
0.096004,0.350202,0.868430,0.015410,0.116160
0.097003,0.349606,0.868360,0.015247,0.116393
0.098002,0.349646,0.868229,0.015341,0.116430
0.099001,0.338383,0.866275,0.015280,0.118445
