value,total_removed,ground_removed,cone_removed,unassigned_removed
-20.000000,0.463946,0.862779,0.015277,0.121945
-19.959999,0.463946,0.862779,0.015277,0.121945
-19.919998,0.463946,0.862779,0.015277,0.121945
-19.879997,0.463946,0.862779,0.015277,0.121945
-19.839996,0.463946,0.862779,0.015277,0.121945
-19.799995,0.463946,0.862779,0.015277,0.121945
-19.759995,0.463946,0.862779,0.015277,0.121945
-19.719994,0.463946,0.862779,0.015277,0.121945
-19.679993,0.463946,0.862779,0.015277,0.121945
-19.639992,0.463946,0.862779,0.015277,0.121945
-19.599991,0.463946,0.862779,0.015277,0.121945
-19.559990,0.463946,0.862779,0.015277,0.121945
-19.519989,0.463946,0.862779,0.015277,0.121945
-19.479988,0.463946,0.862779,0.015277,0.121945
-19.439987,0.463946,0.862779,0.015277,0.121945
-19.399986,0.463946,0.862779,0.015277,0.121945
-19.359985,0.463946,0.862779,0.015277,0.121945
-19.319984,0.463946,0.862779,0.015277,0.121945
-19.279984,0.463946,0.862779,0.015277,0.121945
-19.239983,0.463946,0.862779,0.015277,0.121945
-19.199982,0.463946,0.862779,0.015277,0.121945
-19.159981,0.463946,0.862779,0.015277,0.121945
-19.119980,0.463946,0.862779,0.015277,0.121945
-19.079979,0.463946,0.862779,0.015277,0.121945
-19.039978,0.463946,0.862779,0.015277,0.121945
-18.999977,0.463946,0.862779,0.015277,0.121945
-18.959976,0.463946,0.862779,0.015277,0.121945
-18.919975,0.463946,0.862779,0.015277,0.121945
-18.879974,0.463946,0.862779,0.015277,0.121945
-18.839973,0.463946,0.862779,0.015277,0.121945
-18.799973,0.463946,0.862779,0.015277,0.121945
-18.759972,0.463946,0.862779,0.015277,0.121945
-18.719971,0.463946,0.862779,0.015277,0.121945
-18.679970,0.463946,0.862779,0.015277,0.121945
-18.639969,0.463946,0.862779,0.015277,0.121945
-18.599968,0.463946,0.862779,0.015277,0.121945
-18.559967,0.463946,0.862779,0.015277,0.121945
-18.519966,0.463946,0.862779,0.015277,0.121945
-18.479965,0.463946,0.862779,0.015277,0.121945
-18.439964,0.463946,0.862779,0.015277,0.121945
-18.399963,0.463946,0.862779,0.015277,0.121945
-18.359962,0.463946,0.862779,0.015277,0.121945
-18.319962,0.463946,0.862779,0.015277,0.121945
-18.279961,0.463946,0.862779,0.015277,0.121945
-18.239960,0.463946,0.862779,0.015277,0.121945
-18.199959,0.463946,0.862779,0.015277,0.121945
-18.159958,0.463946,0.862779,0.015277,0.121945
-18.119957,0.463946,0.862779,0.015277,0.121945
-18.079956,0.463946,0.862779,0.015277,0.121945
-18.039955,0.463946,0.862779,0.015277,0.121945
-17.999954,0.463946,0.862779,0.015277,0.121945
-17.959953,0.463946,0.862779,0.015277,0.121945
-17.919952,0.463946,0.862779,0.015277,0.121945
-17.879951,0.463946,0.862779,0.015277,0.121945
-17.839951,0.463946,0.862779,0.015277,0.121945
-17.799950,0.463946,0.862779,0.015277,0.121945
-17.759949,0.463946,0.862779,0.015277,0.121945
-17.719948,0.463946,0.862779,0.015277,0.121945
-17.679947,0.463946,0.862779,0.015277,0.121945
-17.639946,0.463946,0.862779,0.015277,0.121945
-17.599945,0.463946,0.862779,0.015277,0.121945
-17.559944,0.463946,0.862779,0.015277,0.121945
-17.519943,0.463946,0.862779,0.015277,0.121945
-17.479942,0.463946,0.862779,0.015277,0.121945
-17.439941,0.463946,0.862779,0.015277,0.121945
-17.399940,0.463946,0.862779,0.015277,0.121945
-17.359940,0.463946,0.862779,0.015277,0.121945
-17.319939,0.463946,0.862779,0.015277,0.121945
-17.279938,0.463946,0.862779,0.015277,0.121945
-17.239937,0.463946,0.862779,0.015277,0.121945
-17.199936,0.463946,0.862779,0.015277,0.121945
-17.159935,0.463946,0.862779,0.015277,0.121945
-17.119934,0.463946,0.862779,0.015277,0.121945
-17.079933,0.463946,0.862779,0.015277,0.121945
-17.039932,0.463946,0.862779,0.015277,0.121945
-16.999931,0.463946,0.862779,0.015277,0.121945
-16.959930,0.463946,0.862779,0.015277,0.121945
-16.919930,0.463946,0.862779,0.015277,0.121945
-16.879929,0.463946,0.862779,0.015277,0.121945
-16.839928,0.463946,0.862779,0.015277,0.121945
-16.799927,0.463946,0.862779,0.015277,0.121945
-16.759926,0.463946,0.862779,0.015277,0.121945
-16.719925,0.463946,0.862779,0.015277,0.121945
-16.679924,0.463946,0.862779,0.015277,0.121945
-16.639923,0.463946,0.862779,0.015277,0.121945
-16.599922,0.463946,0.862779,0.015277,0.121945
-16.559921,0.463946,0.862779,0.015277,0.121945
-16.519920,0.463946,0.862779,0.015277,0.121945
-16.479919,0.463946,0.862779,0.015277,0.121945
-16.439919,0.463946,0.862779,0.015277,0.121945
-16.399918,0.463946,0.862779,0.015277,0.121945
-16.359917,0.463946,0.862779,0.015277,0.121945
-16.319916,0.463946,0.862779,0.015277,0.121945
-16.279915,0.463946,0.862779,0.015277,0.121945
-16.239914,0.463946,0.862779,0.015277,0.121945
-16.199913,0.463946,0.862779,0.015277,0.121945
-16.159912,0.463946,0.862779,0.015277,0.121945
-16.119911,0.463946,0.862779,0.015277,0.121945
-16.079910,0.463946,0.862779,0.015277,0.121945
-16.039909,0.463946,0.862779,0.015277,0.121945
-15.999909,0.463946,0.862779,0.015277,0.121945
-15.959909,0.463946,0.862779,0.015277,0.121945
-15.919909,0.463946,0.862779,0.015277,0.121945
-15.879910,0.463946,0.862779,0.015277,0.121945
-15.839910,0.463946,0.862779,0.015277,0.121945
-15.799910,0.463946,0.862779,0.015277,0.121945
-15.759910,0.463946,0.862779,0.015277,0.121945
-15.719910,0.463946,0.862779,0.015277,0.121945
-15.679910,0.463946,0.862779,0.015277,0.121945
-15.639910,0.463946,0.862779,0.015277,0.121945
-15.599910,0.463946,0.862779,0.015277,0.121945
-15.559910,0.463946,0.862779,0.015277,0.121945
-15.519910,0.463946,0.862779,0.015277,0.121945
-15.479910,0.463946,0.862779,0.015277,0.121945
-15.439910,0.463946,0.862779,0.015277,0.121945
-15.399910,0.463946,0.862779,0.015277,0.121945
-15.359910,0.463946,0.862779,0.015277,0.121945
-15.319910,0.463946,0.862779,0.015277,0.121945
-15.279910,0.463946,0.862779,0.015277,0.121945
-15.239910,0.463946,0.862779,0.015277,0.121945
-15.199910,0.463946,0.862779,0.015277,0.121945
-15.159910,0.463946,0.862779,0.015277,0.121945
-15.119910,0.463946,0.862779,0.015277,0.121945
-15.079910,0.463946,0.862779,0.015277,0.121945
-15.039910,0.463946,0.862779,0.015277,0.121945
-14.999910,0.463946,0.862779,0.015277,0.121945
-14.959910,0.463946,0.862779,0.015277,0.121945
-14.919910,0.463946,0.862779,0.015277,0.121945
-14.879910,0.463946,0.862779,0.015277,0.121945
-14.839911,0.463946,0.862779,0.015277,0.121945
-14.799911,0.463946,0.862779,0.015277,0.121945
-14.759911,0.463946,0.862779,0.015277,0.121945
-14.719911,0.463946,0.862779,0.015277,0.121945
-14.679911,0.463946,0.862779,0.015277,0.121945
-14.639911,0.463946,0.862779,0.015277,0.121945
-14.599911,0.463946,0.862779,0.015277,0.121945
-14.559911,0.463946,0.862779,0.015277,0.121945
-14.519911,0.463946,0.862779,0.015277,0.121945
-14.479911,0.463946,0.862779,0.015277,0.121945
-14.439911,0.463946,0.862779,0.015277,0.121945
-14.399911,0.463946,0.862779,0.015277,0.121945
-14.359911,0.463946,0.862779,0.015277,0.121945
-14.319911,0.463946,0.862779,0.015277,0.121945
-14.279911,0.463946,0.862779,0.015277,0.121945
-14.239911,0.463946,0.862779,0.015277,0.121945
-14.199911,0.463946,0.862779,0.015277,0.121945
-14.159911,0.463946,0.862779,0.015277,0.121945
-14.119911,0.463946,0.862779,0.015277,0.121945
-14.079911,0.463946,0.862779,0.015277,0.121945
-14.039911,0.463946,0.862779,0.015277,0.121945
-13.999911,0.463946,0.862779,0.015277,0.121945
-13.959911,0.463946,0.862779,0.015277,0.121945
-13.919911,0.463946,0.862779,0.015277,0.121945
-13.879911,0.463946,0.862779,0.015277,0.121945
-13.839911,0.463946,0.862779,0.015277,0.121945
-13.799911,0.463946,0.862779,0.015277,0.121945
-13.759912,0.463946,0.862779,0.015277,0.121945
-13.719912,0.463946,0.862779,0.015277,0.121945
-13.679912,0.463946,0.862779,0.015277,0.121945
-13.639912,0.463946,0.862779,0.015277,0.121945
-13.599912,0.463946,0.862779,0.015277,0.121945
-13.559912,0.463946,0.862779,0.015277,0.121945
-13.519912,0.463946,0.862779,0.015277,0.121945
-13.479912,0.463946,0.862779,0.015277,0.121945
-13.439912,0.463946,0.862779,0.015277,0.121945
-13.399912,0.463946,0.862779,0.015277,0.121945
-13.359912,0.463946,0.862779,0.015277,0.121945
-13.319912,0.463946,0.862779,0.015277,0.121945
-13.279912,0.463946,0.862779,0.015277,0.121945
-13.239912,0.463946,0.862779,0.015277,0.121945
-13.199912,0.463946,0.862779,0.015277,0.121945
-13.159912,0.463946,0.862779,0.015277,0.121945
-13.119912,0.463946,0.862779,0.015277,0.121945
-13.079912,0.463946,0.862779,0.015277,0.121945
-13.039912,0.463946,0.862779,0.015277,0.121945
-12.999912,0.463946,0.862779,0.015277,0.121945
-12.959912,0.463946,0.862779,0.015277,0.121945
-12.919912,0.463946,0.862779,0.015277,0.121945
-12.879912,0.463946,0.862779,0.015277,0.121945
-12.839912,0.463946,0.862779,0.015277,0.121945
-12.799912,0.463946,0.862779,0.015277,0.121945
-12.759912,0.463946,0.862779,0.015277,0.121945
-12.719913,0.463946,0.862779,0.015277,0.121945
-12.679913,0.463946,0.862779,0.015277,0.121945
-12.639913,0.463946,0.862779,0.015277,0.121945
-12.599913,0.463946,0.862779,0.015277,0.121945
-12.559913,0.463946,0.862779,0.015277,0.121945
-12.519913,0.463946,0.862779,0.015277,0.121945
-12.479913,0.463946,0.862779,0.015277,0.121945
-12.439913,0.463946,0.862779,0.015277,0.121945
-12.399913,0.463946,0.862779,0.015277,0.121945
-12.359913,0.463946,0.862779,0.015277,0.121945
-12.319913,0.463946,0.862779,0.015277,0.121945
-12.279913,0.463946,0.862779,0.015277,0.121945
-12.239913,0.463946,0.862779,0.015277,0.121945
-12.199913,0.463946,0.862779,0.015277,0.121945
-12.159913,0.463946,0.862779,0.015277,0.121945
-12.119913,0.463946,0.862779,0.015277,0.121945
-12.079913,0.463946,0.862779,0.015277,0.121945
-12.039913,0.463946,0.862779,0.015277,0.121945
-11.999913,0.463946,0.862779,0.015277,0.121945
-11.959913,0.463946,0.862779,0.015277,0.121945
-11.919913,0.463946,0.862779,0.015277,0.121945
-11.879913,0.463946,0.862779,0.015277,0.121945
-11.839913,0.463946,0.862779,0.015277,0.121945
-11.799913,0.463946,0.862779,0.015277,0.121945
-11.759913,0.463946,0.862779,0.015277,0.121945
-11.719913,0.463946,0.862779,0.015277,0.121945
-11.679914,0.463946,0.862779,0.015277,0.121945
-11.639914,0.463946,0.862779,0.015277,0.121945
-11.599914,0.463946,0.862779,0.015277,0.121945
-11.559914,0.463946,0.862779,0.015277,0.121945
-11.519914,0.463946,0.862779,0.015277,0.121945
-11.479914,0.463946,0.862779,0.015277,0.121945
-11.439914,0.463946,0.862779,0.015277,0.121945
-11.399914,0.463946,0.862779,0.015277,0.121945
-11.359914,0.463946,0.862779,0.015277,0.121945
-11.319914,0.463946,0.862779,0.015277,0.121945
-11.279914,0.463946,0.862779,0.015277,0.121945
-11.239914,0.463946,0.862779,0.015277,0.121945
-11.199914,0.463946,0.862779,0.015277,0.121945
-11.159914,0.463946,0.862779,0.015277,0.121945
-11.119914,0.463946,0.862779,0.015277,0.121945
-11.079914,0.463946,0.862779,0.015277,0.121945
-11.039914,0.463946,0.862779,0.015277,0.121945
-10.999914,0.463946,0.862779,0.015277,0.121945
-10.959914,0.463946,0.862779,0.015277,0.121945
-10.919914,0.463946,0.862779,0.015277,0.121945
-10.879914,0.463946,0.862779,0.015277,0.121945
-10.839914,0.463946,0.862779,0.015277,0.121945
-10.799914,0.463946,0.862779,0.015277,0.121945
-10.759914,0.463946,0.862779,0.015277,0.121945
-10.719914,0.463946,0.862779,0.015277,0.121945
-10.679914,0.463946,0.862779,0.015277,0.121945
-10.639915,0.463946,0.862779,0.015277,0.121945
-10.599915,0.463946,0.862779,0.015277,0.121945
-10.559915,0.463946,0.862779,0.015277,0.121945
-10.519915,0.463946,0.862779,0.015277,0.121945
-10.479915,0.463946,0.862779,0.015277,0.121945
-10.439915,0.463946,0.862779,0.015277,0.121945
-10.399915,0.463946,0.862779,0.015277,0.121945
-10.359915,0.463946,0.862779,0.015277,0.121945
-10.319915,0.463946,0.862779,0.015277,0.121945
-10.279915,0.463946,0.862779,0.015277,0.121945
-10.239915,0.463946,0.862779,0.015277,0.121945
-10.199915,0.463946,0.862779,0.015277,0.121945
-10.159915,0.463946,0.862779,0.015277,0.121945
-10.119915,0.463946,0.862779,0.015277,0.121945
-10.079915,0.463946,0.862779,0.015277,0.121945
-10.039915,0.463946,0.862779,0.015277,0.121945
-9.999915,0.463946,0.862779,0.015277,0.121945
-9.959915,0.463946,0.862779,0.015277,0.121945
-9.919915,0.463946,0.862779,0.015277,0.121945
-9.879915,0.463946,0.862779,0.015277,0.121945
-9.839915,0.463946,0.862779,0.015277,0.121945
-9.799915,0.463946,0.862779,0.015277,0.121945
-9.759915,0.463946,0.862779,0.015277,0.121945
-9.719915,0.463946,0.862779,0.015277,0.121945
-9.679915,0.463946,0.862779,0.015277,0.121945
-9.639915,0.463946,0.862779,0.015277,0.121945
-9.599916,0.463946,0.862779,0.015277,0.121945
-9.559916,0.463946,0.862779,0.015277,0.121945
-9.519916,0.463946,0.862779,0.015277,0.121945
-9.479916,0.463946,0.862779,0.015277,0.121945
-9.439916,0.463946,0.862779,0.015277,0.121945
-9.399916,0.463946,0.862779,0.015277,0.121945
-9.359916,0.463946,0.862779,0.015277,0.121945
-9.319916,0.463946,0.862779,0.015277,0.121945
-9.279916,0.463946,0.862779,0.015277,0.121945
-9.239916,0.463946,0.862779,0.015277,0.121945
-9.199916,0.463946,0.862779,0.015277,0.121945
-9.159916,0.463946,0.862779,0.015277,0.121945
-9.119916,0.463946,0.862779,0.015277,0.121945
-9.079916,0.463946,0.862779,0.015277,0.121945
-9.039916,0.463946,0.862779,0.015277,0.121945
-8.999916,0.463946,0.862779,0.015277,0.121945
-8.959916,0.463946,0.862779,0.015277,0.121945
-8.919916,0.463946,0.862779,0.015277,0.121945
-8.879916,0.463946,0.862779,0.015277,0.121945
-8.839916,0.463946,0.862779,0.015277,0.121945
-8.799916,0.463946,0.862779,0.015277,0.121945
-8.759916,0.463946,0.862779,0.015277,0.121945
-8.719916,0.463946,0.862779,0.015277,0.121945
-8.679916,0.463946,0.862779,0.015277,0.121945
-8.639916,0.463946,0.862779,0.015277,0.121945
-8.599916,0.463946,0.862779,0.015277,0.121945
-8.559916,0.463946,0.862779,0.015277,0.121945
-8.519917,0.463946,0.862779,0.015277,0.121945
-8.479917,0.463946,0.862779,0.015277,0.121945
-8.439917,0.463946,0.862779,0.015277,0.121945
-8.399917,0.463946,0.862779,0.015277,0.121945
-8.359917,0.463946,0.862779,0.015277,0.121945
-8.319917,0.463946,0.862779,0.015277,0.121945
-8.279917,0.463946,0.862779,0.015277,0.121945
-8.239917,0.463946,0.862779,0.015277,0.121945
-8.199917,0.463946,0.862779,0.015277,0.121945
-8.159917,0.463946,0.862779,0.015277,0.121945
-8.119917,0.463946,0.862779,0.015277,0.121945
-8.079917,0.463946,0.862779,0.015277,0.121945
-8.039917,0.463946,0.862779,0.015277,0.121945
-7.999917,0.463946,0.862779,0.015277,0.121945
-7.959917,0.463946,0.862779,0.015277,0.121945
-7.919917,0.463946,0.862779,0.015277,0.121945
-7.879917,0.463946,0.862779,0.015277,0.121945
-7.839917,0.463946,0.862779,0.015277,0.121945
-7.799917,0.463946,0.862779,0.015277,0.121945
-7.759917,0.463946,0.862779,0.015277,0.121945
-7.719917,0.463946,0.862779,0.015277,0.121945
-7.679917,0.463946,0.862779,0.015277,0.121945
-7.639917,0.463946,0.862779,0.015277,0.121945
-7.599917,0.463946,0.862779,0.015277,0.121945
-7.559917,0.463946,0.862779,0.015277,0.121945
-7.519917,0.463946,0.862779,0.015277,0.121945
-7.479918,0.463946,0.862779,0.015277,0.121945
-7.439918,0.463946,0.862779,0.015277,0.121945
-7.399918,0.463946,0.862779,0.015277,0.121945
-7.359918,0.463946,0.862779,0.015277,0.121945
-7.319918,0.463946,0.862779,0.015277,0.121945
-7.279918,0.463946,0.862779,0.015277,0.121945
-7.239918,0.463946,0.862779,0.015277,0.121945
-7.199918,0.463946,0.862779,0.015277,0.121945
-7.159918,0.463946,0.862779,0.015277,0.121945
-7.119918,0.463946,0.862779,0.015277,0.121945
-7.079918,0.463946,0.862779,0.015277,0.121945
-7.039918,0.463946,0.862779,0.015277,0.121945
-6.999918,0.463946,0.862779,0.015277,0.121945
-6.959918,0.463946,0.862779,0.015277,0.121945
-6.919918,0.463946,0.862779,0.015277,0.121945
-6.879918,0.463946,0.862779,0.015277,0.121945
-6.839918,0.463946,0.862779,0.015277,0.121945
-6.799918,0.463946,0.862779,0.015277,0.121945
-6.759918,0.463946,0.862779,0.015277,0.121945
-6.719918,0.463946,0.862779,0.015277,0.121945
-6.679918,0.463946,0.862779,0.015277,0.121945
-6.639918,0.463946,0.862779,0.015277,0.121945
-6.599918,0.463946,0.862779,0.015277,0.121945
-6.559918,0.463946,0.862779,0.015277,0.121945
-6.519918,0.463946,0.862779,0.015277,0.121945
-6.479918,0.463946,0.862779,0.015277,0.121945
-6.439919,0.463946,0.862779,0.015277,0.121945
