value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.034487,0.883158,0.031579,0.085263
0.050990,0.301085,0.886906,0.011816,0.101278
0.100980,0.443025,0.869223,0.012291,0.118486
0.150970,0.481105,0.831359,0.014035,0.154607
0.200960,0.504737,0.796246,0.017837,0.185918
0.250950,0.524558,0.768374,0.020484,0.211142
0.300940,0.542201,0.744778,0.019885,0.235337
0.350930,0.561840,0.719390,0.022033,0.258577
0.400920,0.577086,0.700384,0.021954,0.277662
0.450910,0.594257,0.680147,0.022114,0.297740
0.500900,0.609213,0.663449,0.022524,0.314027
0.550890,0.620213,0.651683,0.022300,0.326017
0.600880,0.634407,0.639620,0.022030,0.338350
0.650870,0.646640,0.628305,0.021726,0.349969
0.700860,0.657749,0.618908,0.021359,0.359733
0.750850,0.666897,0.610419,0.021120,0.368461
0.800840,0.674701,0.603357,0.020876,0.375767
0.850830,0.678295,0.600161,0.020765,0.379074
0.900820,0.683232,0.595824,0.020615,0.383561
0.950810,0.686826,0.592706,0.020507,0.386786
1.000800,0.689367,0.590521,0.020432,0.389047
1.050790,0.695030,0.585710,0.020265,0.394025
1.100780,0.697208,0.583880,0.020202,0.395918
1.150770,0.698406,0.582879,0.020167,0.396954
1.200760,0.699641,0.581850,0.020132,0.398018
1.250750,0.700839,0.580856,0.020097,0.399047
1.300740,0.701674,0.580165,0.020073,0.399762
1.350730,0.707300,0.575549,0.019914,0.404537
1.400720,0.710350,0.573078,0.019828,0.407093
1.450711,0.711584,0.572084,0.019794,0.408122
1.500701,0.713363,0.570658,0.019745,0.409597
1.550691,0.716013,0.568546,0.019671,0.411783
1.600681,0.718445,0.566621,0.019605,0.413774
1.650671,0.720187,0.565250,0.019557,0.415192
1.700661,0.721785,0.563999,0.019514,0.416486
1.750651,0.723200,0.562895,0.019476,0.417629
1.800641,0.724544,0.561852,0.019440,0.418708
1.850631,0.725633,0.561009,0.019411,0.419581
1.900621,0.726903,0.560028,0.019377,0.420595
1.950611,0.727992,0.559190,0.019348,0.421462
2.000601,0.728718,0.558633,0.019328,0.422038
2.050591,0.728972,0.558438,0.019322,0.422240
2.100581,0.729517,0.558021,0.019307,0.422671
2.150571,0.730969,0.556913,0.019269,0.423818
2.200561,0.732421,0.555809,0.019231,0.424960
2.250551,0.734091,0.554545,0.019187,0.426268
2.300541,0.735470,0.553504,0.019151,0.427345
2.350531,0.736922,0.552414,0.019113,0.428473
2.400521,0.738302,0.551382,0.019078,0.429541
2.450511,0.739681,0.550353,0.019042,0.430605
2.500500,0.740807,0.549517,0.019013,0.431470
2.550490,0.741968,0.548657,0.018983,0.432360
2.600480,0.743457,0.547559,0.018945,0.433496
2.650470,0.744691,0.546651,0.018914,0.434435
2.700460,0.745199,0.546278,0.018901,0.434821
2.750450,0.745526,0.546039,0.018893,0.435068
2.800440,0.746288,0.545481,0.018873,0.435645
2.850430,0.747232,0.544792,0.018850,0.436358
2.900420,0.748829,0.543630,0.018809,0.437561
2.950410,0.750209,0.542630,0.018775,0.438595
3.000400,0.751298,0.541844,0.018748,0.439409
3.050390,0.753294,0.540408,0.018698,0.440894
3.100380,0.754129,0.539809,0.018677,0.441513
3.150370,0.755001,0.539186,0.018656,0.442158
3.200360,0.756235,0.538306,0.018625,0.443068
3.250350,0.757215,0.537610,0.018601,0.443789
3.300339,0.758340,0.536812,0.018573,0.444615
3.350329,0.759066,0.536298,0.018556,0.445146
3.400319,0.759647,0.535888,0.018542,0.445570
3.450309,0.760409,0.535351,0.018523,0.446126
3.500299,0.761208,0.534789,0.018504,0.446707
3.550289,0.762116,0.534153,0.018481,0.447366
3.600279,0.763132,0.533441,0.018457,0.448102
3.650269,0.764294,0.532630,0.018429,0.448941
3.700259,0.765092,0.532074,0.018410,0.449516
3.750249,0.765927,0.531494,0.018389,0.450116
3.800239,0.766871,0.530840,0.018367,0.450793
3.850229,0.768033,0.530037,0.018339,0.451624
3.900219,0.769957,0.528901,0.018293,0.452805
3.950209,0.771445,0.527881,0.018258,0.453861
4.000199,0.773732,0.526321,0.018204,0.455475
4.050189,0.775983,0.524794,0.018151,0.457055
4.100179,0.778451,0.523130,0.018094,0.458776
4.150169,0.780593,0.521695,0.018044,0.460261
4.200160,0.782408,0.520484,0.018002,0.461513
4.250150,0.783933,0.519472,0.017967,0.462561
4.300140,0.786329,0.517889,0.017912,0.464198
4.350130,0.787382,0.517197,0.017888,0.464915
4.400120,0.788253,0.516625,0.017869,0.465506
4.450110,0.788761,0.516292,0.017857,0.465851
4.500101,0.790395,0.515225,0.017820,0.466954
4.550091,0.791919,0.514233,0.017786,0.467981
4.600081,0.794170,0.512776,0.017736,0.469489
4.650071,0.796094,0.511537,0.017693,0.470771
4.700061,0.797873,0.510396,0.017653,0.471950
4.750051,0.799869,0.509122,0.017609,0.473269
4.800042,0.802483,0.507464,0.017552,0.474984
4.850032,0.804915,0.505931,0.017499,0.476571
4.900022,0.807202,0.504497,0.017449,0.478054
4.950012,0.809671,0.502959,0.017396,0.479645
