value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.436914,0.878402,0.015855,0.105743
0.005999,0.437845,0.876552,0.015829,0.107618
0.010998,0.438322,0.875583,0.015810,0.108607
0.015997,0.433809,0.880309,0.015584,0.104106
0.020996,0.434530,0.881191,0.015908,0.102902
0.025995,0.435664,0.880925,0.016224,0.102851
0.030994,0.435784,0.880654,0.016219,0.103127
0.035993,0.434979,0.883380,0.016328,0.100292
0.040992,0.432451,0.881837,0.015294,0.102869
0.045991,0.429988,0.881778,0.014918,0.103305
0.050990,0.427471,0.885701,0.014853,0.099447
0.055989,0.427623,0.885886,0.014864,0.099250
0.060988,0.426766,0.885354,0.014582,0.100064
0.065987,0.426738,0.885749,0.014414,0.099837
0.070986,0.426951,0.886223,0.014406,0.099371
0.075985,0.427063,0.886981,0.014400,0.098619
0.080984,0.427826,0.887592,0.014430,0.097977
0.085983,0.427809,0.887965,0.014383,0.097652
0.090982,0.427683,0.889244,0.014320,0.096437
0.095981,0.427771,0.889765,0.014344,0.095891
0.100980,0.428122,0.889879,0.014351,0.095771
0.105979,0.428458,0.889875,0.014338,0.095787
0.110978,0.428955,0.889288,0.014441,0.096271
0.115977,0.429179,0.889152,0.014560,0.096288
0.120976,0.429606,0.888934,0.014613,0.096453
0.125975,0.430339,0.888234,0.014880,0.096886
0.130974,0.430716,0.888205,0.014867,0.096928
0.135973,0.431260,0.887510,0.014863,0.097626
0.140972,0.431465,0.887565,0.014926,0.097510
0.145971,0.431730,0.887262,0.014914,0.097824
0.150970,0.431904,0.887057,0.014955,0.097988
0.155969,0.432125,0.886748,0.014949,0.098303
0.160968,0.432323,0.886804,0.014943,0.098253
0.165967,0.434847,0.884512,0.015361,0.100128
0.170966,0.435093,0.884110,0.015412,0.100478
0.175965,0.435261,0.883900,0.015406,0.100694
0.180964,0.435486,0.883653,0.015370,0.100977
0.185963,0.435788,0.883435,0.015379,0.101186
0.190962,0.436662,0.882383,0.015390,0.102228
0.195961,0.437077,0.882023,0.015377,0.102600
0.200960,0.445461,0.882312,0.015982,0.101706
0.205959,0.445594,0.882097,0.016006,0.101897
0.210958,0.447665,0.878281,0.015923,0.105795
0.215957,0.447906,0.877817,0.015916,0.106266
0.220956,0.448291,0.877081,0.015899,0.107021
0.225955,0.448536,0.876629,0.015891,0.107480
0.230954,0.451264,0.872784,0.015825,0.111391
0.235953,0.451445,0.872516,0.015819,0.111665
0.240952,0.451581,0.872389,0.015816,0.111795
0.245951,0.451883,0.872193,0.015786,0.112021
0.250950,0.452032,0.872091,0.015781,0.112128
0.255949,0.452506,0.871323,0.015751,0.112926
0.260948,0.452627,0.871121,0.015747,0.113132
0.265947,0.452744,0.870985,0.015743,0.113272
0.270946,0.452852,0.870787,0.015739,0.113474
0.275945,0.452852,0.870787,0.015739,0.113474
0.280944,0.453129,0.870516,0.015727,0.113757
0.285943,0.453344,0.870116,0.015721,0.114164
0.290942,0.454088,0.869141,0.015704,0.115154
0.295941,0.454196,0.869072,0.015700,0.115227
0.300940,0.454196,0.869072,0.015700,0.115227
0.305939,0.454317,0.868836,0.015697,0.115468
0.310938,0.455724,0.866486,0.015651,0.117863
0.315937,0.455844,0.866272,0.015648,0.118081
0.320936,0.457365,0.863640,0.015601,0.120759
0.325935,0.458902,0.860795,0.015559,0.123646
0.330934,0.459071,0.860666,0.015552,0.123782
0.335933,0.459151,0.860528,0.015550,0.123921
0.340932,0.459243,0.860490,0.015548,0.123963
0.345931,0.459316,0.860358,0.015546,0.124096
0.350930,0.459372,0.860260,0.015544,0.124195
0.355929,0.459404,0.860198,0.015543,0.124259
0.360928,0.459646,0.860068,0.015535,0.124397
0.365927,0.459646,0.860068,0.015535,0.124397
0.370926,0.459774,0.859896,0.015528,0.124575
0.375925,0.459375,0.860672,0.015544,0.123784
0.380924,0.459499,0.860437,0.015540,0.124023
0.385923,0.459499,0.860437,0.015540,0.124023
0.390922,0.459757,0.860158,0.015532,0.124310
0.395921,0.459757,0.860158,0.015532,0.124310
0.400920,0.459869,0.859972,0.015536,0.124492
0.405919,0.459981,0.859881,0.015532,0.124587
0.410918,0.460106,0.859656,0.015528,0.124816
0.415917,0.460199,0.859480,0.015525,0.124994
0.420916,0.460279,0.859327,0.015521,0.125151
0.425915,0.460279,0.859327,0.015521,0.125151
0.430914,0.457079,0.865463,0.015616,0.118921
0.435913,0.457248,0.865297,0.015611,0.119092
0.440912,0.457312,0.865187,0.015609,0.119204
0.445911,0.457493,0.864981,0.015603,0.119415
0.450910,0.457622,0.864747,0.015600,0.119653
0.455909,0.457638,0.864717,0.015599,0.119684
0.460908,0.458487,0.863294,0.015571,0.121135
