value,total_removed,ground_removed,cone_removed,unassigned_removed
-20.000000,0.441790,0.871487,0.012325,0.116187
-19.600000,0.441790,0.871487,0.012325,0.116187
-19.200001,0.441790,0.871487,0.012325,0.116187
-18.800001,0.441790,0.871487,0.012325,0.116187
-18.400002,0.441790,0.871487,0.012325,0.116187
-18.000002,0.441790,0.871487,0.012325,0.116187
-17.600002,0.441790,0.871487,0.012325,0.116187
-17.200003,0.441790,0.871487,0.012325,0.116187
-16.800003,0.441790,0.871487,0.012325,0.116187
-16.400003,0.441790,0.871487,0.012325,0.116187
-16.000004,0.441790,0.871487,0.012325,0.116187
-15.600004,0.441790,0.871487,0.012325,0.116187
-15.200005,0.441790,0.871487,0.012325,0.116187
-14.800005,0.441790,0.871487,0.012325,0.116187
-14.400005,0.441790,0.871487,0.012325,0.116187
-14.000006,0.441790,0.871487,0.012325,0.116187
-13.600006,0.441790,0.871487,0.012325,0.116187
-13.200006,0.441790,0.871487,0.012325,0.116187
-12.800007,0.441790,0.871487,0.012325,0.116187
-12.400007,0.441790,0.871487,0.012325,0.116187
-12.000008,0.441790,0.871487,0.012325,0.116187
-11.600008,0.441790,0.871487,0.012325,0.116187
-11.200008,0.441790,0.871487,0.012325,0.116187
-10.800009,0.441790,0.871487,0.012325,0.116187
-10.400009,0.441790,0.871487,0.012325,0.116187
-10.000010,0.441790,0.871487,0.012325,0.116187
-9.600010,0.441790,0.871487,0.012325,0.116187
-9.200010,0.441790,0.871487,0.012325,0.116187
-8.800011,0.441790,0.871487,0.012325,0.116187
-8.400011,0.441790,0.871487,0.012325,0.116187
-8.000011,0.441790,0.871487,0.012325,0.116187
-7.600011,0.441790,0.871487,0.012325,0.116187
-7.200011,0.441790,0.871487,0.012325,0.116187
-6.800011,0.441790,0.871487,0.012325,0.116187
-6.400011,0.441790,0.871487,0.012325,0.116187
-6.000011,0.441790,0.871487,0.012325,0.116187
-5.600011,0.441790,0.871487,0.012325,0.116187
-5.200011,0.441790,0.871487,0.012325,0.116187
-4.800011,0.441790,0.871487,0.012325,0.116187
-4.400011,0.441790,0.871487,0.012325,0.116187
-4.000010,0.441790,0.871487,0.012325,0.116187
-3.600010,0.441790,0.871487,0.012325,0.116187
-3.200010,0.441790,0.871487,0.012325,0.116187
-2.800010,0.441790,0.871487,0.012325,0.116187
-2.400010,0.441790,0.871487,0.012325,0.116187
-2.000010,0.441790,0.871487,0.012325,0.116187
-1.600010,0.441790,0.871487,0.012325,0.116187
-1.200010,0.441790,0.871487,0.012325,0.116187
-0.800010,0.441790,0.871487,0.012325,0.116187
-0.400010,0.441790,0.871487,0.012325,0.116187
-0.000010,0.441790,0.871487,0.012325,0.116187
0.399990,0.441790,0.871487,0.012325,0.116187
0.799990,0.441790,0.871487,0.012325,0.116187
1.199990,0.441790,0.871487,0.012325,0.116187
1.599990,0.441790,0.871487,0.012325,0.116187
1.999990,0.441790,0.871487,0.012325,0.116187
2.399990,0.441790,0.871487,0.012325,0.116187
2.799990,0.441790,0.871487,0.012325,0.116187
3.199990,0.441790,0.871487,0.012325,0.116187
3.599990,0.441790,0.871487,0.012325,0.116187
3.999990,0.441790,0.871487,0.012325,0.116187
4.399990,0.441790,0.871487,0.012325,0.116187
4.799990,0.441790,0.871487,0.012325,0.116187
5.199990,0.441790,0.871487,0.012325,0.116187
5.599990,0.441790,0.871487,0.012325,0.116187
5.999990,0.441790,0.871487,0.012325,0.116187
6.399991,0.441790,0.871487,0.012325,0.116187
6.799991,0.441790,0.871487,0.012325,0.116187
7.199991,0.441790,0.871487,0.012325,0.116187
7.599991,0.441790,0.871487,0.012325,0.116187
7.999991,0.441790,0.871487,0.012325,0.116187
8.399991,0.441790,0.871487,0.012325,0.116187
8.799991,0.441790,0.871487,0.012325,0.116187
9.199990,0.441790,0.871487,0.012325,0.116187
9.599990,0.441790,0.871487,0.012325,0.116187
9.999990,0.441790,0.871487,0.012325,0.116187
10.399989,0.441790,0.871487,0.012325,0.116187
10.799989,0.441790,0.871487,0.012325,0.116187
11.199988,0.441790,0.871487,0.012325,0.116187
11.599988,0.441790,0.871487,0.012325,0.116187
11.999988,0.441790,0.871487,0.012325,0.116187
12.399987,0.441790,0.871487,0.012325,0.116187
12.799987,0.441790,0.871487,0.012325,0.116187
13.199986,0.441790,0.871487,0.012325,0.116187
13.599986,0.441790,0.871487,0.012325,0.116187
13.999986,0.441790,0.871487,0.012325,0.116187
14.399985,0.441790,0.871487,0.012325,0.116187
14.799985,0.441790,0.871487,0.012325,0.116187
15.199985,0.441790,0.871487,0.012325,0.116187
15.599984,0.441790,0.871487,0.012325,0.116187
15.999984,0.441790,0.871487,0.012325,0.116187
16.399984,0.441790,0.871487,0.012325,0.116187
16.799984,0.441790,0.871487,0.012325,0.116187
17.199984,0.441790,0.871487,0.012325,0.116187
17.599983,0.441790,0.871487,0.012325,0.116187
17.999983,0.441790,0.871487,0.012325,0.116187
18.399982,0.441790,0.871487,0.012325,0.116187
18.799982,0.441790,0.871487,0.012325,0.116187
19.199982,0.441790,0.871487,0.012325,0.116187
19.599981,0.441790,0.871487,0.012325,0.116187
19.999981,0.441790,0.871487,0.012325,0.116187
