value,total_removed,ground_removed,cone_removed,unassigned_removed
0.000100,0.472865,0.858207,0.011515,0.130278
0.100099,0.231640,0.875568,0.008619,0.115813
0.200098,0.065524,0.725762,0.007202,0.267036
0.300097,0.055687,0.758801,0.002608,0.238592
0.400096,0.044288,0.763934,0.002459,0.233607
0.500095,0.037282,0.747809,0.002921,0.249270
0.600094,0.034160,0.753454,0.003188,0.243358
0.700093,0.029840,0.727494,0.003650,0.268856
0.800092,0.029078,0.729089,0.003745,0.267166
0.900091,0.019639,0.674677,0.018484,0.306839
1.000090,0.016227,0.621924,0.022371,0.355705
1.100089,0.015973,0.615909,0.022727,0.361364
1.200088,0.015610,0.427907,0.000000,0.572093
1.300087,0.012343,0.441176,0.000000,0.558824
1.400086,0.012270,0.443787,0.000000,0.556213
1.500085,0.012270,0.443787,0.000000,0.556213
1.600084,0.009511,0.408397,0.000000,0.591603
1.700083,0.009257,0.447059,0.000000,0.552941
1.800082,0.009547,0.433460,0.000000,0.566540
1.900081,0.009402,0.440154,0.000000,0.559846
2.000080,0.008966,0.489879,0.000000,0.510121
2.100079,0.010273,0.427562,0.000000,0.572438
2.200078,0.010382,0.398601,0.000000,0.601399
2.300076,0.008966,0.259109,0.000000,0.740891
2.400075,0.008603,0.270042,0.000000,0.729958
2.500074,0.006316,0.080460,0.000000,0.919540
2.600073,0.005772,0.088050,0.000000,0.911950
2.700072,0.004719,0.000000,0.000000,1.000000
2.800071,0.004901,0.000000,0.000000,1.000000
2.900070,0.004864,0.000000,0.000000,1.000000
3.000069,0.004864,0.000000,0.000000,1.000000
3.100068,0.004864,0.000000,0.000000,1.000000
3.200067,0.004864,0.000000,0.000000,1.000000
3.300066,0.004864,0.000000,0.000000,1.000000
3.400065,0.004864,0.000000,0.000000,1.000000
3.500064,0.004864,0.000000,0.000000,1.000000
3.600063,0.004864,0.000000,0.000000,1.000000
3.700062,0.004864,0.000000,0.000000,1.000000
3.800061,0.004864,0.000000,0.000000,1.000000
3.900060,0.004864,0.000000,0.000000,1.000000
4.000059,0.004864,0.000000,0.000000,1.000000
4.100058,0.004864,0.000000,0.000000,1.000000
4.200057,0.004864,0.000000,0.000000,1.000000
4.300056,0.004864,0.000000,0.000000,1.000000
4.400054,0.004864,0.000000,0.000000,1.000000
4.500053,0.004864,0.000000,0.000000,1.000000
4.600052,0.004864,0.000000,0.000000,1.000000
4.700051,0.004864,0.000000,0.000000,1.000000
4.800050,0.004864,0.000000,0.000000,1.000000
4.900049,0.004864,0.000000,0.000000,1.000000
5.000048,0.004864,0.000000,0.000000,1.000000
5.100047,0.004864,0.000000,0.000000,1.000000
5.200046,0.004864,0.000000,0.000000,1.000000
5.300045,0.004864,0.000000,0.000000,1.000000
5.400044,0.004864,0.000000,0.000000,1.000000
5.500043,0.004864,0.000000,0.000000,1.000000
5.600042,0.004864,0.000000,0.000000,1.000000
5.700041,0.004864,0.000000,0.000000,1.000000
5.800040,0.004864,0.000000,0.000000,1.000000
5.900039,0.004864,0.000000,0.000000,1.000000
6.000038,0.004864,0.000000,0.000000,1.000000
6.100037,0.004864,0.000000,0.000000,1.000000
6.200036,0.004864,0.000000,0.000000,1.000000
6.300035,0.004864,0.000000,0.000000,1.000000
6.400033,0.004864,0.000000,0.000000,1.000000
6.500032,0.004864,0.000000,0.000000,1.000000
6.600031,0.004864,0.000000,0.000000,1.000000
6.700030,0.004864,0.000000,0.000000,1.000000
6.800029,0.004864,0.000000,0.000000,1.000000
6.900028,0.004864,0.000000,0.000000,1.000000
7.000027,0.004864,0.000000,0.000000,1.000000
7.100026,0.004864,0.000000,0.000000,1.000000
7.200025,0.004864,0.000000,0.000000,1.000000
7.300024,0.004864,0.000000,0.000000,1.000000
7.400023,0.004864,0.000000,0.000000,1.000000
7.500022,0.004864,0.000000,0.000000,1.000000
7.600021,0.004864,0.000000,0.000000,1.000000
7.700020,0.004864,0.000000,0.000000,1.000000
7.800019,0.004864,0.000000,0.000000,1.000000
7.900018,0.004864,0.000000,0.000000,1.000000
8.000017,0.004864,0.000000,0.000000,1.000000
8.100017,0.004864,0.000000,0.000000,1.000000
8.200016,0.004864,0.000000,0.000000,1.000000
8.300015,0.004864,0.000000,0.000000,1.000000
8.400015,0.004864,0.000000,0.000000,1.000000
8.500014,0.004864,0.000000,0.000000,1.000000
8.600014,0.004864,0.000000,0.000000,1.000000
8.700013,0.004864,0.000000,0.000000,1.000000
8.800013,0.004864,0.000000,0.000000,1.000000
8.900012,0.004864,0.000000,0.000000,1.000000
9.000011,0.004864,0.000000,0.000000,1.000000
9.100011,0.004864,0.000000,0.000000,1.000000
9.200010,0.004864,0.000000,0.000000,1.000000
9.300010,0.004864,0.000000,0.000000,1.000000
9.400009,0.004864,0.000000,0.000000,1.000000
9.500009,0.004864,0.000000,0.000000,1.000000
9.600008,0.004864,0.000000,0.000000,1.000000
9.700007,0.004864,0.000000,0.000000,1.000000
9.800007,0.004864,0.000000,0.000000,1.000000
9.900006,0.004864,0.000000,0.000000,1.000000
